hgnc_symbol,ensembl_gene_id,entrezgene_id,mgi_symbol,ensembl_gene_id_mouse,entrezgene_id_mouse
ATP6V1C1,ENSG00000155097,528,Atp6v1c1,ENSMUSG00000022295,66335
RAB6B,ENSG00000154917,51560,Rab6b,ENSMUSG00000032549,270192
PRKCA,ENSG00000154229,5578,Prkca,ENSMUSG00000050965,18750
SCOC,ENSG00000153130,60592,Scoc,ENSMUSG00000063253,56367
RAB3C,ENSG00000152932,115827,Rab3c,ENSMUSG00000021700,67295
CAMK4,ENSG00000152495,814,Camk4,ENSMUSG00000038128,12326
THRB,ENSG00000151090,7068,Thrb,ENSMUSG00000021779,21834
CNKSR2,ENSG00000149970,22866,Cnksr2,ENSMUSG00000025658,245684
ESAM,ENSG00000149564,90952,Esam,ENSMUSG00000001946,69524
PAK1,ENSG00000149269,5058,Pak1,ENSMUSG00000030774,18479
SERPING1,ENSG00000149131,710,Serping1,ENSMUSG00000023224,12258
MAL2,ENSG00000147676,114569,Mal2,ENSMUSG00000024479,105853
MSN,ENSG00000147065,4478,Msn,ENSMUSG00000031207,17698
TMEM47,ENSG00000147027,83604,Tmem47,ENSMUSG00000025666,192216
TENM2,ENSG00000145934,57451,Tenm2,ENSMUSG00000049336,23964
PIK3R1,ENSG00000145675,5295,Pik3r1,ENSMUSG00000041417,18708
SNCA,ENSG00000145335,6622,Snca,ENSMUSG00000025889,20617
CNTN4,ENSG00000144619,152330,Cntn4,ENSMUSG00000064293,269784
CERS2,ENSG00000143418,29956,Cers2,ENSMUSG00000015714,76893
PSMA5,ENSG00000143106,5686,Psma5,ENSMUSG00000068749,26442
APP,ENSG00000142192,351,App,ENSMUSG00000022892,11820
NPC1,ENSG00000141458,4864,Npc1,ENSMUSG00000024413,18145
CPNE2,ENSG00000140848,221184,Cpne2,ENSMUSG00000034361,234577
SCAMP2,ENSG00000140497,10066,Scamp2,ENSMUSG00000040188,24044
IGF1R,ENSG00000140443,3480,Igf1r,ENSMUSG00000005533,16001
RTN1,ENSG00000139970,6252,Rtn1,ENSMUSG00000021087,104001
ACVRL1,ENSG00000139567,94,Acvrl1,ENSMUSG00000000530,11482
GABARAPL1,ENSG00000139112,23710,Gabarapl1,ENSMUSG00000030161,57436
RDX,ENSG00000137710,5962,Rdx,ENSMUSG00000032050,19684
SLCO2B1,ENSG00000137491,11309,Slco2b1,ENSMUSG00000030737,101488
STXBP1,ENSG00000136854,6812,Stxbp1,ENSMUSG00000026797,20910
TOR1A,ENSG00000136827,1861,Tor1a,ENSMUSG00000026849,30931
BIN1,ENSG00000136717,274,Bin1,ENSMUSG00000024381,30948
ERMN,ENSG00000136541,57471,Ermn,ENSMUSG00000026830,77767
ORC3,ENSG00000135336,23595,Orc3,ENSMUSG00000040044,50793
CHRM3,ENSG00000133019,1131,Chrm3,ENSMUSG00000046159,12671
ATP8A2,ENSG00000132932,51761,Atp8a2,ENSMUSG00000021983,50769
SNAP25,ENSG00000132639,6616,Snap25,ENSMUSG00000027273,20614
RAN,ENSG00000132341,5901,Ran,ENSMUSG00000029430,19384
KIF3A,ENSG00000131437,11127,Kif3a,ENSMUSG00000018395,16568
APOE,ENSG00000130203,348,Apoe,ENSMUSG00000002985,11816
CHN1,ENSG00000128656,1123,Chn1,ENSMUSG00000056486,108699
ADORA2A,ENSG00000128271,135,Adora2a,ENSMUSG00000020178,11540
RRAS,ENSG00000126458,6237,Rras,ENSMUSG00000038387,20130
PCSK2,ENSG00000125851,5126,Pcsk2,ENSMUSG00000027419,18549
GRIA3,ENSG00000125675,2892,Gria3,ENSMUSG00000001986,53623
SOX9,ENSG00000125398,6662,Sox9,ENSMUSG00000000567,20682
MYRF,ENSG00000124920,745,Myrf,ENSMUSG00000036098,225908
SLC12A5,ENSG00000124140,57468,Slc12a5,ENSMUSG00000017740,57138
PLP1,ENSG00000123560,5354,Plp1,ENSMUSG00000031425,18823
PDE1B,ENSG00000123360,5153,Pde1b,ENSMUSG00000022489,18574
SRGN,ENSG00000122862,5552,Srgn,ENSMUSG00000020077,19073
GOT1,ENSG00000120053,2805,Got1,ENSMUSG00000025190,14718
NPC2,ENSG00000119655,10577,Npc2,ENSMUSG00000021242,67963
OLFM3,ENSG00000118733,118427,Olfm3,ENSMUSG00000027965,229759
SLC2A1,ENSG00000117394,6513,Slc2a1,ENSMUSG00000028645,20525
EPHA4,ENSG00000116106,2043,Epha4,ENSMUSG00000026235,13838
NFE2L2,ENSG00000116044,4780,Nfe2l2,ENSMUSG00000015839,18024
IGFBP5,ENSG00000115461,3488,Igfbp5,ENSMUSG00000026185,16011
FN1,ENSG00000115414,2335,Fn1,ENSMUSG00000026193,14268
PDE1A,ENSG00000115252,5136,Pde1a,ENSMUSG00000059173,18573
GNAI2,ENSG00000114353,2771,Gnai2,ENSMUSG00000032562,14678
SKP1,ENSG00000113558,6500,Skp1a,ENSMUSG00000036309,21402
RFX4,ENSG00000111783,5992,Rfx4,ENSMUSG00000020037,71137
ENO2,ENSG00000111674,2026,Eno2,ENSMUSG00000004267,13807
TPI1,ENSG00000111669,7167,Tpi1,ENSMUSG00000023456,21991
GTF2H3,ENSG00000111358,2967,Gtf2h3,ENSMUSG00000029387,209357
TCIRG1,ENSG00000110719,10312,Tcirg1,ENSMUSG00000001750,27060
CNTNAP1,ENSG00000108797,8506,Cntnap1,ENSMUSG00000017167,53321
PPP3CB,ENSG00000107758,5532,Ppp3cb,ENSMUSG00000021816,19056
SH3GL2,ENSG00000107295,6456,Sh3gl2,ENSMUSG00000028488,20404
DNM1,ENSG00000106976,1759,Dnm1,ENSMUSG00000026825,13429
TGFBR1,ENSG00000106799,7046,Tgfbr1,ENSMUSG00000007613,21812
STX1A,ENSG00000106089,6804,Stx1a,ENSMUSG00000007207,20907
MAG,ENSG00000105695,4099,Mag,ENSMUSG00000036634,17136
RAB3A,ENSG00000105649,5864,Rab3a,ENSMUSG00000031840,19339
FA2H,ENSG00000103089,79152,Fa2h,ENSMUSG00000033579,338521
PLLP,ENSG00000102934,51090,Pllp,ENSMUSG00000031775,67801
FLT1,ENSG00000102755,2321,Flt1,ENSMUSG00000029648,14254
GSS,ENSG00000100983,2937,Gss,ENSMUSG00000027610,14854
PSMC6,ENSG00000100519,5706,Psmc6,ENSMUSG00000021832,67089
EP300,ENSG00000100393,2033,Ep300,ENSMUSG00000055024,328572
PVALB,ENSG00000100362,5816,Pvalb,ENSMUSG00000005716,19293
SYNGR1,ENSG00000100321,9145,Syngr1,ENSMUSG00000022415,20972
TSPO,ENSG00000100300,706,Tspo,ENSMUSG00000041736,12257
STX1B,ENSG00000099365,112755,Stx1b,ENSMUSG00000030806,56216
TREM2,ENSG00000095970,54209,Trem2,ENSMUSG00000023992,83433
DOCK3,ENSG00000088538,1795,Dock3,ENSMUSG00000039716,208869
DLG3,ENSG00000082458,1741,Dlg3,ENSMUSG00000000881,53310
PSEN1,ENSG00000080815,5663,Psen1,ENSMUSG00000019969,19164
AMPH,ENSG00000078053,273,Amph,ENSMUSG00000021314,218038
SRI,ENSG00000075142,6717,Sri,ENSMUSG00000003161,109552
NSF,ENSG00000073969,4905,Nsf,ENSMUSG00000034187,18195
GNB5,ENSG00000069966,10681,Gnb5,ENSMUSG00000032192,14697
DNAJA2,ENSG00000069345,10294,Dnaja2,ENSMUSG00000031701,56445
SIRT2,ENSG00000068903,22933,Sirt2,ENSMUSG00000015149,64383
SYT1,ENSG00000067715,6857,Syt1,ENSMUSG00000035864,20979
TNFRSF1A,ENSG00000067182,7132,Tnfrsf1a,ENSMUSG00000030341,21937
PRKCQ,ENSG00000065675,5588,Prkcq,ENSMUSG00000026778,18761
SNAP91,ENSG00000065609,9892,Snap91,ENSMUSG00000033419,20616
U2AF2,ENSG00000063244,11338,U2af2,ENSMUSG00000030435,22185
CYFIP2,ENSG00000055163,26999,Cyfip2,ENSMUSG00000020340,76884
MAPK9,ENSG00000050748,5601,Mapk9,ENSMUSG00000020366,26420
INPP4A,ENSG00000040933,3631,Inpp4a,ENSMUSG00000026113,269180
GRN,ENSG00000030582,2896,Grn,ENSMUSG00000034708,14824
CD74,ENSG00000019582,972,Cd74,ENSMUSG00000024610,16149
SYT13,ENSG00000019505,57586,Syt13,ENSMUSG00000027220,80976
TYROBP,ENSG00000011600,7305,Tyrobp,ENSMUSG00000030579,22177
FYN,ENSG00000010810,2534,Fyn,ENSMUSG00000019843,14360
ARHGAP44,ENSG00000006740,9912,Arhgap44,ENSMUSG00000033389,216831
LAMP2,ENSG00000005893,3920,Lamp2,ENSMUSG00000016534,16784
NA,NA,NA,Gm20425,NA,NA
MICOS13,ENSG00000174917,125988,2410015M20Rik,ENSMUSG00000049760,224904
KIAA1671,ENSG00000197077,85379,2900026A02Rik,ENSMUSG00000051339,243219
KIAA0513,ENSG00000135709,9764,6430548M08Rik,ENSMUSG00000031824,234797
A2M,ENSG00000175899,2,A2m,ENSMUSG00000030111,232345
ABCA2,ENSG00000107331,20,Abca2,ENSMUSG00000026944,11305
ABCA8,ENSG00000141338,10351,Abca8b,ENSMUSG00000020620,27404
ABLIM2,ENSG00000163995,84448,Ablim2,ENSMUSG00000029095,231148
ACAA2,ENSG00000167315,10449,Acaa2,ENSMUSG00000036880,52538
ACOT7,ENSG00000097021,11332,Acot7,ENSMUSG00000028937,70025
ACP1,ENSG00000143727,52,Acp1,ENSMUSG00000044573,11431
ACP2,ENSG00000134575,53,Acp2,ENSMUSG00000002103,11432
ACSL5,ENSG00000197142,51703,Acsl5,ENSMUSG00000024981,433256
ACTR3B,ENSG00000133627,57180,Actr3b,ENSMUSG00000056367,242894
ACTR6,ENSG00000075089,64431,Actr6,ENSMUSG00000019948,67019
ADD2,ENSG00000075340,119,Add2,ENSMUSG00000030000,11519
ADD3,ENSG00000148700,120,Add3,ENSMUSG00000025026,27360
ADHFE1,ENSG00000147576,137872,Adhfe1,ENSMUSG00000025911,76187
ADIPOR2,ENSG00000006831,79602,Adipor2,ENSMUSG00000030168,68465
ADPGK,ENSG00000159322,83440,Adpgk,ENSMUSG00000025236,72141
ADPRH,ENSG00000144843,141,Adprh,ENSMUSG00000002844,11544
AFF1,ENSG00000172493,4299,Aff1,ENSMUSG00000029313,17355
AGBL4,ENSG00000186094,84871,Agbl4,ENSMUSG00000061298,78933
AGL,ENSG00000162688,178,Agl,ENSMUSG00000033400,77559
AHNAK,ENSG00000124942,79026,Ahnak,ENSMUSG00000069833,66395
AHSA1,ENSG00000100591,10598,Ahsa1,ENSMUSG00000021037,217737
ALCAM,ENSG00000170017,214,Alcam,ENSMUSG00000022636,11658
ALDH2,ENSG00000111275,217,Aldh2,ENSMUSG00000029455,11669
ALDH6A1,ENSG00000119711,4329,Aldh6a1,ENSMUSG00000021238,104776
ALDH7A1,ENSG00000164904,501,Aldh7a1,ENSMUSG00000053644,110695
ALDH9A1,ENSG00000143149,223,Aldh9a1,ENSMUSG00000026687,56752
ALG2,ENSG00000119523,85365,Alg2,ENSMUSG00000039740,56737
AMER2,ENSG00000165566,219287,Amer2,ENSMUSG00000021986,72125
AMER3,ENSG00000178171,205147,Amer3,ENSMUSG00000045174,211383
AMOT,ENSG00000126016,154796,Amot,ENSMUSG00000041688,27494
ANAPC11,ENSG00000141552,51529,Anapc11,ENSMUSG00000025135,66156
ANLN,ENSG00000011426,54443,Anln,ENSMUSG00000036777,68743
ANO6,ENSG00000177119,196527,Ano6,ENSMUSG00000064210,105722
ANTXR1,ENSG00000169604,84168,Antxr1,ENSMUSG00000033420,69538
ANXA2,ENSG00000182718,302,Anxa2,ENSMUSG00000032231,12306
ANXA5,ENSG00000164111,308,Anxa5,ENSMUSG00000027712,11747
AP3B2,ENSG00000103723,8120,Ap3b2,ENSMUSG00000062444,11775
APH1A,ENSG00000117362,51107,Aph1a,ENSMUSG00000015750,226548
APPL2,ENSG00000136044,55198,Appl2,ENSMUSG00000020263,216190
ARFGAP2,ENSG00000149182,84364,Arfgap2,ENSMUSG00000027255,77038
ARHGAP1,ENSG00000175220,392,Arhgap1,ENSMUSG00000027247,228359
ARHGAP31,ENSG00000031081,57514,Arhgap31,ENSMUSG00000022799,12549
ARHGAP5,ENSG00000100852,394,Arhgap5,ENSMUSG00000035133,11855
ARHGDIB,ENSG00000111348,397,Arhgdib,ENSMUSG00000030220,11857
ARHGEF26,ENSG00000114790,26084,Arhgef26,ENSMUSG00000036885,622434
ARHGEF6,ENSG00000129675,9459,Arhgef6,ENSMUSG00000031133,73341
ARHGEF9,ENSG00000131089,23229,Arhgef9,ENSMUSG00000025656,236915
ARMCX5,ENSG00000125962,64860,Armcx5,ENSMUSG00000072969,494468
ARPC1B,ENSG00000130429,10095,Arpc1b,ENSMUSG00000029622,11867
ATG14,ENSG00000126775,22863,Atg14,ENSMUSG00000037526,100504663
ATG4C,ENSG00000125703,84938,Atg4c,ENSMUSG00000028550,242557
ATL3,ENSG00000184743,25923,Atl3,ENSMUSG00000024759,109168
ATP1A3,ENSG00000105409,478,Atp1a3,ENSMUSG00000040907,232975
ATP2B1,ENSG00000070961,490,Atp2b1,ENSMUSG00000019943,67972
ATP5F1A,ENSG00000152234,498,Atp5a1,ENSMUSG00000025428,11946
ATP5PD,ENSG00000167863,10476,Atp5h,ENSMUSG00000034566,71679
ATP5MF,ENSG00000241468,9551,Atp5j2,ENSMUSG00000038690,57423
ATP5MPL,ENSG00000156411,9556,Atp5mpl,ENSMUSG00000021290,70257
ATP6AP2,ENSG00000182220,10159,Atp6ap2,ENSMUSG00000031007,70495
ATP6V0B,ENSG00000117410,533,Atp6v0b,ENSMUSG00000033379,114143
ATP6V1F,ENSG00000128524,9296,Atp6v1f,ENSMUSG00000004285,66144
BAG2,ENSG00000112208,9532,Bag2,ENSMUSG00000042215,213539
BAG3,ENSG00000151929,9531,Bag3,ENSMUSG00000030847,29810
BBX,ENSG00000114439,56987,Bbx,ENSMUSG00000022641,70508
BCAR3,ENSG00000137936,8412,Bcar3,ENSMUSG00000028121,29815
BCL6,ENSG00000113916,604,Bcl6,ENSMUSG00000022508,12053
BDH1,ENSG00000161267,622,Bdh1,ENSMUSG00000046598,71911
BEX1,ENSG00000133169,55859,Bex1,ENSMUSG00000050071,19716
BMPR1B,ENSG00000138696,658,Bmpr1b,ENSMUSG00000052430,12167
BOK,ENSG00000176720,666,Bok,ENSMUSG00000026278,51800
BOLA3,ENSG00000163170,388962,Bola3,ENSMUSG00000045160,78653
C1orf115,ENSG00000162817,79762,C130074G19Rik,ENSMUSG00000039349,226777
CACHD1,ENSG00000158966,57685,Cachd1,ENSMUSG00000028532,320508
CACNG8,ENSG00000142408,59283,Cacng8,ENSMUSG00000053395,81905
CALD1,ENSG00000122786,800,Cald1,ENSMUSG00000029761,109624
CAMTA2,ENSG00000108509,23125,Camta2,ENSMUSG00000040712,216874
CAPZA2,ENSG00000198898,830,Capza2,ENSMUSG00000015733,12343
CA10,ENSG00000154975,56934,Car10,ENSMUSG00000056158,72605
CASC4,ENSG00000166734,113201,Casc4,ENSMUSG00000060227,319996
CBLN1,ENSG00000102924,869,Cbln1,ENSMUSG00000031654,12404
CCDC115,ENSG00000136710,84317,Ccdc115,ENSMUSG00000042111,69668
CCDC117,ENSG00000159873,150275,Ccdc117,ENSMUSG00000020482,104479
CCT3,ENSG00000163468,7203,Cct3,ENSMUSG00000001416,12462
CD2AP,ENSG00000198087,23607,Cd2ap,ENSMUSG00000061665,12488
CD63,ENSG00000135404,967,Cd63,ENSMUSG00000025351,12512
CD81,ENSG00000110651,975,Cd81,ENSMUSG00000037706,12520
CDC42EP1,ENSG00000128283,11135,Cdc42ep1,ENSMUSG00000049521,104445
CDC42EP4,ENSG00000179604,23580,Cdc42ep4,ENSMUSG00000041598,56699
CDC42SE1,ENSG00000197622,56882,Cdc42se1,ENSMUSG00000046722,57912
CDH20,ENSG00000101542,28316,Cdh20,ENSMUSG00000050840,23836
CDH22,ENSG00000149654,64405,Cdh22,ENSMUSG00000053166,104010
CDK14,ENSG00000058091,5218,Cdk14,ENSMUSG00000028926,18647
CDK18,ENSG00000117266,5129,Cdk18,ENSMUSG00000026437,18557
CDKL5,ENSG00000008086,6792,Cdkl5,ENSMUSG00000031292,382253
CFLAR,ENSG00000003402,8837,Cflar,ENSMUSG00000026031,12633
CGGBP1,ENSG00000163320,8545,Cggbp1,ENSMUSG00000054604,106143
CHGB,ENSG00000089199,1114,Chgb,ENSMUSG00000027350,12653
CHORDC1,ENSG00000110172,26973,Chordc1,ENSMUSG00000001774,66917
CHRAC1,ENSG00000104472,54108,Chrac1,ENSMUSG00000068391,93696
CHRM1,ENSG00000168539,1128,Chrm1,ENSMUSG00000032773,12669
CIRBP,ENSG00000099622,1153,Cirbp,ENSMUSG00000045193,12696
CLDN10,ENSG00000134873,9071,Cldn10,ENSMUSG00000022132,58187
CLDN11,ENSG00000013297,5010,Cldn11,ENSMUSG00000037625,18417
CLIC1,ENSG00000213719,1192,Clic1,ENSMUSG00000007041,114584
CLMN,ENSG00000165959,79789,Clmn,ENSMUSG00000021097,94040
CLSTN3,ENSG00000139182,9746,Clstn3,ENSMUSG00000008153,232370
CMTM5,ENSG00000166091,116173,Cmtm5,ENSMUSG00000040759,67272
CMTM6,ENSG00000091317,54918,Cmtm6,ENSMUSG00000032434,67213
CNN3,ENSG00000117519,1266,Cnn3,ENSMUSG00000053931,71994
CNTN2,ENSG00000184144,6900,Cntn2,ENSMUSG00000053024,21367
COA3,ENSG00000183978,28958,Coa3,ENSMUSG00000017188,52469
COL9A2,ENSG00000049089,1298,Col9a2,ENSMUSG00000028626,12840
COL9A3,ENSG00000092758,1299,Col9a3,ENSMUSG00000027570,12841
COMMD4,ENSG00000140365,54939,Commd4,ENSMUSG00000032299,66199
COPS3,ENSG00000141030,8533,Cops3,ENSMUSG00000019373,26572
COPS4,ENSG00000138663,51138,Cops4,ENSMUSG00000035297,26891
COQ4,ENSG00000167113,51117,Coq4,ENSMUSG00000026798,227683
CORO2A,ENSG00000106789,7464,Coro2a,ENSMUSG00000028337,107684
COX6C,ENSG00000164919,1345,Cox6c,ENSMUSG00000014313,12864
COX7A2L,ENSG00000115944,9167,Cox7a2l,ENSMUSG00000024248,20463
CPT1A,ENSG00000110090,1374,Cpt1a,ENSMUSG00000024900,12894
CSRNP3,ENSG00000178662,80034,Csrnp3,ENSMUSG00000044647,77771
CTNNA1,ENSG00000044115,1495,Ctnna1,ENSMUSG00000037815,12385
CTNND2,ENSG00000169862,1501,Ctnnd2,ENSMUSG00000022240,18163
CUEDC1,ENSG00000180891,404093,Cuedc1,ENSMUSG00000018378,103841
CYBA,ENSG00000051523,1535,Cyba,ENSMUSG00000006519,13057
CYP27A1,ENSG00000135929,1593,Cyp27a1,ENSMUSG00000026170,104086
KIAA1549L,ENSG00000110427,25758,D430041D05Rik,ENSMUSG00000068373,241589
DAAM2,ENSG00000146122,23500,Daam2,ENSMUSG00000040260,76441
DAG1,ENSG00000173402,1605,Dag1,ENSMUSG00000039952,13138
DARS1,ENSG00000115866,1615,Dars,ENSMUSG00000026356,226414
DBNDD2,ENSG00000244274,55861,Dbndd2,ENSMUSG00000017734,52840
DCAF8,ENSG00000132716,50717,Dcaf8,ENSMUSG00000026554,98193
DDX41,ENSG00000183258,51428,Ddx41,ENSMUSG00000021494,72935
DDX42,ENSG00000198231,11325,Ddx42,ENSMUSG00000020705,72047
DECR1,ENSG00000104325,1666,Decr1,ENSMUSG00000028223,67460
DHRS11,ENSG00000278535,79154,Dhrs11,ENSMUSG00000034449,192970
DIDO1,ENSG00000101191,11083,Dido1,ENSMUSG00000038914,23856
DIP2B,ENSG00000066084,57609,Dip2b,ENSMUSG00000023026,239667
DIRAS2,ENSG00000165023,54769,Diras2,ENSMUSG00000047842,68203
DNAJB4,ENSG00000162616,11080,Dnajb4,ENSMUSG00000028035,67035
DNAJB6,ENSG00000105993,10049,Dnajb6,ENSMUSG00000029131,23950
DNAJC9,ENSG00000213551,23234,Dnajc9,ENSMUSG00000021811,108671
DOCK10,ENSG00000135905,55619,Dock10,ENSMUSG00000038608,210293
DOP1A,ENSG00000083097,23033,Dop1a,ENSMUSG00000034973,320615
DTD1,ENSG00000125821,92675,Dtd1,ENSMUSG00000027430,66044
DTNA,ENSG00000134769,1837,Dtna,ENSMUSG00000024302,13527
DYNC2LI1,ENSG00000138036,51626,Dync2li1,ENSMUSG00000024253,213575
EDIL3,ENSG00000164176,10085,Edil3,ENSMUSG00000034488,13612
EFCAB14,ENSG00000159658,9813,Efcab14,ENSMUSG00000034210,230648
EFEMP2,ENSG00000172638,30008,Efemp2,ENSMUSG00000024909,58859
EFHD1,ENSG00000115468,80303,Efhd1,ENSMUSG00000026255,98363
EHD3,ENSG00000013016,30845,Ehd3,ENSMUSG00000024065,57440
ELOVL1,ENSG00000066322,64834,Elovl1,ENSMUSG00000006390,54325
ELOVL7,ENSG00000164181,79993,Elovl7,ENSMUSG00000021696,74559
ENDOD1,ENSG00000149218,23052,Endod1,ENSMUSG00000037419,71946
ENPP2,ENSG00000136960,5168,Enpp2,ENSMUSG00000022425,18606
ENTPD3,ENSG00000168032,956,Entpd3,ENSMUSG00000041608,215446
EPAS1,ENSG00000116016,2034,Epas1,ENSMUSG00000024140,13819
EPS8,ENSG00000151491,2059,Eps8,ENSMUSG00000015766,13860
ERI2,ENSG00000196678,112479,Eri2,ENSMUSG00000030929,71151
EVC,ENSG00000072840,2121,Evc,ENSMUSG00000029122,59056
EVI2A,ENSG00000126860,2123,Evi2a,ENSMUSG00000078771,14017
EXOC1,ENSG00000090989,55763,Exoc1,ENSMUSG00000036435,69940
EZR,ENSG00000092820,7430,Ezr,ENSMUSG00000052397,22350
FAM107B,ENSG00000065809,83641,Fam107b,ENSMUSG00000026655,66540
FAM124A,ENSG00000150510,220108,Fam124a,ENSMUSG00000035184,629059
NIBAN2,ENSG00000136830,64855,Fam129b,ENSMUSG00000026796,227737
FAM160A2,ENSG00000051009,84067,Fam160a2,ENSMUSG00000044465,74349
FAM171A1,ENSG00000148468,221061,Fam171a1,ENSMUSG00000050530,269233
FAM189A2,ENSG00000135063,9413,Fam189a2,ENSMUSG00000071604,381217
FAM193A,ENSG00000125386,8603,Fam193a,ENSMUSG00000037210,231128
PRXL2A,ENSG00000122378,84293,Fam213a,ENSMUSG00000021792,70564
FAM49A,ENSG00000197872,81553,Fam49a,ENSMUSG00000020589,76820
FARSB,ENSG00000116120,10056,Farsb,ENSMUSG00000026245,23874
FAT1,ENSG00000083857,2195,Fat1,ENSMUSG00000070047,14107
FAXC,ENSG00000146267,84553,Faxc,ENSMUSG00000028246,76132
FBXO2,ENSG00000116661,26232,Fbxo2,ENSMUSG00000041556,230904
FCER1G,ENSG00000158869,2207,Fcer1g,ENSMUSG00000058715,14127
FERMT2,ENSG00000073712,10979,Fermt2,ENSMUSG00000037712,218952
FIBP,ENSG00000172500,9158,Fibp,ENSMUSG00000024911,58249
FKBP4,ENSG00000004478,2288,Fkbp4,ENSMUSG00000030357,14228
FMNL2,ENSG00000157827,114793,Fmnl2,ENSMUSG00000036053,71409
FOXN2,ENSG00000170802,3344,Foxn2,ENSMUSG00000034998,14236
FOXN3,ENSG00000053254,1112,Foxn3,ENSMUSG00000033713,71375
FOXO1,ENSG00000150907,2308,Foxo1,ENSMUSG00000044167,56458
FRMD4B,ENSG00000114541,23150,Frmd4b,ENSMUSG00000030064,232288
FRYL,ENSG00000075539,285527,Fryl,ENSMUSG00000070733,72313
FSTL1,ENSG00000163430,11167,Fstl1,ENSMUSG00000022816,14314
FUBP3,ENSG00000107164,8939,Fubp3,ENSMUSG00000026843,320267
FURIN,ENSG00000140564,5045,Furin,ENSMUSG00000030530,18550
FXYD5,ENSG00000089327,53827,Fxyd5,ENSMUSG00000009687,18301
