rank,Run,isolate,Library_Name,Sample_Name,tissue
51,SRR8518370,FUSCCTNBC204,Lib_FUSCCTNBC204.PT,FUSCCTNBC204_ForRNAseq.PairedNormalTissue,Paired_normal_breast_tissue
52,SRR8518378,FUSCCTNBC205,Lib_FUSCCTNBC205.PT,FUSCCTNBC205_ForRNAseq.PairedNormalTissue,Paired_normal_breast_tissue
53,SRR8518334,FUSCCTNBC213,Lib_FUSCCTNBC213.PT,FUSCCTNBC213_ForRNAseq.PairedNormalTissue,Paired_normal_breast_tissue
54,SRR8518206,FUSCCTNBC215,Lib_FUSCCTNBC215.PT,FUSCCTNBC215_ForRNAseq.PairedNormalTissue,Paired_normal_breast_tissue
55,SRR8518446,FUSCCTNBC217,Lib_FUSCCTNBC217.PT,FUSCCTNBC217_ForRNAseq.PairedNormalTissue,Paired_normal_breast_tissue
56,SRR8518132,FUSCCTNBC229,Lib_FUSCCTNBC229.PT,FUSCCTNBC229_ForRNAseq.PairedNormalTissue,Paired_normal_breast_tissue
57,SRR8518310,FUSCCTNBC233,Lib_FUSCCTNBC233.PT,FUSCCTNBC233_ForRNAseq.PairedNormalTissue,Paired_normal_breast_tissue
58,SRR8518333,FUSCCTNBC236,Lib_FUSCCTNBC236.PT,FUSCCTNBC236_ForRNAseq.PairedNormalTissue,Paired_normal_breast_tissue
59,SRR8518278,FUSCCTNBC242,Lib_FUSCCTNBC242.PT,FUSCCTNBC242_ForRNAseq.PairedNormalTissue,Paired_normal_breast_tissue
60,SRR8518371,FUSCCTNBC246,Lib_FUSCCTNBC246.PT,FUSCCTNBC246_ForRNAseq.PairedNormalTissue,Paired_normal_breast_tissue
61,SRR8518355,FUSCCTNBC249,Lib_FUSCCTNBC249.PT,FUSCCTNBC249_ForRNAseq.PairedNormalTissue,Paired_normal_breast_tissue
62,SRR8518382,FUSCCTNBC255,Lib_FUSCCTNBC255.PT.rep,FUSCCTNBC255_ForRNAseq.PairedNormalTissue.rep,Paired_normal_breast_tissue
63,SRR8518352,FUSCCTNBC257,Lib_FUSCCTNBC257.PT,FUSCCTNBC257_ForRNAseq.PairedNormalTissue,Paired_normal_breast_tissue
64,SRR8518408,FUSCCTNBC264,Lib_FUSCCTNBC264.PT,FUSCCTNBC264_ForRNAseq.PairedNormalTissue,Paired_normal_breast_tissue
65,SRR8518364,FUSCCTNBC266,Lib_FUSCCTNBC266.PT,FUSCCTNBC266_ForRNAseq.PairedNormalTissue,Paired_normal_breast_tissue
66,SRR8518373,FUSCCTNBC268,Lib_FUSCCTNBC268.PT,FUSCCTNBC268_ForRNAseq.PairedNormalTissue,Paired_normal_breast_tissue
67,SRR8518218,FUSCCTNBC282,Lib_FUSCCTNBC282.PT,FUSCCTNBC282_ForRNAseq.PairedNormalTissue,Paired_normal_breast_tissue
68,SRR8518394,FUSCCTNBC283,Lib_FUSCCTNBC283.PT.rep,FUSCCTNBC283_ForRNAseq.PairedNormalTissue.rep,Paired_normal_breast_tissue
69,SRR8518348,FUSCCTNBC289,Lib_FUSCCTNBC289.PT,FUSCCTNBC289_ForRNAseq.PairedNormalTissue,Paired_normal_breast_tissue
70,SRR8518389,FUSCCTNBC295,Lib_FUSCCTNBC295.PT.rep,FUSCCTNBC295_ForRNAseq.PairedNormalTissue.rep,Paired_normal_breast_tissue
71,SRR8518344,FUSCCTNBC297,Lib_FUSCCTNBC297.PT,FUSCCTNBC297_ForRNAseq.PairedNormalTissue,Paired_normal_breast_tissue
72,SRR8518341,FUSCCTNBC298,Lib_FUSCCTNBC298.PT,FUSCCTNBC298_ForRNAseq.PairedNormalTissue,Paired_normal_breast_tissue
73,SRR8518207,FUSCCTNBC309,Lib_FUSCCTNBC309.PT,FUSCCTNBC309_ForRNAseq.PairedNormalTissue,Paired_normal_breast_tissue
74,SRR8518436,FUSCCTNBC324,Lib_FUSCCTNBC324.PT,FUSCCTNBC324_ForRNAseq.PairedNormalTissue,Paired_normal_breast_tissue
75,SRR8518439,FUSCCTNBC328,Lib_FUSCCTNBC328.PT,FUSCCTNBC328_ForRNAseq.PairedNormalTissue,Paired_normal_breast_tissue
76,SRR8518402,FUSCCTNBC334,Lib_FUSCCTNBC334.PT,FUSCCTNBC334_ForRNAseq.PairedNormalTissue,Paired_normal_breast_tissue
77,SRR8518234,FUSCCTNBC335,Lib_FUSCCTNBC335.PT,FUSCCTNBC335_ForRNAseq.PairedNormalTissue,Paired_normal_breast_tissue
78,SRR8518237,FUSCCTNBC343,Lib_FUSCCTNBC343.PT,FUSCCTNBC343_ForRNAseq.PairedNormalTissue,Paired_normal_breast_tissue
79,SRR8518434,FUSCCTNBC348,Lib_FUSCCTNBC348.PT,FUSCCTNBC348_ForRNAseq.PairedNormalTissue,Paired_normal_breast_tissue
80,SRR8518250,FUSCCTNBC351,Lib_FUSCCTNBC351.PT,FUSCCTNBC351_ForRNAseq.PairedNormalTissue,Paired_normal_breast_tissue
81,SRR8518447,FUSCCTNBC360,Lib_FUSCCTNBC360.PT,FUSCCTNBC360_ForRNAseq.PairedNormalTissue,Paired_normal_breast_tissue
82,SRR8518347,FUSCCTNBC370,Lib_FUSCCTNBC370.PT,FUSCCTNBC370_ForRNAseq.PairedNormalTissue,Paired_normal_breast_tissue
83,SRR8518251,FUSCCTNBC374,Lib_FUSCCTNBC374.PT,FUSCCTNBC374_ForRNAseq.PairedNormalTissue,Paired_normal_breast_tissue
84,SRR8518309,FUSCCTNBC380,Lib_FUSCCTNBC380.PT,FUSCCTNBC380_ForRNAseq.PairedNormalTissue,Paired_normal_breast_tissue
85,SRR8518267,FUSCCTNBC384,Lib_FUSCCTNBC384.PT,FUSCCTNBC384_ForRNAseq.PairedNormalTissue,Paired_normal_breast_tissue
86,SRR8518358,FUSCCTNBC435,Lib_FUSCCTNBC435.PT,FUSCCTNBC435_ForRNAseq.PairedNormalTissue,Paired_normal_breast_tissue
87,SRR8518363,FUSCCTNBC441,Lib_FUSCCTNBC441.PT,FUSCCTNBC441_ForRNAseq.PairedNormalTissue,Paired_normal_breast_tissue
88,SRR8518249,FUSCCTNBC442,Lib_FUSCCTNBC442.PT,FUSCCTNBC442_ForRNAseq.PairedNormalTissue,Paired_normal_breast_tissue
89,SRR8518252,FUSCCTNBC001,Lib_FUSCCTNBC001,FUSCCTNBC001_ForRNAseq.TumorTissue,Primary_breast_tumor_tissue
90,SRR8518401,FUSCCTNBC003,Lib_FUSCCTNBC003,FUSCCTNBC003_ForRNAseq.TumorTissue,Primary_breast_tumor_tissue
91,SRR8518316,FUSCCTNBC004,Lib_FUSCCTNBC004,FUSCCTNBC004_ForRNAseq.TumorTissue,Primary_breast_tumor_tissue
92,SRR8518285,FUSCCTNBC005,Lib_FUSCCTNBC005,FUSCCTNBC005_ForRNAseq.TumorTissue,Primary_breast_tumor_tissue
93,SRR8518187,FUSCCTNBC006,Lib_FUSCCTNBC006.rep,FUSCCTNBC006_ForRNAseq.TumorTissue.rep,Primary_breast_tumor_tissue
94,SRR8613749,FUSCCTNBC007,Lib_FUSCCTNBC007,FUSCCTNBC007_ForRNAseq.TumorTissue.2018,Primary_breast_tumor_tissue
95,SRR8518286,FUSCCTNBC008,Lib_FUSCCTNBC008,FUSCCTNBC008_ForRNAseq.TumorTissue,Primary_breast_tumor_tissue
96,SRR8518315,FUSCCTNBC009,Lib_FUSCCTNBC009,FUSCCTNBC009_ForRNAseq.TumorTissue,Primary_breast_tumor_tissue
97,SRR8613748,FUSCCTNBC010,Lib_FUSCCTNBC010,FUSCCTNBC010_ForRNAseq.TumorTissue.2018,Primary_breast_tumor_tissue
98,SRR8518137,FUSCCTNBC011,Lib_FUSCCTNBC011,FUSCCTNBC011_ForRNAseq.TumorTissue,Primary_breast_tumor_tissue
99,SRR8518219,FUSCCTNBC012,Lib_FUSCCTNBC012.rep,FUSCCTNBC012_ForRNAseq.TumorTissue.rep,Primary_breast_tumor_tissue
100,SRR8518450,FUSCCTNBC013,Lib_FUSCCTNBC013,FUSCCTNBC013_ForRNAseq.TumorTissue,Primary_breast_tumor_tissue
101,SRR8518245,FUSCCTNBC015,Lib_FUSCCTNBC015,FUSCCTNBC015_ForRNAseq.TumorTissue,Primary_breast_tumor_tissue
102,SRR8518182,FUSCCTNBC016,Lib_FUSCCTNBC016,FUSCCTNBC016_ForRNAseq.TumorTissue,Primary_breast_tumor_tissue
103,SRR8518289,FUSCCTNBC017,Lib_FUSCCTNBC017.rep,FUSCCTNBC017_ForRNAseq.TumorTissue.rep,Primary_breast_tumor_tissue
104,SRR8518246,FUSCCTNBC018,Lib_FUSCCTNBC018,FUSCCTNBC018_ForRNAseq.TumorTissue,Primary_breast_tumor_tissue
105,SRR8518247,FUSCCTNBC019,Lib_FUSCCTNBC019,FUSCCTNBC019_ForRNAseq.TumorTissue,Primary_breast_tumor_tissue
106,SRR8518248,FUSCCTNBC021,Lib_FUSCCTNBC021,FUSCCTNBC021_ForRNAseq.TumorTissue,Primary_breast_tumor_tissue
107,SRR8613747,FUSCCTNBC022,Lib_FUSCCTNBC022,FUSCCTNBC022_ForRNAseq.TumorTissue.2018,Primary_breast_tumor_tissue
108,SRR8518375,FUSCCTNBC023,Lib_FUSCCTNBC023,FUSCCTNBC023_ForRNAseq.TumorTissue,Primary_breast_tumor_tissue
109,SRR8518449,FUSCCTNBC024,Lib_FUSCCTNBC024.rep,FUSCCTNBC024_ForRNAseq.TumorTissue.rep,Primary_breast_tumor_tissue
110,SRR8518241,FUSCCTNBC025,Lib_FUSCCTNBC025,FUSCCTNBC025_ForRNAseq.TumorTissue,Primary_breast_tumor_tissue
111,SRR8518242,FUSCCTNBC026,Lib_FUSCCTNBC026,FUSCCTNBC026_ForRNAseq.TumorTissue,Primary_breast_tumor_tissue
112,SRR8518199,FUSCCTNBC027,Lib_FUSCCTNBC027,FUSCCTNBC027_ForRNAseq.TumorTissue,Primary_breast_tumor_tissue
113,SRR8518165,FUSCCTNBC028,Lib_FUSCCTNBC028,FUSCCTNBC028_ForRNAseq.TumorTissue,Primary_breast_tumor_tissue
114,SRR8518400,FUSCCTNBC030,Lib_FUSCCTNBC030,FUSCCTNBC030_ForRNAseq.TumorTissue,Primary_breast_tumor_tissue
115,SRR8518197,FUSCCTNBC031,Lib_FUSCCTNBC031,FUSCCTNBC031_ForRNAseq.TumorTissue,Primary_breast_tumor_tissue
116,SRR8518356,FUSCCTNBC032,Lib_FUSCCTNBC032,FUSCCTNBC032_ForRNAseq.TumorTissue,Primary_breast_tumor_tissue
117,SRR8518202,FUSCCTNBC033,Lib_FUSCCTNBC033,FUSCCTNBC033_ForRNAseq.TumorTissue,Primary_breast_tumor_tissue
118,SRR8518203,FUSCCTNBC034,Lib_FUSCCTNBC034,FUSCCTNBC034_ForRNAseq.TumorTissue,Primary_breast_tumor_tissue
119,SRR8518143,FUSCCTNBC036,Lib_FUSCCTNBC036,FUSCCTNBC036_ForRNAseq.TumorTissue,Primary_breast_tumor_tissue
120,SRR8613746,FUSCCTNBC037,Lib_FUSCCTNBC037,FUSCCTNBC037_ForRNAseq.TumorTissue.2018,Primary_breast_tumor_tissue
121,SRR8518200,FUSCCTNBC038,Lib_FUSCCTNBC038,FUSCCTNBC038_ForRNAseq.TumorTissue,Primary_breast_tumor_tissue
122,SRR8518201,FUSCCTNBC039,Lib_FUSCCTNBC039,FUSCCTNBC039_ForRNAseq.TumorTissue,Primary_breast_tumor_tissue
123,SRR8518204,FUSCCTNBC040,Lib_FUSCCTNBC040,FUSCCTNBC040_ForRNAseq.TumorTissue,Primary_breast_tumor_tissue
124,SRR8518141,FUSCCTNBC041,Lib_FUSCCTNBC041,FUSCCTNBC041_ForRNAseq.TumorTissue,Primary_breast_tumor_tissue
125,SRR8518452,FUSCCTNBC042,Lib_FUSCCTNBC042.rep,FUSCCTNBC042_ForRNAseq.TumorTissue.rep,Primary_breast_tumor_tissue
126,SRR8613745,FUSCCTNBC043,Lib_FUSCCTNBC043,FUSCCTNBC043_ForRNAseq.TumorTissue.2018,Primary_breast_tumor_tissue
127,SRR8518186,FUSCCTNBC044,Lib_FUSCCTNBC044,FUSCCTNBC044_ForRNAseq.TumorTissue,Primary_breast_tumor_tissue
128,SRR8518442,FUSCCTNBC045,Lib_FUSCCTNBC045.rep,FUSCCTNBC045_ForRNAseq.TumorTissue.rep,Primary_breast_tumor_tissue
129,SRR8518313,FUSCCTNBC046,Lib_FUSCCTNBC046,FUSCCTNBC046_ForRNAseq.TumorTissue,Primary_breast_tumor_tissue
130,SRR8518361,FUSCCTNBC047,Lib_FUSCCTNBC047,FUSCCTNBC047_ForRNAseq.TumorTissue,Primary_breast_tumor_tissue
131,SRR8518196,FUSCCTNBC048,Lib_FUSCCTNBC048,FUSCCTNBC048_ForRNAseq.TumorTissue,Primary_breast_tumor_tissue
132,SRR8518225,FUSCCTNBC050,Lib_FUSCCTNBC050,FUSCCTNBC050_ForRNAseq.TumorTissue,Primary_breast_tumor_tissue
133,SRR8518397,FUSCCTNBC052,Lib_FUSCCTNBC052,FUSCCTNBC052_ForRNAseq.TumorTissue,Primary_breast_tumor_tissue
134,SRR8613744,FUSCCTNBC054,Lib_FUSCCTNBC054,FUSCCTNBC054_ForRNAseq.TumorTissue.2018,Primary_breast_tumor_tissue
135,SRR8613743,FUSCCTNBC055,Lib_FUSCCTNBC055,FUSCCTNBC055_ForRNAseq.TumorTissue.2018,Primary_breast_tumor_tissue
136,SRR8518353,FUSCCTNBC056,Lib_FUSCCTNBC056,FUSCCTNBC056_ForRNAseq.TumorTissue,Primary_breast_tumor_tissue
137,SRR8518195,FUSCCTNBC057,Lib_FUSCCTNBC057,FUSCCTNBC057_ForRNAseq.TumorTissue,Primary_breast_tumor_tissue
138,SRR8518145,FUSCCTNBC058,Lib_FUSCCTNBC058,FUSCCTNBC058_ForRNAseq.TumorTissue,Primary_breast_tumor_tissue
139,SRR8518435,FUSCCTNBC059,Lib_FUSCCTNBC059,FUSCCTNBC059_ForRNAseq.TumorTissue,Primary_breast_tumor_tissue
140,SRR8613742,FUSCCTNBC063,Lib_FUSCCTNBC063,FUSCCTNBC063_ForRNAseq.TumorTissue.2018,Primary_breast_tumor_tissue
141,SRR8518377,FUSCCTNBC065,Lib_FUSCCTNBC065,FUSCCTNBC065_ForRNAseq.TumorTissue,Primary_breast_tumor_tissue
142,SRR8518385,FUSCCTNBC066,Lib_FUSCCTNBC066,FUSCCTNBC066_ForRNAseq.TumorTissue,Primary_breast_tumor_tissue
143,SRR8518194,FUSCCTNBC068,Lib_FUSCCTNBC068,FUSCCTNBC068_ForRNAseq.TumorTissue,Primary_breast_tumor_tissue
144,SRR8518386,FUSCCTNBC070,Lib_FUSCCTNBC070,FUSCCTNBC070_ForRNAseq.TumorTissue,Primary_breast_tumor_tissue
145,SRR8518383,FUSCCTNBC072,Lib_FUSCCTNBC072,FUSCCTNBC072_ForRNAseq.TumorTissue,Primary_breast_tumor_tissue
146,SRR8518384,FUSCCTNBC073,Lib_FUSCCTNBC073,FUSCCTNBC073_ForRNAseq.TumorTissue,Primary_breast_tumor_tissue
147,SRR8613741,FUSCCTNBC075,Lib_FUSCCTNBC075,FUSCCTNBC075_ForRNAseq.TumorTissue.2018,Primary_breast_tumor_tissue
148,SRR8518312,FUSCCTNBC076,Lib_FUSCCTNBC076,FUSCCTNBC076_ForRNAseq.TumorTissue,Primary_breast_tumor_tissue
149,SRR8518311,FUSCCTNBC078,Lib_FUSCCTNBC078,FUSCCTNBC078_ForRNAseq.TumorTissue,Primary_breast_tumor_tissue
150,SRR8518236,FUSCCTNBC079,Lib_FUSCCTNBC079,FUSCCTNBC079_ForRNAseq.TumorTissue,Primary_breast_tumor_tissue
151,SRR8518287,FUSCCTNBC080,Lib_FUSCCTNBC080,FUSCCTNBC080_ForRNAseq.TumorTissue,Primary_breast_tumor_tissue
152,SRR8518163,FUSCCTNBC081,Lib_FUSCCTNBC081,FUSCCTNBC081_ForRNAseq.TumorTissue,Primary_breast_tumor_tissue
153,SRR8613740,FUSCCTNBC083,Lib_FUSCCTNBC083,FUSCCTNBC083_ForRNAseq.TumorTissue.2018,Primary_breast_tumor_tissue
154,SRR8518268,FUSCCTNBC084,Lib_FUSCCTNBC084,FUSCCTNBC084_ForRNAseq.TumorTissue,Primary_breast_tumor_tissue
155,SRR8518301,FUSCCTNBC085,Lib_FUSCCTNBC085,FUSCCTNBC085_ForRNAseq.TumorTissue,Primary_breast_tumor_tissue
156,SRR8518345,FUSCCTNBC086,Lib_FUSCCTNBC086,FUSCCTNBC086_ForRNAseq.TumorTissue,Primary_breast_tumor_tissue
157,SRR8518288,FUSCCTNBC087,Lib_FUSCCTNBC087,FUSCCTNBC087_ForRNAseq.TumorTissue,Primary_breast_tumor_tissue
158,SRR8518238,FUSCCTNBC088,Lib_FUSCCTNBC088,FUSCCTNBC088_ForRNAseq.TumorTissue,Primary_breast_tumor_tissue
159,SRR8518414,FUSCCTNBC090,Lib_FUSCCTNBC090,FUSCCTNBC090_ForRNAseq.TumorTissue,Primary_breast_tumor_tissue
160,SRR8613805,FUSCCTNBC091,Lib_FUSCCTNBC091,FUSCCTNBC091_ForRNAseq.TumorTissue.2018,Primary_breast_tumor_tissue
161,SRR8613804,FUSCCTNBC092,Lib_FUSCCTNBC092,FUSCCTNBC092_ForRNAseq.TumorTissue.2018,Primary_breast_tumor_tissue
162,SRR8518415,FUSCCTNBC093,Lib_FUSCCTNBC093,FUSCCTNBC093_ForRNAseq.TumorTissue,Primary_breast_tumor_tissue
163,SRR8518338,FUSCCTNBC095,Lib_FUSCCTNBC095,FUSCCTNBC095_ForRNAseq.TumorTissue,Primary_breast_tumor_tissue
164,SRR8518416,FUSCCTNBC096,Lib_FUSCCTNBC096,FUSCCTNBC096_ForRNAseq.TumorTissue,Primary_breast_tumor_tissue
165,SRR8518337,FUSCCTNBC097,Lib_FUSCCTNBC097,FUSCCTNBC097_ForRNAseq.TumorTissue,Primary_breast_tumor_tissue
166,SRR8613807,FUSCCTNBC098,Lib_FUSCCTNBC098,FUSCCTNBC098_ForRNAseq.TumorTissue.2018,Primary_breast_tumor_tissue
167,SRR8518340,FUSCCTNBC099,Lib_FUSCCTNBC099,FUSCCTNBC099_ForRNAseq.TumorTissue,Primary_breast_tumor_tissue
168,SRR8518299,FUSCCTNBC100,Lib_FUSCCTNBC100,FUSCCTNBC100_ForRNAseq.TumorTissue,Primary_breast_tumor_tissue
169,SRR8613806,FUSCCTNBC101,Lib_FUSCCTNBC101,FUSCCTNBC101_ForRNAseq.TumorTissue.2018,Primary_breast_tumor_tissue
170,SRR8518144,FUSCCTNBC102,Lib_FUSCCTNBC102,FUSCCTNBC102_ForRNAseq.TumorTissue,Primary_breast_tumor_tissue
171,SRR8518292,FUSCCTNBC103,Lib_FUSCCTNBC103,FUSCCTNBC103_ForRNAseq.TumorTissue,Primary_breast_tumor_tissue
172,SRR8613801,FUSCCTNBC105,Lib_FUSCCTNBC105,FUSCCTNBC105_ForRNAseq.TumorTissue.2018,Primary_breast_tumor_tissue
173,SRR8518298,FUSCCTNBC107,Lib_FUSCCTNBC107,FUSCCTNBC107_ForRNAseq.TumorTissue,Primary_breast_tumor_tissue
174,SRR8518297,FUSCCTNBC110,Lib_FUSCCTNBC110,FUSCCTNBC110_ForRNAseq.TumorTissue,Primary_breast_tumor_tissue
175,SRR8518272,FUSCCTNBC113,Lib_FUSCCTNBC113,FUSCCTNBC113_ForRNAseq.TumorTissue,Primary_breast_tumor_tissue
176,SRR8518270,FUSCCTNBC116,Lib_FUSCCTNBC116,FUSCCTNBC116_ForRNAseq.TumorTissue,Primary_breast_tumor_tissue
