ensembl_gene_id,gene_biotype,,,,,,,,,,
ENSG00000241641,processed_pseudogene,,,,,,,,,,
ENSG00000237213,processed_pseudogene,,,,,,,,,,
ENSG00000213063,processed_pseudogene,,,,,,,,,,
ENSG00000258316,processed_pseudogene,,,,,,,,,,
ENSG00000227906,antisense,,,,,,,,,,
ENSG00000213653,processed_pseudogene,,,,,,,,,,
ENSG00000237438,transcribed_unprocessed_pseudogene,,,,,,,,,,
ENSG00000216347,processed_pseudogene,,,,,,,,,,
ENSG00000223904,processed_pseudogene,,,,,,,,,,
ENSG00000244879,antisense,,,,,,,,,,
ENSG00000216636,processed_pseudogene,,,,,,,,,,
ENSG00000232267,processed_pseudogene,,,,,,,,,,
ENSG00000166770,lincRNA,,,,,,,,,,
ENSG00000264714,transcribed_processed_pseudogene,,,,,,,,,,
ENSG00000235879,processed_pseudogene,,,,,,,,,,
ENSG00000201700,snoRNA,,,,,,,,,,
ENSG00000260357,transcribed_unprocessed_pseudogene,,,,,,,,,,
ENSG00000237632,processed_pseudogene,,,,,,,,,,
ENSG00000217085,processed_pseudogene,,,,,,,,,,
ENSG00000218089,processed_pseudogene,,,,,,,,,,
ENSG00000216657,processed_pseudogene,,,,,,,,,,
ENSG00000248663,lincRNA,,,,,,,,,,
ENSG00000249669,lincRNA,,,,,,,,,,
ENSG00000244026,transcribed_unprocessed_pseudogene,,,,,,,,,,
ENSG00000143429,transcribed_unprocessed_pseudogene,,,,,,,,,,
ENSG00000213003,processed_pseudogene,,,,,,,,,,
ENSG00000220773,processed_pseudogene,,,,,,,,,,
ENSG00000233325,transcribed_unprocessed_pseudogene,,,,,,,,,,
ENSG00000228599,processed_pseudogene,,,,,,,,,,
ENSG00000119660,processed_pseudogene,,,,,,,,,,
ENSG00000232223,processed_pseudogene,,,,,,,,,,
ENSG00000237154,processed_pseudogene,,,,,,,,,,
ENSG00000231900,processed_pseudogene,,,,,,,,,,
ENSG00000245937,lincRNA,,,,,,,,,,
ENSG00000229919,processed_pseudogene,,,,,,,,,,
ENSG00000220069,processed_pseudogene,,,,,,,,,,
ENSG00000218868,processed_pseudogene,,,,,,,,,,
ENSG00000226142,processed_pseudogene,,,,,,,,,,
ENSG00000233402,processed_pseudogene,,,,,,,,,,
ENSG00000235244,lincRNA,,,,,,,,,,
ENSG00000214765,transcribed_unprocessed_pseudogene,,,,,,,,,,
ENSG00000215883,protein_coding,,,,,,,,,,
ENSG00000225470,lincRNA,,,,,,,,,,
ENSG00000229048,processed_pseudogene,,,,,,,,,,
ENSG00000172965,lincRNA,,,,,,,,,,
ENSG00000229612,processed_pseudogene,,,,,,,,,,
ENSG00000219807,processed_pseudogene,,,,,,,,,,
ENSG00000217372,processed_pseudogene,,,,,,,,,,
ENSG00000226540,processed_pseudogene,,,,,,,,,,
ENSG00000213130,processed_pseudogene,,,,,,,,,,
ENSG00000217404,processed_pseudogene,,,,,,,,,,
ENSG00000219941,processed_pseudogene,,,,,,,,,,
ENSG00000226309,processed_pseudogene,,,,,,,,,,
ENSG00000277043,processed_pseudogene,,,,,,,,,,
ENSG00000174572,processed_pseudogene,,,,,,,,,,
ENSG00000213272,processed_pseudogene,,,,,,,,,,
ENSG00000214012,processed_pseudogene,,,,,,,,,,
ENSG00000203858,unprocessed_pseudogene,,,,,,,,,,
ENSG00000015133,protein_coding,,,,,,,,,,
ENSG00000231074,antisense,,,,,,,,,,
ENSG00000179082,lincRNA,,,,,,,,,,
ENSG00000199094,miRNA,,,,,,,,,,
ENSG00000125997,transcribed_unitary_pseudogene,,,,,,,,,,
ENSG00000196295,processed_transcript,,,,,,,,,,
ENSG00000226674,lincRNA,,,,,,,,,,
ENSG00000244627,transcribed_unprocessed_pseudogene,,,,,,,,,,
ENSG00000197520,protein_coding,,,,,,,,,,
ENSG00000280832,antisense,,,,,,,,,,
ENSG00000255248,processed_transcript,,,,,,,,,,
ENSG00000196167,antisense,,,,,,,,,,
ENSG00000235124,processed_pseudogene,,,,,,,,,,
ENSG00000214009,processed_pseudogene,,,,,,,,,,
ENSG00000178723,processed_pseudogene,,,,,,,,,,
ENSG00000187481,unprocessed_pseudogene,,,,,,,,,,
ENSG00000235282,processed_pseudogene,,,,,,,,,,
ENSG00000205922,protein_coding,,,,,,,,,,
ENSG00000227969,processed_pseudogene,,,,,,,,,,
ENSG00000215386,lincRNA,,,,,,,,,,
ENSG00000188811,protein_coding,,,,,,,,,,
ENSG00000237659,processed_pseudogene,,,,,,,,,,
ENSG00000177868,protein_coding,,,,,,,,,,
ENSG00000184508,protein_coding,,,,,,,,,,
ENSG00000197448,protein_coding,,,,,,,,,,
ENSG00000213310,processed_pseudogene,,,,,,,,,,
ENSG00000282164,sense_intronic,,,,,,,,,,
ENSG00000197013,protein_coding,,,,,,,,,,
ENSG00000233548,processed_pseudogene,,,,,,,,,,
ENSG00000183647,protein_coding,,,,,,,,,,
ENSG00000237793,processed_pseudogene,,,,,,,,,,
ENSG00000206417,antisense,,,,,,,,,,
ENSG00000220323,transcribed_unprocessed_pseudogene,,,,,,,,,,
ENSG00000180663,unitary_pseudogene,,,,,,,,,,
ENSG00000249673,antisense,,,,,,,,,,
ENSG00000146223,protein_coding,,,,,,,,,,
ENSG00000230102,processed_transcript,,,,,,,,,,
ENSG00000266904,lincRNA,,,,,,,,,,
ENSG00000259315,transcribed_processed_pseudogene,,,,,,,,,,
ENSG00000246100,lincRNA,,,,,,,,,,
ENSG00000235106,protein_coding,,,,,,,,,,
ENSG00000165868,protein_coding,,,,,,,,,,
ENSG00000233545,processed_pseudogene,,,,,,,,,,
ENSG00000172901,protein_coding,,,,,,,,,,
ENSG00000213652,processed_pseudogene,,,,,,,,,,
ENSG00000196705,protein_coding,,,,,,,,,,
ENSG00000227563,processed_pseudogene,,,,,,,,,,
ENSG00000226038,processed_pseudogene,,,,,,,,,,
ENSG00000226188,processed_pseudogene,,,,,,,,,,
ENSG00000236474,processed_pseudogene,,,,,,,,,,
ENSG00000188938,protein_coding,,,,,,,,,,
ENSG00000186106,protein_coding,,,,,,,,,,
ENSG00000177058,protein_coding,,,,,,,,,,
ENSG00000157470,protein_coding,,,,,,,,,,
ENSG00000227674,lincRNA,,,,,,,,,,
ENSG00000245105,antisense,,,,,,,,,,
ENSG00000218728,processed_pseudogene,,,,,,,,,,
ENSG00000230268,protein_coding,,,,,,,,,,
ENSG00000227118,processed_pseudogene,,,,,,,,,,
ENSG00000152527,protein_coding,,,,,,,,,,
ENSG00000235217,transcribed_processed_pseudogene,,,,,,,,,,
ENSG00000215546,processed_pseudogene,,,,,,,,,,
ENSG00000226229,processed_pseudogene,,,,,,,,,,
ENSG00000214541,processed_pseudogene,,,,,,,,,,
ENSG00000229871,processed_pseudogene,,,,,,,,,,
ENSG00000250517,transcribed_processed_pseudogene,,,,,,,,,,
ENSG00000151131,protein_coding,,,,,,,,,,
ENSG00000178338,protein_coding,,,,,,,,,,
ENSG00000166762,protein_coding,,,,,,,,,,
ENSG00000224032,lincRNA,,,,,,,,,,
ENSG00000166734,protein_coding,,,,,,,,,,
ENSG00000165322,protein_coding,,,,,,,,,,
ENSG00000172671,protein_coding,,,,,,,,,,
ENSG00000143315,protein_coding,,,,,,,,,,
ENSG00000101278,processed_pseudogene,,,,,,,,,,
ENSG00000205038,protein_coding,,,,,,,,,,
ENSG00000226948,processed_pseudogene,,,,,,,,,,
ENSG00000163214,protein_coding,,,,,,,,,,
ENSG00000140323,protein_coding,,,,,,,,,,
ENSG00000116641,protein_coding,,,,,,,,,,
ENSG00000196739,protein_coding,,,,,,,,,,
ENSG00000215908,transcribed_unprocessed_pseudogene,,,,,,,,,,
ENSG00000135355,protein_coding,,,,,,,,,,
ENSG00000147138,protein_coding,,,,,,,,,,
ENSG00000188321,protein_coding,,,,,,,,,,
ENSG00000171476,protein_coding,,,,,,,,,,
ENSG00000163755,protein_coding,,,,,,,,,,
ENSG00000114473,protein_coding,,,,,,,,,,
ENSG00000165568,protein_coding,,,,,,,,,,
ENSG00000154978,protein_coding,,,,,,,,,,
ENSG00000111371,protein_coding,,,,,,,,,,
ENSG00000219926,transcribed_unprocessed_pseudogene,,,,,,,,,,
ENSG00000153815,protein_coding,,,,,,,,,,
ENSG00000135951,protein_coding,,,,,,,,,,
ENSG00000178401,protein_coding,,,,,,,,,,
ENSG00000162777,protein_coding,,,,,,,,,,
ENSG00000187720,protein_coding,,,,,,,,,,
ENSG00000237125,antisense,,,,,,,,,,
ENSG00000075420,protein_coding,,,,,,,,,,
ENSG00000215305,protein_coding,,,,,,,,,,
ENSG00000156860,protein_coding,,,,,,,,,,
ENSG00000119787,protein_coding,,,,,,,,,,
ENSG00000219491,unprocessed_pseudogene,,,,,,,,,,
ENSG00000049618,protein_coding,,,,,,,,,,
ENSG00000137817,protein_coding,,,,,,,,,,
ENSG00000132204,lincRNA,,,,,,,,,,
ENSG00000128833,protein_coding,,,,,,,,,,
ENSG00000186918,protein_coding,,,,,,,,,,
ENSG00000242948,transcribed_processed_pseudogene,,,,,,,,,,
ENSG00000124224,transcribed_unprocessed_pseudogene,,,,,,,,,,
ENSG00000129534,protein_coding,,,,,,,,,,
ENSG00000164253,protein_coding,,,,,,,,,,
ENSG00000198301,protein_coding,,,,,,,,,,
ENSG00000140543,protein_coding,,,,,,,,,,
ENSG00000101193,protein_coding,,,,,,,,,,
ENSG00000143443,protein_coding,,,,,,,,,,
ENSG00000141664,protein_coding,,,,,,,,,,
ENSG00000163832,protein_coding,,,,,,,,,,
ENSG00000114796,protein_coding,,,,,,,,,,
ENSG00000052126,protein_coding,,,,,,,,,,
ENSG00000137103,protein_coding,,,,,,,,,,
ENSG00000146963,protein_coding,,,,,,,,,,
ENSG00000164081,protein_coding,,,,,,,,,,
ENSG00000115239,protein_coding,,,,,,,,,,
ENSG00000110066,protein_coding,,,,,,,,,,
ENSG00000120860,protein_coding,,,,,,,,,,
ENSG00000132837,protein_coding,,,,,,,,,,
ENSG00000111817,protein_coding,,,,,,,,,,
ENSG00000131470,protein_coding,,,,,,,,,,
ENSG00000182108,protein_coding,,,,,,,,,,
ENSG00000211644,IG_V_gene,,,,,,,,,,
ENSG00000211809,TR_V_gene,,,,,,,,,,
ENSG00000211815,TR_V_gene,,,,,,,,,,
ENSG00000224650,IG_V_gene,,,,,,,,,,
ENSG00000178982,protein_coding,,,,,,,,,,
ENSG00000102359,protein_coding,,,,,,,,,,
ENSG00000265491,protein_coding,,,,,,,,,,
ENSG00000080546,protein_coding,,,,,,,,,,
ENSG00000284680,protein_coding,,,,,,,,,,
ENSG00000100575,protein_coding,,,,,,,,,,
ENSG00000273164,sense_intronic,,,,,,,,,,
ENSG00000158321,protein_coding,,,,,,,,,,
ENSG00000196141,protein_coding,,,,,,,,,,
ENSG00000119812,protein_coding,,,,,,,,,,
ENSG00000178057,protein_coding,,,,,,,,,,
ENSG00000171467,protein_coding,,,,,,,,,,
ENSG00000184792,protein_coding,,,,,,,,,,
ENSG00000180957,protein_coding,,,,,,,,,,
ENSG00000182195,protein_coding,,,,,,,,,,
ENSG00000180150,processed_pseudogene,,,,,,,,,,
ENSG00000104635,protein_coding,,,,,,,,,,
ENSG00000146122,protein_coding,,,,,,,,,,
ENSG00000117620,protein_coding,,,,,,,,,,
ENSG00000164151,protein_coding,,,,,,,,,,
ENSG00000049759,protein_coding,,,,,,,,,,
ENSG00000213551,protein_coding,,,,,,,,,,
ENSG00000055208,protein_coding,,,,,,,,,,
ENSG00000197226,protein_coding,,,,,,,,,,
ENSG00000130227,protein_coding,,,,,,,,,,
ENSG00000118985,protein_coding,,,,,,,,,,
ENSG00000179912,protein_coding,,,,,,,,,,
ENSG00000025796,protein_coding,,,,,,,,,,
ENSG00000023734,protein_coding,,,,,,,,,,
ENSG00000170917,protein_coding,,,,,,,,,,
ENSG00000136243,protein_coding,,,,,,,,,,
ENSG00000136240,protein_coding,,,,,,,,,,
ENSG00000111142,protein_coding,,,,,,,,,,
ENSG00000017797,protein_coding,,,,,,,,,,
ENSG00000112996,protein_coding,,,,,,,,,,
ENSG00000125826,protein_coding,,,,,,,,,,
ENSG00000066777,protein_coding,,,,,,,,,,
ENSG00000237194,processed_pseudogene,,,,,,,,,,
ENSG00000164162,protein_coding,,,,,,,,,,
ENSG00000134255,protein_coding,,,,,,,,,,
ENSG00000214821,processed_pseudogene,,,,,,,,,,
ENSG00000234816,unprocessed_pseudogene,,,,,,,,,,
ENSG00000152767,protein_coding,,,,,,,,,,
ENSG00000111229,protein_coding,,,,,,,,,,
ENSG00000080608,protein_coding,,,,,,,,,,
ENSG00000187391,protein_coding,,,,,,,,,,
ENSG00000101337,protein_coding,,,,,,,,,,
ENSG00000128512,protein_coding,,,,,,,,,,
ENSG00000147488,protein_coding,,,,,,,,,,
ENSG00000198677,protein_coding,,,,,,,,,,
ENSG00000132749,protein_coding,,,,,,,,,,
ENSG00000141027,protein_coding,,,,,,,,,,
ENSG00000120729,protein_coding,,,,,,,,,,
ENSG00000087157,protein_coding,,,,,,,,,,
ENSG00000179915,protein_coding,,,,,,,,,,
ENSG00000007402,protein_coding,,,,,,,,,,
ENSG00000132950,protein_coding,,,,,,,,,,
ENSG00000078699,protein_coding,,,,,,,,,,
ENSG00000138592,protein_coding,,,,,,,,,,
ENSG00000115525,protein_coding,,,,,,,,,,
ENSG00000114166,protein_coding,,,,,,,,,,
ENSG00000003402,protein_coding,,,,,,,,,,
ENSG00000163541,protein_coding,,,,,,,,,,
ENSG00000108846,protein_coding,,,,,,,,,,
ENSG00000144283,protein_coding,,,,,,,,,,
ENSG00000131626,protein_coding,,,,,,,,,,
ENSG00000036257,protein_coding,,,,,,,,,,
ENSG00000139842,protein_coding,,,,,,,,,,
ENSG00000165702,protein_coding,,,,,,,,,,
ENSG00000196367,protein_coding,,,,,,,,,,
ENSG00000140350,protein_coding,,,,,,,,,,
ENSG00000148848,protein_coding,,,,,,,,,,
ENSG00000169925,protein_coding,,,,,,,,,,
ENSG00000187555,protein_coding,,,,,,,,,,
ENSG00000167232,protein_coding,,,,,,,,,,
ENSG00000075407,protein_coding,,,,,,,,,,
ENSG00000140740,protein_coding,,,,,,,,,,
ENSG00000156096,protein_coding,,,,,,,,,,
ENSG00000230037,processed_pseudogene,,,,,,,,,,
ENSG00000141510,protein_coding,,,,,,,,,,
ENSG00000144747,protein_coding,,,,,,,,,,
ENSG00000136869,protein_coding,,,,,,,,,,
ENSG00000211780,TR_V_gene,,,,,,,,,,
ENSG00000071564,protein_coding,,,,,,,,,,
ENSG00000171530,protein_coding,,,,,,,,,,
ENSG00000114904,protein_coding,,,,,,,,,,
ENSG00000100883,protein_coding,,,,,,,,,,
ENSG00000153037,protein_coding,,,,,,,,,,
ENSG00000197912,protein_coding,,,,,,,,,,
ENSG00000254376,processed_pseudogene,,,,,,,,,,
ENSG00000099956,protein_coding,,,,,,,,,,
ENSG00000080503,protein_coding,,,,,,,,,,
ENSG00000168575,protein_coding,,,,,,,,,,
ENSG00000059804,protein_coding,,,,,,,,,,
ENSG00000110436,protein_coding,,,,,,,,,,
ENSG00000159263,protein_coding,,,,,,,,,,
ENSG00000126091,protein_coding,,,,,,,,,,
ENSG00000136546,protein_coding,,,,,,,,,,
ENSG00000130779,protein_coding,,,,,,,,,,
ENSG00000114993,protein_coding,,,,,,,,,,
ENSG00000164587,protein_coding,,,,,,,,,,
ENSG00000173482,protein_coding,,,,,,,,,,
ENSG00000169398,protein_coding,,,,,,,,,,
ENSG00000087494,protein_coding,,,,,,,,,,
ENSG00000231924,protein_coding,,,,,,,,,,
ENSG00000055332,protein_coding,,,,,,,,,,
ENSG00000108984,protein_coding,,,,,,,,,,
ENSG00000188191,protein_coding,,,,,,,,,,
ENSG00000233401,processed_pseudogene,,,,,,,,,,
ENSG00000067601,transcribed_unprocessed_pseudogene,,,,,,,,,,
ENSG00000171566,protein_coding,,,,,,,,,,
ENSG00000067225,protein_coding,,,,,,,,,,
ENSG00000069011,protein_coding,,,,,,,,,,
ENSG00000165195,protein_coding,,,,,,,,,,
ENSG00000116329,protein_coding,,,,,,,,,,
ENSG00000153234,protein_coding,,,,,,,,,,
ENSG00000168385,protein_coding,,,,,,,,,,
ENSG00000151366,protein_coding,,,,,,,,,,
ENSG00000099783,protein_coding,,,,,,,,,,
ENSG00000157483,protein_coding,,,,,,,,,,
ENSG00000136997,protein_coding,,,,,,,,,,
ENSG00000142347,protein_coding,,,,,,,,,,
ENSG00000198786,protein_coding,,,,,,,,,,
ENSG00000198417,protein_coding,,,,,,,,,,
ENSG00000020426,protein_coding,,,,,,,,,,
ENSG00000229390,unprocessed_pseudogene,,,,,,,,,,
ENSG00000037749,protein_coding,,,,,,,,,,
ENSG00000014641,protein_coding,,,,,,,,,,
ENSG00000152601,protein_coding,,,,,,,,,,
ENSG00000170365,protein_coding,,,,,,,,,,
ENSG00000118308,protein_coding,,,,,,,,,,
ENSG00000115232,protein_coding,,,,,,,,,,
ENSG00000149503,protein_coding,,,,,,,,,,
ENSG00000211891,IG_C_gene,,,,,,,,,,
ENSG00000196305,protein_coding,,,,,,,,,,
ENSG00000153187,protein_coding,,,,,,,,,,
ENSG00000104824,protein_coding,,,,,,,,,,
ENSG00000096746,protein_coding,,,,,,,,,,
ENSG00000143321,protein_coding,,,,,,,,,,
ENSG00000251596,processed_pseudogene,,,,,,,,,,
ENSG00000136732,protein_coding,,,,,,,,,,
ENSG00000132522,protein_coding,,,,,,,,,,
ENSG00000131095,protein_coding,,,,,,,,,,
ENSG00000104760,protein_coding,,,,,,,,,,
ENSG00000215035,processed_pseudogene,,,,,,,,,,
ENSG00000079459,protein_coding,,,,,,,,,,
ENSG00000123983,protein_coding,,,,,,,,,,
ENSG00000157554,protein_coding,,,,,,,,,,
ENSG00000159023,protein_coding,,,,,,,,,,
ENSG00000170989,protein_coding,,,,,,,,,,
ENSG00000249026,processed_pseudogene,,,,,,,,,,
ENSG00000101266,protein_coding,,,,,,,,,,
ENSG00000172912,processed_pseudogene,,,,,,,,,,
ENSG00000175416,protein_coding,,,,,,,,,,
ENSG00000122705,protein_coding,,,,,,,,,,
ENSG00000102805,protein_coding,,,,,,,,,,
ENSG00000036828,protein_coding,,,,,,,,,,
ENSG00000171791,protein_coding,,,,,,,,,,
ENSG00000225712,processed_pseudogene,,,,,,,,,,
ENSG00000130707,protein_coding,,,,,,,,,,
ENSG00000244723,unprocessed_pseudogene,,,,,,,,,,
ENSG00000084234,protein_coding,,,,,,,,,,
ENSG00000138279,protein_coding,,,,,,,,,,
ENSG00000170017,protein_coding,,,,,,,,,,
ENSG00000279636,lincRNA,,,,,,,,,,
ENSG00000246379,lincRNA,,,,,,,,,,
ENSG00000234665,lincRNA,,,,,,,,,,
ENSG00000267640,transcribed_unprocessed_pseudogene,,,,,,,,,,
ENSG00000217801,transcribed_unprocessed_pseudogene,,,,,,,,,,
ENSG00000235652,antisense,,,,,,,,,,
ENSG00000243150,antisense,,,,,,,,,,
ENSG00000224046,antisense,,,,,,,,,,
ENSG00000223635,antisense,,,,,,,,,,
ENSG00000254718,antisense,,,,,,,,,,
ENSG00000238276,processed_transcript,,,,,,,,,,
ENSG00000258136,antisense,,,,,,,,,,
ENSG00000233184,antisense,,,,,,,,,,
ENSG00000255455,lincRNA,,,,,,,,,,
ENSG00000259370,antisense,,,,,,,,,,
ENSG00000227308,lincRNA,,,,,,,,,,
ENSG00000260193,lincRNA,,,,,,,,,,
ENSG00000272870,antisense,,,,,,,,,,
ENSG00000229775,lincRNA,,,,,,,,,,
ENSG00000250320,antisense,,,,,,,,,,
ENSG00000223652,antisense,,,,,,,,,,
ENSG00000235688,antisense,,,,,,,,,,
ENSG00000230724,lincRNA,,,,,,,,,,
ENSG00000244738,sense_intronic,,,,,,,,,,
ENSG00000260025,lincRNA,,,,,,,,,,
ENSG00000239684,processed_pseudogene,,,,,,,,,,
ENSG00000273142,lincRNA,,,,,,,,,,
ENSG00000281530,sense_intronic,,,,,,,,,,
ENSG00000283426,transcribed_unitary_pseudogene,,,,,,,,,,
ENSG00000267374,miRNA,,,,,,,,,,
ENSG00000180042,protein_coding,,,,,,,,,,
ENSG00000169075,processed_pseudogene,,,,,,,,,,
ENSG00000243024,transcribed_processed_pseudogene,,,,,,,,,,
ENSG00000272556,transcribed_unprocessed_pseudogene,,,,,,,,,,
ENSG00000270977,lincRNA,,,,,,,,,,
ENSG00000228327,transcribed_unprocessed_pseudogene,,,,,,,,,,
ENSG00000273015,lincRNA,,,,,,,,,,
ENSG00000211890,IG_V_gene,,,,,,,,,,
ENSG00000211891,IG_V_gene,,,,,,,,,,
ENSG00000211895,IG_V_gene,,,,,,,,,,
ENSG00000272645,transcribed_unprocessed_pseudogene,,,,,,,,,,
ENSG00000211949,IG_V_gene,,,,,,,,,,
ENSG00000222035,antisense,,,,,,,,,,
ENSG00000236438,transcribed_unprocessed_pseudogene,,,,,,,,,,
ENSG00000230598,transcribed_unprocessed_pseudogene,,,,,,,,,,
ENSG00000263072,antisense,,,,,,,,,,
ENSG00000202474,rRNA_pseudogene,,,,,,,,,,
ENSG00000207277,rRNA_pseudogene,,,,,,,,,,
ENSG00000277049,rRNA,,,,,,,,,,
ENSG00000167633,protein_coding,,,,,,,,,,
ENSG00000283196,transcribed_unprocessed_pseudogene,,,,,,,,,,
ENSG00000232527,lincRNA,,,,,,,,,,
ENSG00000261737,antisense,,,,,,,,,,
ENSG00000259267,lincRNA,,,,,,,,,,
ENSG00000246560,antisense,,,,,,,,,,
ENSG00000246375,lincRNA,,,,,,,,,,
ENSG00000245750,lincRNA,,,,,,,,,,
ENSG00000280733,lincRNA,,,,,,,,,,
ENSG00000281213,lincRNA,,,,,,,,,,
