probe_id	ensembl_gene_id
208967_s_at	ENSG00000004455
212175_s_at	ENSG00000004455
205996_s_at	ENSG00000004455
212174_at	ENSG00000004455
212173_at	ENSG00000004455
205692_s_at	ENSG00000004468
200894_s_at	ENSG00000004478
200895_s_at	ENSG00000004478
1560305_x_at	ENSG00000004478
1560303_at	ENSG00000004478
212348_s_at	ENSG00000004487
201967_at	ENSG00000004534
1552768_at	ENSG00000004660
223460_at	ENSG00000004660
210568_s_at	ENSG00000004700
205091_x_at	ENSG00000004700
212917_x_at	ENSG00000004700
212918_at	ENSG00000004700
1554216_at	ENSG00000004766
1554217_a_at	ENSG00000004766
207045_at	ENSG00000004766
226031_at	ENSG00000004766
214767_s_at	ENSG00000004776
226304_at	ENSG00000004776
233885_at	ENSG00000004777
215256_x_at	ENSG00000004777
213827_at	ENSG00000004777
202077_at	ENSG00000004779
205960_at	ENSG00000004799
1562321_at	ENSG00000004799
225207_at	ENSG00000004799
232233_at	ENSG00000004809
232232_s_at	ENSG00000004809
216663_s_at	ENSG00000004838
205714_s_at	ENSG00000004838
1569072_s_at	ENSG00000004846
243167_at	ENSG00000004846
240717_at	ENSG00000004846
1555371_at	ENSG00000004846
238878_at	ENSG00000004848
229061_s_at	ENSG00000004864
203775_at	ENSG00000004864
207524_at	ENSG00000004866
207871_s_at	ENSG00000004866
217878_s_at	ENSG00000004897
217881_s_at	ENSG00000004897
217879_at	ENSG00000004897
217880_at	ENSG00000004897
1552713_a_at	ENSG00000004939
205592_at	ENSG00000004939
207887_s_at	ENSG00000004948
207886_s_at	ENSG00000004948
203746_s_at	ENSG00000004961
203745_at	ENSG00000004961
218759_at	ENSG00000004975
57532_at	ENSG00000004975
205847_at	ENSG00000005001
208947_s_at	ENSG00000005007
211168_s_at	ENSG00000005007
216899_s_at	ENSG00000005020
204361_s_at	ENSG00000005020
204362_at	ENSG00000005020
225639_at	ENSG00000005020
200657_at	ENSG00000005022
218802_at	ENSG00000005059
208493_at	ENSG00000005073
213823_at	ENSG00000005073
212782_x_at	ENSG00000005075
222875_at	ENSG00000005100
226262_at	ENSG00000005100
205619_s_at	ENSG00000005102
213894_at	ENSG00000005108
214920_at	ENSG00000005108
230008_at	ENSG00000005108
229159_at	ENSG00000005108
1555169_at	ENSG00000005156
207348_s_at	ENSG00000005156
204123_at	ENSG00000005156
1554597_at	ENSG00000005156
229861_at	ENSG00000005156
1557984_s_at	ENSG00000005175
218842_at	ENSG00000005175
205942_s_at	ENSG00000005187
210377_at	ENSG00000005187
215215_s_at	ENSG00000005189
208107_s_at	ENSG00000005189
230838_s_at	ENSG00000005194
208968_s_at	ENSG00000005194
208424_s_at	ENSG00000005194
210693_at	ENSG00000005206
215833_s_at	ENSG00000005206
225248_at	ENSG00000005206
225249_at	ENSG00000005206
207765_s_at	ENSG00000005238
211433_x_at	ENSG00000005238
219561_at	ENSG00000005243
235897_at	ENSG00000005243
203680_at	ENSG00000005249
214009_at	ENSG00000005302
236165_at	ENSG00000005302
207551_s_at	ENSG00000005302
211808_s_at	ENSG00000005339
202160_at	ENSG00000005339
228177_at	ENSG00000005339
205839_s_at	ENSG00000005379
203948_s_at	ENSG00000005381
203949_at	ENSG00000005381
206345_s_at	ENSG00000005421
206344_at	ENSG00000005421
210175_at	ENSG00000005436
216305_s_at	ENSG00000005436
225898_at	ENSG00000005448
231102_at	ENSG00000005469
243283_at	ENSG00000005469
204573_at	ENSG00000005469
1570505_at	ENSG00000005471
207819_s_at	ENSG00000005471
223189_x_at	ENSG00000005483
223190_s_at	ENSG00000005483
226100_at	ENSG00000005483
238552_at	ENSG00000005483
232053_x_at	ENSG00000005486
222995_s_at	ENSG00000005486
226913_s_at	ENSG00000005513
210970_s_at	ENSG00000005700
204234_s_at	ENSG00000005801
1557370_s_at	ENSG00000005810
201959_s_at	ENSG00000005810
201960_s_at	ENSG00000005810
225132_at	ENSG00000005812
235608_at	ENSG00000005812
1554240_a_at	ENSG00000005844
213475_s_at	ENSG00000005844
213724_s_at	ENSG00000005882
202590_s_at	ENSG00000005882
201474_s_at	ENSG00000005884
207920_x_at	ENSG00000005889
217176_s_at	ENSG00000005889
214678_x_at	ENSG00000005889
229022_at	ENSG00000005889
200821_at	ENSG00000005893
203041_s_at	ENSG00000005893
203042_at	ENSG00000005893
226671_at	ENSG00000005893
216956_s_at	ENSG00000005961
206494_s_at	ENSG00000005961
206493_at	ENSG00000005961
237721_s_at	ENSG00000005981
237720_at	ENSG00000005981
217228_s_at	ENSG00000005981
208481_at	ENSG00000005981
235619_at	ENSG00000005981
202593_s_at	ENSG00000006007
226214_at	ENSG00000006007
51200_at	ENSG00000006015
218958_at	ENSG00000006015
206315_at	ENSG00000006016
208163_s_at	ENSG00000006025
210344_at	ENSG00000006025
227946_at	ENSG00000006025
223170_at	ENSG00000006042
219704_at	ENSG00000006047
205192_at	ENSG00000006062
210246_s_at	ENSG00000006071
206384_at	ENSG00000006116
222758_s_at	ENSG00000006118
232419_at	ENSG00000006118
218834_s_at	ENSG00000006118
200615_s_at	ENSG00000006125
200612_s_at	ENSG00000006125
206552_s_at	ENSG00000006128
203707_at	ENSG00000006194
232089_at	ENSG00000006194
823_at	ENSG00000006210
203687_at	ENSG00000006210
218164_at	ENSG00000006282
211315_s_at	ENSG00000006283
211314_at	ENSG00000006283
211802_x_at	ENSG00000006283
210380_s_at	ENSG00000006283
207869_s_at	ENSG00000006283
218368_s_at	ENSG00000006327
221289_at	ENSG00000006377
239309_at	ENSG00000006377
242940_x_at	ENSG00000006377
214969_at	ENSG00000006432
213927_at	ENSG00000006432
214435_x_at	ENSG00000006451
224880_at	ENSG00000006451
227371_at	ENSG00000006453
227372_s_at	ENSG00000006453
222675_s_at	ENSG00000006453
225142_at	ENSG00000006459
221778_at	ENSG00000006459
217053_x_at	ENSG00000006468
217061_s_at	ENSG00000006468
206501_x_at	ENSG00000006468
221911_at	ENSG00000006468
221910_at	ENSG00000006468
1555610_at	ENSG00000006530
222132_s_at	ENSG00000006530
218568_at	ENSG00000006530
1565731_at	ENSG00000006534
211004_s_at	ENSG00000006534
205640_at	ENSG00000006534
215106_at	ENSG00000006555
215107_s_at	ENSG00000006555
220309_at	ENSG00000006555
235651_at	ENSG00000006555
1554822_at	ENSG00000006576
1554780_a_at	ENSG00000006576
215286_s_at	ENSG00000006576
217097_s_at	ENSG00000006576
209780_at	ENSG00000006576
223710_at	ENSG00000006606
242857_at	ENSG00000006607
225652_at	ENSG00000006607
1554337_at	ENSG00000006607
204511_at	ENSG00000006607
211184_s_at	ENSG00000006611
205137_x_at	ENSG00000006611
215380_s_at	ENSG00000006625
204244_s_at	ENSG00000006634
211590_x_at	ENSG00000006638
207555_s_at	ENSG00000006638
336_at	ENSG00000006638
207554_x_at	ENSG00000006638
202146_at	ENSG00000006652
230048_at	ENSG00000006652
220158_at	ENSG00000006659
203858_s_at	ENSG00000006695
1569685_at	ENSG00000006695
218412_s_at	ENSG00000006704
202093_s_at	ENSG00000006712
210849_s_at	ENSG00000006715
203106_s_at	ENSG00000006715
235625_at	ENSG00000006715
215232_at	ENSG00000006740
205414_s_at	ENSG00000006740
201767_s_at	ENSG00000006744
1552367_a_at	ENSG00000006747
222272_x_at	ENSG00000006747
1552365_at	ENSG00000006747
207784_at	ENSG00000006756
206831_s_at	ENSG00000006756
232423_at	ENSG00000006756
223696_at	ENSG00000006756
230131_x_at	ENSG00000006756
225280_x_at	ENSG00000006756
223695_s_at	ENSG00000006756
225286_at	ENSG00000006756
209739_s_at	ENSG00000006757
209740_s_at	ENSG00000006757
208208_at	ENSG00000006788
201346_at	ENSG00000006831
219831_at	ENSG00000006837
241911_at	ENSG00000006837
233155_at	ENSG00000007001
231376_at	ENSG00000007001
220051_at	ENSG00000007038
55065_at	ENSG00000007047
221560_at	ENSG00000007047
204304_s_at	ENSG00000007062
225454_at	ENSG00000007080
216605_s_at	ENSG00000007129
214907_at	ENSG00000007129
200815_s_at	ENSG00000007168
211547_s_at	ENSG00000007168
200813_s_at	ENSG00000007168
200816_s_at	ENSG00000007168
210037_s_at	ENSG00000007171
240857_at	ENSG00000007174
210345_s_at	ENSG00000007174
207959_s_at	ENSG00000007174
201728_s_at	ENSG00000007202
201729_s_at	ENSG00000007202
207567_at	ENSG00000007216
239805_at	ENSG00000007216
207704_s_at	ENSG00000007237
211067_s_at	ENSG00000007237
210872_x_at	ENSG00000007237
202191_s_at	ENSG00000007237
202192_s_at	ENSG00000007237
204985_s_at	ENSG00000007255
206267_s_at	ENSG00000007264
211848_s_at	ENSG00000007306
206198_s_at	ENSG00000007306
206199_at	ENSG00000007306
1555748_x_at	ENSG00000007312
1555746_at	ENSG00000007312
205297_s_at	ENSG00000007312
206981_at	ENSG00000007314
230079_at	ENSG00000007341
1552739_s_at	ENSG00000007341
1552738_a_at	ENSG00000007341
233141_s_at	ENSG00000007341
219964_at	ENSG00000007341
216370_s_at	ENSG00000007350
214183_s_at	ENSG00000007350
205646_s_at	ENSG00000007372
235795_at	ENSG00000007372
226078_at	ENSG00000007376
222711_s_at	ENSG00000007384
218686_s_at	ENSG00000007384
1557066_at	ENSG00000007392
1557067_s_at	ENSG00000007392
220143_x_at	ENSG00000007392
223546_x_at	ENSG00000007392
223295_s_at	ENSG00000007392
204811_s_at	ENSG00000007402
216356_x_at	ENSG00000007516
204874_x_at	ENSG00000007516
213104_at	ENSG00000007520
213105_s_at	ENSG00000007520
1555359_at	ENSG00000007541
204144_s_at	ENSG00000007541
225172_at	ENSG00000007545
209454_s_at	ENSG00000007866
206211_at	ENSG00000007908
1555360_a_at	ENSG00000007923
215792_s_at	ENSG00000007923
206496_at	ENSG00000007933
40665_at	ENSG00000007933
220319_s_at	ENSG00000007944
223129_x_at	ENSG00000007944
228098_s_at	ENSG00000007944
223130_s_at	ENSG00000007944
207380_x_at	ENSG00000007952
207217_s_at	ENSG00000007952
210808_s_at	ENSG00000007952
206418_at	ENSG00000007952
207042_at	ENSG00000007968
235582_at	ENSG00000007968
228361_at	ENSG00000007968
200876_s_at	ENSG00000008018
214288_s_at	ENSG00000008018
1553264_a_at	ENSG00000008056
221914_at	ENSG00000008056
203297_s_at	ENSG00000008083
203298_s_at	ENSG00000008083
206575_at	ENSG00000008086
227004_at	ENSG00000008086
231170_at	ENSG00000008086
217128_s_at	ENSG00000008118
215161_at	ENSG00000008118
208917_x_at	ENSG00000008130
215159_s_at	ENSG00000008130
213607_x_at	ENSG00000008130
208918_s_at	ENSG00000008130
208919_s_at	ENSG00000008130
215686_x_at	ENSG00000008196
1553394_a_at	ENSG00000008196
214451_at	ENSG00000008196
233987_at	ENSG00000008197
207896_s_at	ENSG00000008226
206798_x_at	ENSG00000008226
215085_x_at	ENSG00000008226
243752_s_at	ENSG00000008256
236136_at	ENSG00000008256
206523_at	ENSG00000008256
225147_at	ENSG00000008256
1555024_at	ENSG00000008277
208227_x_at	ENSG00000008277
208226_x_at	ENSG00000008277
208237_x_at	ENSG00000008277
206616_s_at	ENSG00000008277
206615_s_at	ENSG00000008277
244194_at	ENSG00000008277
213411_at	ENSG00000008277
201259_s_at	ENSG00000008282
201260_s_at	ENSG00000008282
210816_s_at	ENSG00000008283
209164_s_at	ENSG00000008283
217200_x_at	ENSG00000008283
207986_x_at	ENSG00000008283
209163_at	ENSG00000008283
1554543_at	ENSG00000008294
206748_s_at	ENSG00000008294
212470_at	ENSG00000008294
212468_at	ENSG00000008294
225339_at	ENSG00000008294
205165_at	ENSG00000008300
40020_at	ENSG00000008300
210852_s_at	ENSG00000008311
214829_at	ENSG00000008311
220073_s_at	ENSG00000008323
218283_at	ENSG00000008324
233651_s_at	ENSG00000008382
1565162_s_at	ENSG00000008394
231736_x_at	ENSG00000008394
240688_at	ENSG00000008394
224918_x_at	ENSG00000008394
209674_at	ENSG00000008405
207384_at	ENSG00000008438
209807_s_at	ENSG00000008441
228278_at	ENSG00000008441
227400_at	ENSG00000008441
208322_s_at	ENSG00000008513
225034_at	ENSG00000008513
225033_at	ENSG00000008513
207289_at	ENSG00000008516
207890_s_at	ENSG00000008516
203828_s_at	ENSG00000008517
202327_s_at	ENSG00000008710
216949_s_at	ENSG00000008710
202328_s_at	ENSG00000008710
208603_s_at	ENSG00000008735
205050_s_at	ENSG00000008735
1556001_at	ENSG00000008735
213043_s_at	ENSG00000008838
1554586_a_at	ENSG00000008853
209441_at	ENSG00000008853
233642_s_at	ENSG00000008869
208942_s_at	ENSG00000008952
208943_s_at	ENSG00000008952
225352_at	ENSG00000008952
1552789_at	ENSG00000008952
1552790_a_at	ENSG00000008952
200949_x_at	ENSG00000008988
214003_x_at	ENSG00000008988
1560023_x_at	ENSG00000008988
1560021_at	ENSG00000008988
216247_at	ENSG00000008988
222975_s_at	ENSG00000009307
219939_s_at	ENSG00000009307
202646_s_at	ENSG00000009307
1555405_at	ENSG00000009335
1554794_a_at	ENSG00000009335
1554793_at	ENSG00000009335
201817_at	ENSG00000009335
208070_s_at	ENSG00000009413
1553007_a_at	ENSG00000009694
205728_at	ENSG00000009694
208060_at	ENSG00000009709
1556638_at	ENSG00000009709
210798_x_at	ENSG00000009724
216968_at	ENSG00000009724
207041_at	ENSG00000009724
231070_at	ENSG00000009765
216897_s_at	ENSG00000009780
228604_at	ENSG00000009780
215275_at	ENSG00000009790
240265_at	ENSG00000009790
213888_s_at	ENSG00000009790
205804_s_at	ENSG00000009790
220632_s_at	ENSG00000009830
225560_at	ENSG00000009830
223021_x_at	ENSG00000009844
224437_s_at	ENSG00000009844
223022_s_at	ENSG00000009844
237059_at	ENSG00000009844
221163_s_at	ENSG00000009950
213336_at	ENSG00000009954
208445_s_at	ENSG00000009954
216125_s_at	ENSG00000010017
202583_s_at	ENSG00000010017
202582_s_at	ENSG00000010017
221680_s_at	ENSG00000010030
224225_s_at	ENSG00000010030
223511_at	ENSG00000010072
206468_s_at	ENSG00000010165
212405_s_at	ENSG00000010165
212407_at	ENSG00000010165
212954_at	ENSG00000010219
200828_s_at	ENSG00000010244
239937_at	ENSG00000010244
200829_x_at	ENSG00000010244
244153_at	ENSG00000010244
238772_at	ENSG00000010244
229765_at	ENSG00000010244
1556035_s_at	ENSG00000010244
231848_x_at	ENSG00000010244
228157_at	ENSG00000010244
201903_at	ENSG00000010256
223065_s_at	ENSG00000010270
233317_at	ENSG00000010278
201005_at	ENSG00000010278
223572_at	ENSG00000010282
201774_s_at	ENSG00000010292
36030_at	ENSG00000010295
209721_s_at	ENSG00000010295
208105_at	ENSG00000010310
231291_at	ENSG00000010310
215622_x_at	ENSG00000010318
221611_s_at	ENSG00000010318
219689_at	ENSG00000010319
227392_at	ENSG00000010322
201591_s_at	ENSG00000010322
1555320_a_at	ENSG00000010327
1555319_at	ENSG00000010327
204150_at	ENSG00000010327
38487_at	ENSG00000010327
221187_s_at	ENSG00000010361
237058_x_at	ENSG00000010379
207184_at	ENSG00000010379
210666_at	ENSG00000010404
211782_at	ENSG00000010404
206342_x_at	ENSG00000010404
236823_at	ENSG00000010404
207463_x_at	ENSG00000010438
213421_x_at	ENSG00000010438
207338_s_at	ENSG00000010539
214706_at	ENSG00000010539
203547_at	ENSG00000010610
206076_at	ENSG00000010626
205504_at	ENSG00000010671
211328_x_at	ENSG00000010704
211331_x_at	ENSG00000010704
211329_x_at	ENSG00000010704
211327_x_at	ENSG00000010704
211332_x_at	ENSG00000010704
211866_x_at	ENSG00000010704
210864_x_at	ENSG00000010704
211863_x_at	ENSG00000010704
211326_x_at	ENSG00000010704
206086_x_at	ENSG00000010704
1553402_a_at	ENSG00000010704
214647_s_at	ENSG00000010704
211330_s_at	ENSG00000010704
206087_x_at	ENSG00000010704
235754_at	ENSG00000010704
221216_s_at	ENSG00000010803
216033_s_at	ENSG00000010810
210105_s_at	ENSG00000010810
212486_s_at	ENSG00000010810
212641_at	ENSG00000010818
212642_s_at	ENSG00000010818
205666_at	ENSG00000010932
202818_s_at	ENSG00000011007
202819_s_at	ENSG00000011007
213604_at	ENSG00000011007
215566_x_at	ENSG00000011009
202292_x_at	ENSG00000011009
215568_x_at	ENSG00000011009
203950_s_at	ENSG00000011021
209280_at	ENSG00000011028
37408_at	ENSG00000011028
208494_at	ENSG00000011083
205665_at	ENSG00000011105
220968_s_at	ENSG00000011105
220297_at	ENSG00000011114
217141_at	ENSG00000011114
1556000_s_at	ENSG00000011114
224943_at	ENSG00000011114
224945_at	ENSG00000011114
205146_x_at	ENSG00000011132
215148_s_at	ENSG00000011132
1555820_a_at	ENSG00000011143
218630_at	ENSG00000011143
218739_at	ENSG00000011198
213805_at	ENSG00000011198
213935_at	ENSG00000011198
205206_at	ENSG00000011201
215741_x_at	ENSG00000011243
222160_at	ENSG00000011243
227691_at	ENSG00000011243
218064_s_at	ENSG00000011243
240554_at	ENSG00000011243
207115_x_at	ENSG00000011258
243552_at	ENSG00000011258
226797_at	ENSG00000011258
203721_s_at	ENSG00000011260
1563361_at	ENSG00000011275
218426_s_at	ENSG00000011275
218425_at	ENSG00000011275
227065_at	ENSG00000011275
217964_at	ENSG00000011295
212016_s_at	ENSG00000011304
212015_x_at	ENSG00000011304
211271_x_at	ENSG00000011304
216306_x_at	ENSG00000011304
202189_x_at	ENSG00000011304
211270_x_at	ENSG00000011304
206531_at	ENSG00000011332
231599_x_at	ENSG00000011332
1559392_s_at	ENSG00000011347
1559956_at	ENSG00000011347
232025_at	ENSG00000011347
226167_at	ENSG00000011347
231025_at	ENSG00000011347
204016_at	ENSG00000011376
34764_at	ENSG00000011376
1569022_a_at	ENSG00000011405
1569021_at	ENSG00000011405
1553694_a_at	ENSG00000011405
226094_at	ENSG00000011405
235792_x_at	ENSG00000011405
213070_at	ENSG00000011405
211924_s_at	ENSG00000011422
210845_s_at	ENSG00000011422
214866_at	ENSG00000011422
1552619_a_at	ENSG00000011426
222608_s_at	ENSG00000011426
221785_at	ENSG00000011451
221783_at	ENSG00000011451
52005_at	ENSG00000011451
221784_at	ENSG00000011451
215070_x_at	ENSG00000011454
204028_s_at	ENSG00000011454
213313_at	ENSG00000011454
211813_x_at	ENSG00000011465
240556_at	ENSG00000011465
242605_at	ENSG00000011465
201893_x_at	ENSG00000011465
211896_s_at	ENSG00000011465
209335_at	ENSG00000011465
239786_at	ENSG00000011465
220438_at	ENSG00000011478
201979_s_at	ENSG00000011485
215705_at	ENSG00000011485
1559159_at	ENSG00000011523
207971_s_at	ENSG00000011523
239442_at	ENSG00000011523
212677_s_at	ENSG00000011523
212675_s_at	ENSG00000011523
218311_at	ENSG00000011566
220118_at	ENSG00000011590
204122_at	ENSG00000011600
213272_s_at	ENSG00000011638
207210_at	ENSG00000011677
211851_x_at	ENSG00000012048
204531_s_at	ENSG00000012048
203720_s_at	ENSG00000012061
203719_at	ENSG00000012061
228131_at	ENSG00000012061
217422_s_at	ENSG00000012124
204581_at	ENSG00000012124
38521_at	ENSG00000012124
203071_at	ENSG00000012171
1554604_at	ENSG00000012174
206473_at	ENSG00000012174
226760_at	ENSG00000012174
217349_s_at	ENSG00000012211
202018_s_at	ENSG00000012223
211051_s_at	ENSG00000012232
209202_s_at	ENSG00000012232
1554375_a_at	ENSG00000012504
206340_at	ENSG00000012504
215082_at	ENSG00000012660
1567222_x_at	ENSG00000012660
208788_at	ENSG00000012660
204445_s_at	ENSG00000012779
214366_s_at	ENSG00000012779
204446_s_at	ENSG00000012779
206700_s_at	ENSG00000012817
209002_s_at	ENSG00000012822
218108_at	ENSG00000012963
211081_s_at	ENSG00000012983
203553_s_at	ENSG00000012983
203552_at	ENSG00000012983
218935_at	ENSG00000013016
230740_at	ENSG00000013016
201252_at	ENSG00000013275
214703_s_at	ENSG00000013288
232904_at	ENSG00000013293
1556641_at	ENSG00000013293
206908_s_at	ENSG00000013297
228335_at	ENSG00000013297
223649_s_at	ENSG00000013306
202180_s_at	ENSG00000013364
1569030_s_at	ENSG00000013374
222512_at	ENSG00000013374
210041_s_at	ENSG00000013375
221788_at	ENSG00000013375
213555_at	ENSG00000013392
229786_at	ENSG00000013392
214683_s_at	ENSG00000013441
219459_at	ENSG00000013503
244685_at	ENSG00000013523
36865_at	ENSG00000013523
213099_at	ENSG00000013523
201823_s_at	ENSG00000013561
201824_at	ENSG00000013561
243345_at	ENSG00000013561
203912_s_at	ENSG00000013563
232816_s_at	ENSG00000013573
208149_x_at	ENSG00000013573
208159_x_at	ENSG00000013573
218450_at	ENSG00000013583
203108_at	ENSG00000013588
235563_at	ENSG00000013588
212444_at	ENSG00000013588
205088_at	ENSG00000013619
211900_x_at	ENSG00000013725
211893_x_at	ENSG00000013725
208602_x_at	ENSG00000013725
213958_at	ENSG00000013725
218308_at	ENSG00000013810
1569487_at	ENSG00000013810
238291_at	ENSG00000014123
212634_at	ENSG00000014123
212633_at	ENSG00000014123
204441_s_at	ENSG00000014138
236546_at	ENSG00000014138
244575_at	ENSG00000014138
241056_at	ENSG00000014164
213445_at	ENSG00000014164
200752_s_at	ENSG00000014216
204393_s_at	ENSG00000014257
237030_at	ENSG00000014257
200978_at	ENSG00000014641
229500_at	ENSG00000014824
202614_at	ENSG00000014824
1556034_s_at	ENSG00000014914
205076_s_at	ENSG00000014914
223281_s_at	ENSG00000014919
221550_at	ENSG00000014919
219547_at	ENSG00000014919
215343_at	ENSG00000015133
231288_at	ENSG00000015133
227228_s_at	ENSG00000015133
206238_s_at	ENSG00000015153
244783_at	ENSG00000015153
1554159_a_at	ENSG00000015171
1554158_at	ENSG00000015171
202137_s_at	ENSG00000015171
202136_at	ENSG00000015171
38964_r_at	ENSG00000015285
205400_at	ENSG00000015285
205983_at	ENSG00000015413
211725_s_at	ENSG00000015475
204493_at	ENSG00000015475
227143_s_at	ENSG00000015475
224305_s_at	ENSG00000015520
224306_at	ENSG00000015520
220106_at	ENSG00000015520
1570528_at	ENSG00000015532
219401_at	ENSG00000015532
221236_s_at	ENSG00000015592
236812_at	ENSG00000015592
201270_x_at	ENSG00000015676
201269_s_at	ENSG00000015676
242238_at	ENSG00000015676
206104_at	ENSG00000016082
229502_at	ENSG00000016391
1559590_at	ENSG00000016391
231994_at	ENSG00000016391
1559591_s_at	ENSG00000016391
229954_at	ENSG00000016391
228560_at	ENSG00000016391
222829_s_at	ENSG00000016402
219115_s_at	ENSG00000016402
210107_at	ENSG00000016490
220026_at	ENSG00000016602
218146_at	ENSG00000016864
218147_s_at	ENSG00000016864
212255_s_at	ENSG00000017260
211137_s_at	ENSG00000017260
209934_s_at	ENSG00000017260
209935_at	ENSG00000017260
209542_x_at	ENSG00000017427
211577_s_at	ENSG00000017427
209540_at	ENSG00000017427
209541_at	ENSG00000017427
234973_at	ENSG00000017483
202844_s_at	ENSG00000017797
242073_at	ENSG00000017797
226957_x_at	ENSG00000017797
210251_s_at	ENSG00000018189
213939_s_at	ENSG00000018189
203724_s_at	ENSG00000018189
213437_at	ENSG00000018189
213430_at	ENSG00000018189
227802_at	ENSG00000018189
1554784_at	ENSG00000018236
211203_s_at	ENSG00000018236
227209_at	ENSG00000018236
227202_at	ENSG00000018236
1555116_s_at	ENSG00000018280
210423_s_at	ENSG00000018280
210422_x_at	ENSG00000018280
217473_x_at	ENSG00000018280
217507_at	ENSG00000018280
202134_s_at	ENSG00000018408
202132_at	ENSG00000018408
202133_at	ENSG00000018408
205401_at	ENSG00000018510
225114_at	ENSG00000018510
225113_at	ENSG00000018510
225108_at	ENSG00000018510
235442_at	ENSG00000018610
219805_at	ENSG00000018610
203295_s_at	ENSG00000018625
203296_s_at	ENSG00000018625
218710_at	ENSG00000018699
241602_at	ENSG00000018869
228232_s_at	ENSG00000019102
229369_at	ENSG00000019102
216019_x_at	ENSG00000019144
212134_at	ENSG00000019144
205819_at	ENSG00000019169
206504_at	ENSG00000019186
239763_at	ENSG00000019485
220571_at	ENSG00000019485
233067_at	ENSG00000019485
229688_at	ENSG00000019485
229687_s_at	ENSG00000019485
221859_at	ENSG00000019505
226086_at	ENSG00000019505
213139_at	ENSG00000019549
1567628_at	ENSG00000019582
209619_at	ENSG00000019582
210755_at	ENSG00000019991
210998_s_at	ENSG00000019991
210997_at	ENSG00000019991
209961_s_at	ENSG00000019991
209960_at	ENSG00000019991
225131_at	ENSG00000019995
225138_at	ENSG00000019995
225130_at	ENSG00000019995
209557_s_at	ENSG00000020129
209556_at	ENSG00000020129
237002_at	ENSG00000020129
