cmap_name	entrezgene_id	ensembl_gene_id
ADAM10	102	ENSG00000137845
ADAM12	8038	ENSG00000148848
ADAM15	8751	ENSG00000143537
ADAM17	6868	ENSG00000151694
ADAM19	8728	ENSG00000135074
ADAM28	10863	ENSG00000042980
ADAM30	11085	ENSG00000134249
ADAM8	101	ENSG00000151651
ADAMDEC1	27299	ENSG00000134028
ADAMTS5	11096	ENSG00000154736
ADAMTSL3	57188	ENSG00000156218
ADAP2	55803	ENSG00000184060
ADAR	103	ENSG00000160710
ADARB2	105	ENSG00000185736
ADAT1	23536	ENSG00000065457
ADCK1	57143	ENSG00000063761
ADCK2	90956	ENSG00000133597
ADCY1	107	ENSG00000164742
ADCY2	108	ENSG00000078295
ADCY3	109	ENSG00000138031
ADCY5	111	ENSG00000173175
ADCY6	112	ENSG00000174233
ADCY7	113	ENSG00000121281
ADCY9	115	ENSG00000162104
ADD3	120	ENSG00000148700
ADGRA2	25960	ENSG00000020181
ADGRE1	2015	ENSG00000174837
ADGRE2	30817	ENSG00000127507
ADGRE5	976	ENSG00000123146
ADGRF5	221395	ENSG00000069122
ADGRG1	9289	ENSG00000205336
ADGRG5	221188	ENSG00000159618
ADH1A	124	ENSG00000187758
ADH1B	125	ENSG00000196616
ADH1C	126	ENSG00000248144
ADH5	128	ENSG00000197894
ADH6	130	ENSG00000172955
ADH7	131	ENSG00000196344
ADI1	55256	ENSG00000182551
ADIPOR1	51094	ENSG00000159346
ADIPOR2	79602	ENSG00000006831
ADK	132	ENSG00000156110
ADM	133	ENSG00000148926
ADNP2	22850	ENSG00000101544
ADO	84890	ENSG00000181915
ADORA1	134	ENSG00000163485
ADORA2A	135	ENSG00000128271
ADORA2B	136	ENSG00000170425
ADORA3	140	ENSG00000282608
ADPGK	83440	ENSG00000159322
ADRA1A	148	ENSG00000120907
ADRA1D	146	ENSG00000171873
ADRA2A	150	ENSG00000150594
ADRA2B	151	ENSG00000274286
ADRA2C	152	ENSG00000184160
ADRB1	153	ENSG00000043591
ADRB2	154	ENSG00000169252
ADRB3	155	ENSG00000188778
ADSL	158	ENSG00000239900
ADSS	159	ENSG00000035687
AEBP1	165	ENSG00000106624
AFDN	4301	ENSG00000130396
AFF1	4299	ENSG00000172493
AFF3	3899	ENSG00000144218
AFF4	27125	ENSG00000072364
AFG3L2	10939	ENSG00000141385
AFP	174	ENSG00000081051
AGER	177	ENSG00000204305
AGK	55750	ENSG00000006530
AGL	178	ENSG00000162688
AGMAT	79814	ENSG00000116771
AGPAT1	10554	ENSG00000204310
AGPAT2	10555	ENSG00000169692
AGT	183	ENSG00000135744
AGTR1	185	ENSG00000144891
AGTR2	186	ENSG00000180772
AGTRAP	57085	ENSG00000177674
AGXT	189	ENSG00000172482
AGXT2	64902	ENSG00000113492
AHCY	191	ENSG00000101444
AHDC1	27245	ENSG00000126705
AHI1	54806	ENSG00000135541
AHR	196	ENSG00000106546
AHRR	57491	ENSG00000063438
AICDA	57379	ENSG00000111732
AIF1	199	ENSG00000204472
AIFM1	9131	ENSG00000156709
AIM2	9447	ENSG00000163568
AIMP2	7965	ENSG00000106305
AIP	9049	ENSG00000110711
AIRE	326	ENSG00000160224
AJUBA	84962	ENSG00000129474
AK1	203	ENSG00000106992
AK2	204	ENSG00000004455
AK3	50808	ENSG00000147853
AK4	205	ENSG00000162433
AK5	26289	ENSG00000154027
AK7	122481	ENSG00000140057
AK8	158067	ENSG00000165695
AK9	221264	ENSG00000155085
AKAP1	8165	ENSG00000121057
AKAP11	11215	ENSG00000023516
AKAP13	11214	ENSG00000170776
AKAP17A	8227	ENSG00000197976
AKAP8	10270	ENSG00000105127
AKAP8L	26993	ENSG00000011243
AKAP9	10142	ENSG00000127914
AKR1A1	10327	ENSG00000117448
AKR1B1	231	ENSG00000085662
AKR1B10	57016	ENSG00000198074
AKR1C1	1645	ENSG00000187134
AKR1C2	1646	ENSG00000151632
AKR1C3	8644	ENSG00000196139
AKR1C4	1109	ENSG00000198610
AKR1D1	6718	ENSG00000122787
AKR7A2	8574	ENSG00000053371
AKT1	207	ENSG00000142208
AKT1S1	84335	ENSG00000204673
AKT2	208	ENSG00000105221
AKT3	10000	ENSG00000117020
AKTIP	64400	ENSG00000166971
ALAD	210	ENSG00000148218
ALAS1	211	ENSG00000023330
ALAS2	212	ENSG00000158578
ALB	213	ENSG00000163631
ALCAM	214	ENSG00000170017
ALDH18A1	5832	ENSG00000059573
ALDH1A1	216	ENSG00000165092
ALDH1A2	8854	ENSG00000128918
ALDH1A3	220	ENSG00000184254
ALDH1B1	219	ENSG00000137124
ALDH2	217	ENSG00000111275
ALDH3A1	218	ENSG00000108602
ALDH3A2	224	ENSG00000072210
ALDH3B1	221	ENSG00000006534
ALDH3B2	222	ENSG00000132746
ALDH4A1	8659	ENSG00000159423
ALDH5A1	7915	ENSG00000112294
ALDH6A1	4329	ENSG00000119711
ALDH7A1	501	ENSG00000164904
ALDH9A1	223	ENSG00000143149
ALDOA	226	ENSG00000149925
ALDOC	230	ENSG00000109107
ALG13	79868	ENSG00000101901
ALG2	85365	ENSG00000119523
ALG5	29880	ENSG00000120697
ALG9	79796	ENSG00000086848
ALK	238	ENSG00000171094
ALKBH2	121642	ENSG00000189046
ALMS1	7840	ENSG00000116127
ALOX12	239	ENSG00000108839
ALOX15	246	ENSG00000161905
ALOX15B	247	ENSG00000179593
ALOX5	240	ENSG00000012779
ALOX5AP	241	ENSG00000132965
ALPK1	80216	ENSG00000073331
ALPK2	115701	ENSG00000198796
ALPK3	57538	ENSG00000136383
ALPL	249	ENSG00000162551
ALX1	8092	ENSG00000180318
AMBP	259	ENSG00000106927
AMD1	262	ENSG00000123505
AMDHD2	51005	ENSG00000162066
AMH	268	ENSG00000104899
AMHR2	269	ENSG00000135409
AMIGO1	57463	ENSG00000181754
AMIGO2	347902	ENSG00000139211
AMIGO3	386724	ENSG00000176020
AMPD1	270	ENSG00000116748
AMPD2	271	ENSG00000116337
AMT	275	ENSG00000145020
AMY2A	279	ENSG00000243480
AMY2B	280	ENSG00000240038
AMZ1	155185	ENSG00000174945
ANAPC2	29882	ENSG00000176248
ANAPC5	51433	ENSG00000089053
ANG	283	ENSG00000214274
ANGPT1	284	ENSG00000154188
ANGPTL2	23452	ENSG00000136859
ANGPTL3	27329	ENSG00000132855
ANGPTL4	51129	ENSG00000167772
ANKK1	255239	ENSG00000170209
ANKRD10	55608	ENSG00000088448
ANKRD11	29123	ENSG00000167522
ANKRD22	118932	ENSG00000152766
ANKRD27	84079	ENSG00000105186
ANKRD37	353322	ENSG00000186352
ANKRD44	91526	ENSG00000065413
ANKRD49	54851	ENSG00000168876
ANKRD50	57182	ENSG00000151458
ANKRD55	79722	ENSG00000164512
ANKZF1	55139	ENSG00000163516
ANO1	55107	ENSG00000131620
ANO10	55129	ENSG00000160746
ANO6	196527	ENSG00000177119
ANP32E	81611	ENSG00000143401
ANPEP	290	ENSG00000166825
ANTXR2	118429	ENSG00000163297
ANXA1	301	ENSG00000135046
ANXA2	302	ENSG00000182718
ANXA3	306	ENSG00000138772
ANXA5	308	ENSG00000164111
ANXA7	310	ENSG00000138279
ANXA9	8416	ENSG00000143412
AOC1	26	ENSG00000002726
AOC3	8639	ENSG00000131471
AOX1	316	ENSG00000138356
AP1B1	162	ENSG00000100280
AP1S2	8905	ENSG00000182287
AP2A1	160	ENSG00000196961
AP2A2	161	ENSG00000183020
AP2M1	1173	ENSG00000161203
AP3B1	8546	ENSG00000132842
AP3D1	8943	ENSG00000065000
AP4S1	11154	ENSG00000100478
AP5B1	91056	ENSG00000254470
APAF1	317	ENSG00000120868
APBA2	321	ENSG00000034053
APBB1IP	54518	ENSG00000077420
APBB2	323	ENSG00000163697
APC	324	ENSG00000134982
APCDD1	147495	ENSG00000154856
APCS	325	ENSG00000132703
APEH	327	ENSG00000164062
APEX1	328	ENSG00000100823
APH1B	83464	ENSG00000138613
API5	8539	ENSG00000166181
APLNR	187	ENSG00000134817
APOA1	335	ENSG00000118137
APOA2	336	ENSG00000158874
APOA5	116519	ENSG00000110243
APOB	338	ENSG00000084674
APOBEC3A	200315	ENSG00000128383
APOBEC3B	9582	ENSG00000179750
APOBEC3D	140564	ENSG00000243811
APOBEC3G	60489	ENSG00000239713
APOBEC3H	164668	ENSG00000100298
APOBR	55911	ENSG00000184730
APOC1	341	ENSG00000130208
APOC2	344	ENSG00000234906
APOC3	345	ENSG00000110245
APOE	348	ENSG00000130203
APOH	350	ENSG00000091583
APOL1	8542	ENSG00000100342
APOL3	80833	ENSG00000128284
APOLD1	81575	ENSG00000178878
APOM	55937	ENSG00000204444
APOO	79135	ENSG00000184831
APP	351	ENSG00000142192
APPBP2	10513	ENSG00000062725
APRT	353	ENSG00000198931
APTR	100505854	ENSG00000214293
AQP1	358	ENSG00000240583
AQP12A	375318	ENSG00000184945
AQP2	359	ENSG00000167580
AQP3	360	ENSG00000165272
AQP9	366	ENSG00000103569
AR	367	ENSG00000169083
ARAF	369	ENSG00000078061
ARAP1	116985	ENSG00000186635
ARC	23237	ENSG00000198576
AREG	374	ENSG00000109321
ARF1	375	ENSG00000143761
ARF4	378	ENSG00000168374
ARF6	382	ENSG00000165527
ARFGAP1	55738	ENSG00000101199
ARFGEF1	10565	ENSG00000066777
ARFGEF2	10564	ENSG00000124198
ARFIP2	23647	ENSG00000132254
ARFRP1	10139	ENSG00000101246
ARG1	383	ENSG00000118520
ARG2	384	ENSG00000081181
ARGLU1	55082	ENSG00000134884
ARHGAP1	392	ENSG00000175220
ARHGAP15	55843	ENSG00000075884
ARHGAP18	93663	ENSG00000146376
ARHGAP24	83478	ENSG00000138639
ARHGAP25	9938	ENSG00000163219
ARHGAP26	23092	ENSG00000145819
ARHGAP30	257106	ENSG00000186517
ARHGAP31	57514	ENSG00000031081
ARHGAP35	2909	ENSG00000160007
ARHGAP9	64333	ENSG00000123329
ARHGDIA	396	ENSG00000141522
ARHGDIB	397	ENSG00000111348
ARHGEF11	9826	ENSG00000132694
ARHGEF12	23365	ENSG00000196914
ARHGEF19	128272	ENSG00000142632
ARHGEF2	9181	ENSG00000116584
ARHGEF25	115557	ENSG00000240771
ARHGEF3	50650	ENSG00000163947
ARHGEF5	7984	ENSG00000050327
ARHGEF6	9459	ENSG00000129675
ARHGEF7	8874	ENSG00000102606
ARHGEF9	23229	ENSG00000131089
ARID1A	8289	ENSG00000117713
ARID1B	57492	ENSG00000049618
ARID2	196528	ENSG00000189079
ARID3A	1820	ENSG00000116017
ARID4A	5926	ENSG00000032219
ARID4B	51742	ENSG00000054267
ARID5B	84159	ENSG00000150347
ARIH1	25820	ENSG00000166233
ARIH2	10425	ENSG00000177479
ARL1	400	ENSG00000120805
ARL3	403	ENSG00000138175
ARL4C	10123	ENSG00000188042
ARL5B	221079	ENSG00000165997
ARL5C	390790	ENSG00000141748
ARL6IP4	51329	ENSG00000182196
ARMC5	79798	ENSG00000140691
ARNT	405	ENSG00000143437
ARNT2	9915	ENSG00000172379
ARNTL	406	ENSG00000133794
ARNTL2	56938	ENSG00000029153
ARPC1A	10552	ENSG00000241685
ARPC1B	10095	ENSG00000130429
ARPC2	10109	ENSG00000163466
ARPC3	10094	ENSG00000111229
ARPC4	10093	ENSG00000241553
ARPC5	10092	ENSG00000162704
ARPP19	10776	ENSG00000128989
ARRB1	408	ENSG00000137486
ARRDC5	645432	ENSG00000205784
ARSG	22901	ENSG00000141337
ARSI	340075	ENSG00000183876
ART1	417	ENSG00000129744
ART3	419	ENSG00000156219
ART4	420	ENSG00000111339
ARX	170302	ENSG00000004848
ASAH1	427	ENSG00000104763
ASAH2B	653308	ENSG00000204147
ASAP1	50807	ENSG00000153317
ASAP2	8853	ENSG00000151693
ASB16-AS1	339201	ENSG00000267080
ASCC3	10973	ENSG00000112249
ASCL2	430	ENSG00000183734
ASCL4	121549	ENSG00000187855
ASCL5	647219	ENSG00000232237
ASF1A	25842	ENSG00000111875
ASF1B	55723	ENSG00000105011
ASGR1	432	ENSG00000141505
ASGR2	433	ENSG00000161944
ASH1L	55870	ENSG00000116539
ASH2L	9070	ENSG00000129691
ASIC2	40	ENSG00000108684
ASIC3	9311	ENSG00000213199
ASL	435	ENSG00000126522
ASMT	438	ENSG00000196433
ASMTL	8623	ENSG00000169093
ASNA1	439	ENSG00000198356
ASNS	440	ENSG00000070669
ASPA	443	ENSG00000108381
ASPH	444	ENSG00000198363
ASPHD1	253982	ENSG00000174939
ASPHD2	57168	ENSG00000128203
ASPM	259266	ENSG00000066279
ASRGL1	80150	ENSG00000162174
ASS1	445	ENSG00000130707
ASXL1	171023	ENSG00000171456
ATAD2	29028	ENSG00000156802
ATF1	466	ENSG00000123268
ATF2	1386	ENSG00000115966
ATF3	467	ENSG00000162772
ATF4	468	ENSG00000128272
ATF5	22809	ENSG00000169136
ATF6	22926	ENSG00000118217
ATF6B	1388	ENSG00000213676
ATF7	11016	ENSG00000170653
ATG10	83734	ENSG00000152348
ATG12	9140	ENSG00000145782
ATG16L1	55054	ENSG00000085978
ATG16L2	89849	ENSG00000168010
ATG3	64422	ENSG00000144848
ATG4A	115201	ENSG00000101844
ATG4B	23192	ENSG00000168397
ATG4D	84971	ENSG00000130734
ATG5	9474	ENSG00000057663
ATG7	10533	ENSG00000197548
ATIC	471	ENSG00000138363
ATM	472	ENSG00000149311
ATMIN	23300	ENSG00000166454
ATOH1	474	ENSG00000172238
ATOX1	475	ENSG00000177556
ATP11B	23200	ENSG00000058063
ATP13A2	23400	ENSG00000159363
ATP13A3	79572	ENSG00000133657
ATP1A1	476	ENSG00000163399
ATP1A1-AS1	84852	ENSG00000203865
ATP1A3	478	ENSG00000105409
ATP1A4	480	ENSG00000132681
ATP1B1	481	ENSG00000143153
ATP1B2	482	ENSG00000129244
ATP1B3	483	ENSG00000069849
ATP1B4	23439	ENSG00000101892
ATP2A1	487	ENSG00000196296
ATP2A1-AS1	100289092	ENSG00000260442
ATP2A2	488	ENSG00000174437
ATP2B1	490	ENSG00000070961
ATP2C1	27032	ENSG00000017260
ATP4A	495	ENSG00000105675
ATP6AP1	537	ENSG00000071553
ATP6V0A1	535	ENSG00000033627
ATP6V0B	533	ENSG00000117410
ATP6V0C	527	ENSG00000185883
ATP6V1A	523	ENSG00000114573
ATP6V1C1	528	ENSG00000155097
ATP6V1D	51382	ENSG00000100554
ATP6V1F	9296	ENSG00000128524
ATP7A	538	ENSG00000165240
ATP8B2	57198	ENSG00000143515
ATP8B4	79895	ENSG00000104043
ATP9A	10079	ENSG00000054793
ATP9B	374868	ENSG00000166377
ATR	545	ENSG00000175054
ATRIP	84126	ENSG00000164053
ATRX	546	ENSG00000085224
ATXN1	6310	ENSG00000124788
ATXN2	6311	ENSG00000204842
ATXN3	4287	ENSG00000066427
ATXN7L2	127002	ENSG00000162650
AURKA	6790	ENSG00000087586
AURKAIP1	54998	ENSG00000175756
AURKB	9212	ENSG00000178999
AURKC	6795	ENSG00000105146
AUTS2	26053	ENSG00000158321
AVPR1A	552	ENSG00000166148
AVPR2	554	ENSG00000126895
AXIN1	8312	ENSG00000103126
AXIN2	8313	ENSG00000168646
AXL	558	ENSG00000167601
AZGP1	563	ENSG00000160862
AZI2	64343	ENSG00000163512
AZIN2	113451	ENSG00000142920
B2M	567	ENSG00000166710
B3GAT1	27087	ENSG00000109956
B3GAT3	26229	ENSG00000149541
B3GNT5	84002	ENSG00000176597
B4GALNT1	2583	ENSG00000135454
B4GALNT3	283358	ENSG00000139044
B4GALT1	2683	ENSG00000086062
B4GALT3	8703	ENSG00000158850
B4GALT4	8702	ENSG00000121578
B4GAT1	11041	ENSG00000174684
B9D1	27077	ENSG00000108641
BACE1	23621	ENSG00000186318
BACE2	25825	ENSG00000182240
BACH1	571	ENSG00000156273
BACH2	60468	ENSG00000112182
BAD	572	ENSG00000002330
BAG1	573	ENSG00000107262
BAG2	9532	ENSG00000112208
BAG3	9531	ENSG00000151929
BAG6	7917	ENSG00000204463
BAK1	578	ENSG00000030110
BAMBI	25805	ENSG00000095739
BANK1	55024	ENSG00000153064
BAP1	8314	ENSG00000163930
BARD1	580	ENSG00000138376
BARX1	56033	ENSG00000131668
BATF	10538	ENSG00000156127
BATF2	116071	ENSG00000168062
BATF3	55509	ENSG00000123685
BAX	581	ENSG00000087088
BAZ1B	9031	ENSG00000009954
BAZ2B	29994	ENSG00000123636
BBC3	27113	ENSG00000105327
BBOX1	8424	ENSG00000129151
BBS9	27241	ENSG00000122507
BCAM	4059	ENSG00000187244
BCAN	63827	ENSG00000132692
BCAP31	10134	ENSG00000185825
BCAR3	8412	ENSG00000137936
BCAS1	8537	ENSG00000064787
BCAS3	54828	ENSG00000141376
BCAT1	586	ENSG00000060982
BCAT2	587	ENSG00000105552
BCCIP	56647	ENSG00000107949
BCHE	590	ENSG00000114200
BCKDHA	593	ENSG00000248098
BCKDK	10295	ENSG00000103507
BCL10	8915	ENSG00000142867
BCL11A	53335	ENSG00000119866
BCL2	596	ENSG00000171791
BCL2A1	597	ENSG00000140379
BCL2L1	598	ENSG00000171552
BCL2L11	10018	ENSG00000153094
BCL2L13	23786	ENSG00000099968
BCL2L14	79370	ENSG00000121380
BCL2L2	599	ENSG00000129473
BCL3	602	ENSG00000069399
BCL6	604	ENSG00000113916
BCL6B	255877	ENSG00000161940
BCL7B	9275	ENSG00000106635
BCL7C	9274	ENSG00000099385
BCL9	607	ENSG00000116128
BCL9L	283149	ENSG00000186174
BCLAF1	9774	ENSG00000029363
BCOR	54880	ENSG00000183337
BCR	613	ENSG00000186716
BDH1	622	ENSG00000161267
BDKRB2	624	ENSG00000168398
BDNF	627	ENSG00000176697
BECN1	8678	ENSG00000126581
BEND3	57673	ENSG00000178409
BEND5	79656	ENSG00000162373
BEST1	7439	ENSG00000167995
BFSP2	8419	ENSG00000170819
BHLHE22	27319	ENSG00000180828
BHLHE40	8553	ENSG00000134107
BHMT	635	ENSG00000145692
BHMT2	23743	ENSG00000132840
BICC1	80114	ENSG00000122870
BID	637	ENSG00000015475
BIK	638	ENSG00000100290
BIN1	274	ENSG00000136717
BIN2	51411	ENSG00000110934
BIRC2	329	ENSG00000110330
BIRC3	330	ENSG00000023445
BIRC5	332	ENSG00000089685
BIRC6	57448	ENSG00000115760
BIRC7	79444	ENSG00000101197
BLCAP	10904	ENSG00000166619
BLK	640	ENSG00000136573
BLM	641	ENSG00000197299
BLMH	642	ENSG00000108578
BLNK	29760	ENSG00000095585
BLOC1S1	2647	ENSG00000135441
BLOC1S6	26258	ENSG00000104164
BLVRA	644	ENSG00000106605
BLVRB	645	ENSG00000090013
BLZF1	8548	ENSG00000117475
BMF	90427	ENSG00000104081
BMI1	648	ENSG00000168283
BMP1	649	ENSG00000168487
BMP2	650	ENSG00000125845
BMP2K	55589	ENSG00000138756
BMP4	652	ENSG00000125378
BMP5	653	ENSG00000112175
BMPR1A	657	ENSG00000107779
BMPR1B	658	ENSG00000138696
BMPR2	659	ENSG00000204217
BMX	660	ENSG00000102010
BNIP1	662	ENSG00000113734
BNIP2	663	ENSG00000140299
BNIP3	664	ENSG00000176171
BNIP3L	665	ENSG00000104765
BNIPL	149428	ENSG00000163141
BOC	91653	ENSG00000144857
BOLA1	51027	ENSG00000178096
BOLL	66037	ENSG00000152430
BOP1	23246	ENSG00000261236
BPHL	670	ENSG00000137274
BPI	671	ENSG00000101425
BPIFA1	51297	ENSG00000198183
BPIFA3	128861	ENSG00000131059
BRAF	673	ENSG00000157764
BRAP	8315	ENSG00000089234
BRCA1	672	ENSG00000012048
BRCA2	675	ENSG00000139618
BRD1	23774	ENSG00000100425
BRD2	6046	ENSG00000204256
BRD3	8019	ENSG00000169925
BRD4	23476	ENSG00000141867
BRD7	29117	ENSG00000166164
BRD8	10902	ENSG00000112983
BRD9	65980	ENSG00000028310
BRDT	676	ENSG00000137948
BRF1	2972	ENSG00000185024
BRF2	55290	ENSG00000104221
BRIX1	55299	ENSG00000113460
BRMS1L	84312	ENSG00000100916
BRPF1	7862	ENSG00000156983
BRPF3	27154	ENSG00000096070
BRSK1	84446	ENSG00000160469
BRSK2	9024	ENSG00000174672
BSG	682	ENSG00000172270
BSN	8927	ENSG00000164061
BST1	683	ENSG00000109743
BST2	684	ENSG00000130303
BTBD1	53339	ENSG00000064726
BTBD19	149478	ENSG00000222009
BTBD2	55643	ENSG00000133243
BTBD3	22903	ENSG00000132640
BTBD8	284697	ENSG00000189195
BTC	685	ENSG00000174808
BTG1	694	ENSG00000133639
BTG2	7832	ENSG00000159388
BTG3	10950	ENSG00000154640
BTK	695	ENSG00000010671
BTLA	151888	ENSG00000186265
BTN1A1	696	ENSG00000124557
BTN2A1	11120	ENSG00000112763
BTN2A2	10385	ENSG00000124508
BTN3A1	11119	ENSG00000026950
BTN3A2	11118	ENSG00000186470
BTN3A3	10384	ENSG00000111801
BTNL2	56244	ENSG00000204290
BTNL3	10917	ENSG00000168903
BTNL8	79908	ENSG00000113303
BTNL9	153579	ENSG00000165810
BTRC	8945	ENSG00000166167
BUB1	699	ENSG00000169679
BUB1B	701	ENSG00000156970
BUB3	9184	ENSG00000154473
BUD13	84811	ENSG00000137656
BUD31	8896	ENSG00000106245
BYSL	705	ENSG00000112578
BZW2	28969	ENSG00000136261
C1GALT1C1	29071	ENSG00000171155
C1QA	712	ENSG00000173372
C1QB	713	ENSG00000173369
C1QBP	708	ENSG00000108561
C1QC	714	ENSG00000159189
C1QTNF6	114904	ENSG00000133466
C1S	716	ENSG00000182326
C2	717	ENSG00000166278
C2CD2	25966	ENSG00000157617
C2CD2L	9854	ENSG00000172375
C2CD4A	145741	ENSG00000198535
C3	718	ENSG00000125730
C4BPA	722	ENSG00000123838
C4BPB	725	ENSG00000123843
C5	727	ENSG00000106804
C5AR1	728	ENSG00000197405
C6	729	ENSG00000039537
C7	730	ENSG00000112936
C8A	731	ENSG00000157131
C8B	732	ENSG00000021852
C9	735	ENSG00000113600
CA1	759	ENSG00000133742
CA10	56934	ENSG00000154975
CA11	770	ENSG00000063180
CA12	771	ENSG00000074410
CA14	23632	ENSG00000118298
CA2	760	ENSG00000104267
CA3	761	ENSG00000164879
CA4	762	ENSG00000167434
CA5A	763	ENSG00000174990
CA5B	11238	ENSG00000169239
CA6	765	ENSG00000131686
CA7	766	ENSG00000168748
CA8	767	ENSG00000178538
CA9	768	ENSG00000107159
CAB39	51719	ENSG00000135932
CABIN1	23523	ENSG00000099991
CACHD1	57685	ENSG00000158966
CACNA1A	773	ENSG00000141837
CACNA1C	775	ENSG00000151067
CACNA1D	776	ENSG00000157388
CACNA1F	778	ENSG00000102001
CACNA1G	8913	ENSG00000006283
CACNA1H	8912	ENSG00000196557
CACNA1I	8911	ENSG00000100346
CACNA1S	779	ENSG00000081248
CACNA2D2	9254	ENSG00000007402
CACNB1	782	ENSG00000067191
CACNB2	783	ENSG00000165995
CACNB3	784	ENSG00000167535
CACNB4	785	ENSG00000182389
CACNG1	786	ENSG00000108878
CACNG2	10369	ENSG00000166862
CACNG3	10368	ENSG00000006116
CAD	790	ENSG00000084774
CADM1	23705	ENSG00000182985
CADM3	57863	ENSG00000162706
CALB1	793	ENSG00000104327
CALCA	796	ENSG00000110680
CALCOCO2	10241	ENSG00000136436
CALCR	799	ENSG00000004948
CALCRL	10203	ENSG00000064989
CALM1	801	ENSG00000198668
CALM2	805	ENSG00000143933
CALM3	808	ENSG00000160014
CALML6	163688	ENSG00000169885
CALR	811	ENSG00000179218
CALU	813	ENSG00000128595
CALY	50632	ENSG00000130643
CAMK1	8536	ENSG00000134072
CAMK1D	57118	ENSG00000183049
CAMK1G	57172	ENSG00000008118
CAMK2A	815	ENSG00000070808
CAMK2B	816	ENSG00000058404
CAMK2D	817	ENSG00000145349
CAMK2G	818	ENSG00000148660
CAMK4	814	ENSG00000152495
