Geneid	dolloAge	wagnerAge
ENSG00000008086	454.6	454.6
ENSG00000008118	1628	1628
ENSG00000008128	1628	1628
ENSG00000008130	4200	4200
ENSG00000008196	454.6	454.6
ENSG00000008197	0	0
ENSG00000008226	454.6	91
ENSG00000008256	1628	910
ENSG00000008277	910	454.6
ENSG00000008282	324.5	324.5
ENSG00000008283	1628	910
ENSG00000008294	910	910
ENSG00000008300	910	910
ENSG00000008311	1628	1628
ENSG00000008323	91	0
ENSG00000008324	0	0
ENSG00000008382	1628	91
ENSG00000008394	910	454.6
ENSG00000008405	1628	454.6
ENSG00000008438	910	91
ENSG00000008441	454.6	454.6
ENSG00000008513	1628	324.5
ENSG00000008516	91	91
ENSG00000008517	0	0
ENSG00000008710	454.6	454.6
ENSG00000008735	910	910
ENSG00000008838	910	454.6
ENSG00000008853	910	454.6
ENSG00000008869	1628	910
ENSG00000008952	1628	1368
ENSG00000008988	4200	4200
ENSG00000009307	910	454.6
ENSG00000009335	1628	910
ENSG00000009413	1628	1628
ENSG00000009694	910	910
ENSG00000009709	910	454.6
ENSG00000009724	454.6	454.6
ENSG00000009765	910	324.5
ENSG00000009780	910	324.5
ENSG00000009790	324.5	324.5
ENSG00000009830	1368	1368
ENSG00000009844	1628	1628
ENSG00000009950	910	324.5
ENSG00000009954	454.6	454.6
ENSG00000010017	1628	1628
ENSG00000010030	324.5	0
ENSG00000010072	910	910
ENSG00000010165	1628	910
ENSG00000010219	1368	91
ENSG00000010244	0	0
ENSG00000010256	454.6	454.6
ENSG00000010270	454.6	454.6
ENSG00000010278	910	454.6
ENSG00000010282	910	910
ENSG00000010292	1628	1628
ENSG00000010295	454.6	454.6
ENSG00000010310	454.6	91
ENSG00000010318	324.5	324.5
ENSG00000010319	454.6	454.6
ENSG00000010322	910	910
ENSG00000010327	454.6	454.6
ENSG00000010361	910	91
ENSG00000010379	910	910
ENSG00000010404	910	454.6
ENSG00000010438	910	454.6
ENSG00000010539	0	0
ENSG00000010610	324.5	324.5
ENSG00000010626	454.6	454.6
ENSG00000010671	910	454.6
ENSG00000010704	91	91
ENSG00000010803	910	454.6
ENSG00000010810	910	454.6
ENSG00000010818	454.6	454.6
ENSG00000010932	1628	1628
ENSG00000011007	1628	1628
ENSG00000011009	1628	1628
ENSG00000011021	324.5	324.5
ENSG00000011028	910	910
ENSG00000011052	4200	4200
ENSG00000011083	324.5	324.5
ENSG00000011105	910	454.6
ENSG00000011114	910	910
ENSG00000011132	91	91
ENSG00000011143	910	454.6
ENSG00000011198	324.5	324.5
ENSG00000011201	910	910
ENSG00000011243	454.6	454.6
ENSG00000011258	910	910
ENSG00000011260	1628	91
ENSG00000011275	324.5	324.5
ENSG00000011295	910	324.5
ENSG00000011304	1628	1628
ENSG00000011332	324.5	324.5
ENSG00000011347	910	91
ENSG00000011376	4200	4200
ENSG00000011405	910	910
ENSG00000011422	91	91
ENSG00000011426	454.6	454.6
ENSG00000011451	454.6	91
ENSG00000011454	910	910
ENSG00000011465	454.6	454.6
ENSG00000011478	1368	910
ENSG00000011485	1628	1628
ENSG00000011523	91	91
ENSG00000011566	910	910
ENSG00000011590	91	91
ENSG00000011600	91	91
ENSG00000011638	324.5	324.5
ENSG00000011677	454.6	454.6
ENSG00000012048	324.5	324.5
ENSG00000012061	1628	1628
ENSG00000012124	454.6	91
ENSG00000012171	454.6	454.6
ENSG00000012174	1628	1628
ENSG00000012211	91	91
ENSG00000012223	454.6	454.6
ENSG00000012232	910	454.6
ENSG00000012504	454.6	454.6
ENSG00000012660	454.6	454.6
ENSG00000012779	1628	454.6
ENSG00000012817	1628	1628
ENSG00000012822	454.6	91
ENSG00000012963	1628	910
ENSG00000012983	910	910
ENSG00000013016	1628	1628
ENSG00000013275	1628	1628
ENSG00000013288	1628	1628
ENSG00000013293	910	454.6
ENSG00000013297	454.6	454.6
ENSG00000013306	1628	1628
ENSG00000013364	1628	454.6
ENSG00000013374	1628	454.6
ENSG00000013375	1628	1368
ENSG00000013392	910	454.6
ENSG00000013441	1628	1628
ENSG00000013503	1628	1628
ENSG00000013523	324.5	324.5
ENSG00000013561	1628	1628
ENSG00000013563	91	91
ENSG00000013573	1628	1368
ENSG00000013583	324.5	324.5
ENSG00000013588	324.5	324.5
ENSG00000013619	454.6	0
ENSG00000013725	91	91
ENSG00000013810	0	0
ENSG00000014123	1628	910
ENSG00000014138	1628	1628
ENSG00000014164	910	324.5
ENSG00000014216	1628	910
ENSG00000014257	324.5	324.5
ENSG00000014641	1628	1628
ENSG00000014824	1628	910
ENSG00000014914	91	91
ENSG00000014919	1628	1628
ENSG00000015133	910	910
ENSG00000015153	910	454.6
ENSG00000015171	910	910
ENSG00000015285	1628	91
ENSG00000015413	1368	454.6
ENSG00000015475	324.5	324.5
ENSG00000015479	454.6	454.6
ENSG00000015520	1628	1628
ENSG00000015532	1628	910
ENSG00000015568	454.6	454.6
ENSG00000015592	910	454.6
ENSG00000015676	910	454.6
ENSG00000016082	910	454.6
ENSG00000016391	4200	4200
ENSG00000016402	454.6	454.6
ENSG00000016490	454.6	454.6
ENSG00000016602	454.6	454.6
ENSG00000016864	1628	454.6
ENSG00000017260	1368	1368
ENSG00000017427	454.6	454.6
ENSG00000017483	91	91
ENSG00000017797	910	454.6
ENSG00000018189	454.6	454.6
ENSG00000018236	910	910
ENSG00000018280	4200	4200
ENSG00000018408	454.6	91
ENSG00000018510	4200	4200
ENSG00000018607	910	910
ENSG00000018610	1628	910
ENSG00000018625	4200	4200
ENSG00000018699	1628	1368
ENSG00000018869	0	0
ENSG00000019102	91	91
ENSG00000019144	454.6	454.6
ENSG00000019169	454.6	454.6
ENSG00000019186	910	910
ENSG00000019485	324.5	324.5
ENSG00000019505	454.6	454.6
ENSG00000019549	910	910
ENSG00000019582	454.6	454.6
ENSG00000019991	454.6	454.6
ENSG00000019995	910	454.6
ENSG00000020129	1628	324.5
ENSG00000020181	910	324.5
ENSG00000020219	91	91
ENSG00000020256	454.6	454.6
ENSG00000020426	1628	1368
ENSG00000020577	324.5	324.5
ENSG00000020633	454.6	454.6
ENSG00000020922	1628	1628
ENSG00000021300	454.6	454.6
ENSG00000021355	454.6	454.6
ENSG00000021461	1628	910
ENSG00000021488	910	454.6
ENSG00000021574	1628	1628
ENSG00000021645	910	910
ENSG00000021762	1628	1628
ENSG00000021776	1628	1628
ENSG00000021826	4200	4200
ENSG00000021852	324.5	324.5
ENSG00000022267	454.6	91
ENSG00000022277	1628	910
ENSG00000022355	454.6	454.6
ENSG00000022556	91	91
ENSG00000022567	454.6	454.6
ENSG00000022840	1628	324.5
ENSG00000022976	91	91
ENSG00000023041	1628	324.5
ENSG00000023171	91	91
ENSG00000023191	1628	324.5
ENSG00000023228	4200	4200
ENSG00000023287	910	324.5
ENSG00000023318	910	910
ENSG00000023330	1628	1368
ENSG00000023445	910	454.6
ENSG00000023516	324.5	324.5
ENSG00000023572	4200	4200
ENSG00000023608	1628	454.6
ENSG00000023697	4200	910
ENSG00000023734	1628	1628
ENSG00000023839	4200	4200
ENSG00000023892	454.6	454.6
ENSG00000023902	454.6	454.6
ENSG00000023909	1368	910
ENSG00000024048	1628	1368
ENSG00000024422	1628	1628
ENSG00000024526	454.6	454.6
ENSG00000024862	454.6	454.6
ENSG00000025039	1628	1368
ENSG00000025156	454.6	454.6
ENSG00000025293	91	91
ENSG00000025423	1628	91
ENSG00000025434	910	454.6
ENSG00000025708	4200	91
ENSG00000025770	1628	454.6
ENSG00000025772	454.6	454.6
ENSG00000025796	1628	1628
ENSG00000025800	1628	1368
ENSG00000026025	454.6	454.6
ENSG00000026036	1628	910
ENSG00000026103	454.6	454.6
ENSG00000026297	1628	1628
ENSG00000026508	324.5	324.5
ENSG00000026559	454.6	454.6
ENSG00000026652	1628	454.6
ENSG00000026751	91	91
ENSG00000026950	0	0
ENSG00000027001	1628	1368
ENSG00000027075	1368	1368
ENSG00000027644	910	910
ENSG00000027697	324.5	324.5
ENSG00000027847	910	910
ENSG00000027869	324.5	324.5
ENSG00000028116	454.6	91
ENSG00000028137	324.5	324.5
ENSG00000028203	324.5	324.5
ENSG00000028277	454.6	0
ENSG00000028310	454.6	454.6
ENSG00000028528	1368	454.6
ENSG00000028839	910	454.6
ENSG00000029153	910	454.6
ENSG00000029363	324.5	324.5
ENSG00000029364	1368	910
ENSG00000029534	1628	1628
ENSG00000029559	91	91
ENSG00000029639	4200	4200
ENSG00000029725	910	910
ENSG00000029993	1628	454.6
ENSG00000030066	1628	454.6
ENSG00000030110	454.6	454.6
ENSG00000030304	910	454.6
ENSG00000030419	324.5	324.5
ENSG00000030582	1628	91
ENSG00000031003	91	91
ENSG00000031081	454.6	454.6
ENSG00000031691	324.5	324.5
ENSG00000031698	4200	4200
ENSG00000031823	910	454.6
ENSG00000032219	324.5	324.5
ENSG00000032389	1628	1628
ENSG00000032444	4200	1368
ENSG00000032742	910	910
ENSG00000033011	0	0
ENSG00000033030	454.6	454.6
ENSG00000033050	1628	1628
ENSG00000033100	910	910
ENSG00000033122	1628	454.6
ENSG00000033170	910	910
ENSG00000033178	1628	1628
ENSG00000033327	324.5	324.5
ENSG00000033627	1628	1628
ENSG00000033800	1628	910
ENSG00000033867	1628	1368
ENSG00000034053	910	454.6
ENSG00000034152	1368	910
ENSG00000034239	910	454.6
ENSG00000034510	91	91
ENSG00000034533	454.6	91
ENSG00000034677	454.6	454.6
ENSG00000034693	1628	1628
ENSG00000034713	1628	1628
ENSG00000034971	454.6	454.6
ENSG00000035115	1628	324.5
ENSG00000035141	1628	910
ENSG00000035403	910	910
ENSG00000035499	324.5	324.5
ENSG00000035664	454.6	0
ENSG00000035681	1628	91
ENSG00000035687	4200	4200
ENSG00000035720	324.5	324.5
ENSG00000035862	910	454.6
ENSG00000035928	1628	1628
ENSG00000036054	910	910
ENSG00000036257	1628	1368
ENSG00000036448	454.6	454.6
ENSG00000036473	4200	4200
ENSG00000036530	454.6	454.6
ENSG00000036549	910	324.5
ENSG00000036565	910	910
ENSG00000036672	910	454.6
ENSG00000036828	454.6	454.6
ENSG00000037042	1628	1628
ENSG00000037241	1628	1628
ENSG00000037280	910	454.6
ENSG00000037474	1628	1368
ENSG00000037637	324.5	324.5
ENSG00000037749	324.5	324.5
ENSG00000037757	1628	91
ENSG00000037897	1628	91
ENSG00000037965	454.6	454.6
ENSG00000038002	1628	910
ENSG00000038210	1368	1368
ENSG00000038219	324.5	324.5
ENSG00000038274	4200	454.6
ENSG00000038295	910	910
ENSG00000038358	910	910
ENSG00000038382	910	910
ENSG00000038427	91	91
ENSG00000038532	1628	1628
ENSG00000038945	91	91
ENSG00000039068	454.6	454.6
ENSG00000039123	1628	1628
ENSG00000039139	1628	1368
ENSG00000039319	910	910
ENSG00000039523	454.6	454.6
ENSG00000039537	454.6	454.6
ENSG00000039560	454.6	454.6
ENSG00000039600	324.5	324.5
ENSG00000039650	1628	1368
ENSG00000039987	910	324.5
ENSG00000040199	1368	1368
ENSG00000040275	324.5	324.5
ENSG00000040341	910	454.6
ENSG00000040487	1628	1368
ENSG00000040531	1628	1628
ENSG00000040608	454.6	454.6
ENSG00000040633	454.6	91
ENSG00000040731	454.6	454.6
ENSG00000040933	910	910
ENSG00000041353	91	91
ENSG00000041357	1628	1628
ENSG00000041515	324.5	324.5
ENSG00000041802	1628	1368
ENSG00000041880	454.6	91
ENSG00000041982	454.6	454.6
ENSG00000041988	454.6	91
ENSG00000042062	454.6	454.6
ENSG00000042088	1628	1368
ENSG00000042286	1628	324.5
ENSG00000042304	0	0
ENSG00000042317	324.5	324.5
ENSG00000042429	910	910
ENSG00000042445	1628	454.6
ENSG00000042493	454.6	91
ENSG00000042753	1628	1628
ENSG00000042781	454.6	454.6
ENSG00000042813	324.5	324.5
ENSG00000042832	454.6	91
ENSG00000042980	324.5	324.5
ENSG00000043039	454.6	454.6
ENSG00000043093	1368	454.6
ENSG00000043143	910	910
ENSG00000043355	454.6	91
ENSG00000043462	324.5	324.5
ENSG00000043514	4200	4200
ENSG00000043591	454.6	454.6
ENSG00000044012	0	0
ENSG00000044090	324.5	324.5
ENSG00000044115	910	910
ENSG00000044446	910	910
ENSG00000044459	454.6	454.6
ENSG00000044524	910	910
ENSG00000044574	1628	1628
ENSG00000046604	454.6	454.6
ENSG00000046647	910	454.6
ENSG00000046651	454.6	454.6
ENSG00000046653	454.6	454.6
ENSG00000046774	0	0
ENSG00000046889	454.6	454.6
ENSG00000047056	1628	324.5
ENSG00000047188	1628	324.5
ENSG00000047230	4200	4200
ENSG00000047249	1628	1628
ENSG00000047315	1628	1628
ENSG00000047346	1368	454.6
ENSG00000047365	910	454.6
ENSG00000047410	1628	1628
ENSG00000047457	454.6	454.6
ENSG00000047578	1628	324.5
ENSG00000047579	910	454.6
ENSG00000047597	454.6	454.6
ENSG00000047617	1628	454.6
ENSG00000047621	1628	910
ENSG00000047634	0	0
ENSG00000047644	454.6	454.6
ENSG00000047648	910	910
ENSG00000047662	0	0
ENSG00000047849	0	0
ENSG00000047932	910	454.6
ENSG00000047936	910	324.5
ENSG00000048028	910	454.6
ENSG00000048052	1628	910
ENSG00000048140	91	91
ENSG00000048162	910	910
ENSG00000048342	910	910
ENSG00000048392	324.5	324.5
ENSG00000048405	454.6	454.6
ENSG00000048462	91	91
ENSG00000048471	324.5	324.5
ENSG00000048540	454.6	454.6
ENSG00000048544	910	910
ENSG00000048545	454.6	454.6
ENSG00000048649	454.6	454.6
ENSG00000048707	910	910
ENSG00000048740	910	454.6
ENSG00000048828	454.6	454.6
ENSG00000048991	454.6	454.6
ENSG00000049089	454.6	91
ENSG00000049130	324.5	324.5
ENSG00000049167	1628	1628
ENSG00000049192	910	454.6
ENSG00000049239	0	0
ENSG00000049245	454.6	454.6
ENSG00000049246	454.6	454.6
ENSG00000049247	324.5	324.5
ENSG00000049249	454.6	454.6
ENSG00000049283	454.6	91
ENSG00000049323	454.6	454.6
ENSG00000049449	454.6	454.6
ENSG00000049540	0	0
ENSG00000049541	1628	1628
ENSG00000049618	454.6	454.6
ENSG00000049656	910	910
ENSG00000049759	910	910
ENSG00000049768	91	91
ENSG00000049769	0	0
ENSG00000049860	1628	1628
ENSG00000049883	454.6	454.6
ENSG00000050030	454.6	454.6
ENSG00000050130	910	910
ENSG00000050165	454.6	454.6
ENSG00000050327	91	0
ENSG00000050344	454.6	91
ENSG00000050393	454.6	454.6
ENSG00000050405	454.6	454.6
ENSG00000050426	910	910
ENSG00000050438	1628	1368
ENSG00000050555	910	910
ENSG00000050628	454.6	454.6
ENSG00000050730	454.6	454.6
ENSG00000050748	910	910
ENSG00000050767	454.6	454.6
ENSG00000050820	454.6	91
ENSG00000051009	910	910
ENSG00000051108	454.6	454.6
ENSG00000051128	454.6	454.6
ENSG00000051180	1628	1628
ENSG00000051341	1628	0
ENSG00000051382	1628	910
ENSG00000051523	1628	91
ENSG00000051596	1628	1628
ENSG00000051620	1628	454.6
ENSG00000051825	324.5	324.5
ENSG00000052126	454.6	454.6
ENSG00000052344	454.6	91
ENSG00000052723	454.6	454.6
ENSG00000052749	1628	1628
ENSG00000052795	324.5	324.5
ENSG00000052802	1628	1628
ENSG00000052841	910	910
ENSG00000052850	324.5	324.5
ENSG00000053108	454.6	454.6
ENSG00000053254	454.6	454.6
ENSG00000053328	324.5	324.5
ENSG00000053371	454.6	454.6
ENSG00000053372	1628	1368
ENSG00000053438	91	91
ENSG00000053501	910	910
ENSG00000053524	910	454.6
ENSG00000053702	91	91
ENSG00000053747	910	910
ENSG00000053770	1628	454.6
ENSG00000053900	1628	454.6
ENSG00000053918	910	454.6
ENSG00000054116	1628	1368
ENSG00000054118	324.5	324.5
ENSG00000054148	910	910
ENSG00000054179	454.6	454.6
ENSG00000054219	910	910
ENSG00000054267	454.6	91
ENSG00000054277	454.6	454.6
ENSG00000054282	910	324.5
ENSG00000054356	910	910
ENSG00000054392	910	910
ENSG00000054523	1628	910
ENSG00000054598	324.5	324.5
ENSG00000054611	1628	1628
ENSG00000054654	910	454.6
ENSG00000054690	910	910
ENSG00000054793	1628	1368
ENSG00000054796	1628	1368
ENSG00000054803	454.6	454.6
ENSG00000054938	324.5	324.5
ENSG00000054965	454.6	454.6
ENSG00000054967	454.6	91
ENSG00000054983	910	454.6
ENSG00000055044	1628	1628
ENSG00000055070	454.6	454.6
ENSG00000055118	1628	910
ENSG00000055130	1628	1628
ENSG00000055147	910	324.5
ENSG00000055163	1628	1628
ENSG00000055208	454.6	454.6
ENSG00000055211	454.6	454.6
ENSG00000055332	910	454.6
ENSG00000055483	1628	1628
ENSG00000055609	454.6	454.6
ENSG00000055732	1628	910
ENSG00000055813	454.6	91
ENSG00000055917	454.6	454.6
ENSG00000055950	1628	1628
ENSG00000055955	454.6	454.6
ENSG00000055957	454.6	454.6
ENSG00000056050	910	910
ENSG00000056097	910	910
ENSG00000056277	324.5	324.5
ENSG00000056291	910	910
ENSG00000056487	324.5	324.5
ENSG00000056558	454.6	454.6
ENSG00000056586	910	454.6
ENSG00000056736	91	91
ENSG00000056972	324.5	324.5
ENSG00000056998	1628	454.6
ENSG00000057019	454.6	454.6
ENSG00000057149	1628	910
ENSG00000057252	1628	910
ENSG00000057294	454.6	454.6
ENSG00000057468	1628	1628
ENSG00000057593	454.6	454.6
ENSG00000057608	1628	1628
ENSG00000057657	454.6	91
ENSG00000057663	1628	1628
ENSG00000057704	454.6	454.6
ENSG00000057757	1628	910
ENSG00000057935	910	910
ENSG00000058056	1628	1628
ENSG00000058063	1628	1628
ENSG00000058085	910	910
ENSG00000058091	910	324.5
ENSG00000058262	1628	1628
ENSG00000058272	454.6	454.6
ENSG00000058335	454.6	91
ENSG00000058404	1628	1628
ENSG00000058453	910	910
ENSG00000058600	1628	1628
ENSG00000058668	1628	1628
ENSG00000058673	454.6	454.6
ENSG00000058729	0	0
ENSG00000058799	1628	1628
ENSG00000058804	910	454.6
ENSG00000058866	1628	1628
ENSG00000059122	91	91
ENSG00000059145	91	0
ENSG00000059377	454.6	454.6
ENSG00000059378	454.6	454.6
ENSG00000059573	4200	4200
ENSG00000059588	1628	0
ENSG00000059691	1628	1368
ENSG00000059728	454.6	91
ENSG00000059758	910	454.6
ENSG00000059769	1628	1628
ENSG00000059804	1628	1628
ENSG00000059915	324.5	324.5
ENSG00000060069	1628	1628
ENSG00000060138	4200	324.5
ENSG00000060140	454.6	454.6
ENSG00000060237	1628	454.6
ENSG00000060339	324.5	324.5
ENSG00000060491	454.6	454.6
ENSG00000060558	91	91
ENSG00000060566	454.6	454.6
ENSG00000060642	1628	91
ENSG00000060656	454.6	454.6
ENSG00000060688	1628	1628
ENSG00000060709	910	910
ENSG00000060718	454.6	454.6
ENSG00000060749	324.5	324.5
ENSG00000060762	1628	1368
ENSG00000060971	4200	4200
ENSG00000060982	1628	1628
ENSG00000061273	1628	910
ENSG00000061337	324.5	324.5
ENSG00000061455	324.5	324.5
ENSG00000061492	454.6	454.6
ENSG00000061656	324.5	324.5
ENSG00000061676	1628	1628
ENSG00000061794	910	910
ENSG00000061918	910	454.6
ENSG00000061936	1628	910
ENSG00000061938	910	910
ENSG00000061987	1628	1628
ENSG00000062038	454.6	454.6
ENSG00000062096	454.6	454.6
ENSG00000062194	324.5	324.5
ENSG00000062282	1628	1628
ENSG00000062485	1628	1628
ENSG00000062524	910	910
ENSG00000062582	910	910
ENSG00000062598	1628	1628
ENSG00000062650	910	910
ENSG00000062716	1628	1628
ENSG00000062725	910	454.6
ENSG00000062822	4200	4200
ENSG00000063015	324.5	324.5
ENSG00000063046	454.6	91
ENSG00000063127	91	91
ENSG00000063169	324.5	324.5
ENSG00000063176	1628	1628
ENSG00000063177	1628	1628
ENSG00000063180	91	91
ENSG00000063241	4200	91
ENSG00000063244	1628	1628
ENSG00000063245	91	91
ENSG00000063322	910	91
ENSG00000063438	454.6	91
ENSG00000063515	324.5	324.5
ENSG00000063587	91	91
ENSG00000063601	1628	1628
ENSG00000063660	454.6	454.6
ENSG00000063761	1628	1628
ENSG00000063854	4200	4200
ENSG00000063978	324.5	324.5
ENSG00000064012	454.6	454.6
ENSG00000064042	324.5	324.5
ENSG00000064102	910	910
ENSG00000064115	454.6	454.6
ENSG00000064195	454.6	454.6
ENSG00000064199	910	910
ENSG00000064201	324.5	324.5
ENSG00000064205	454.6	454.6
ENSG00000064218	910	910
ENSG00000064225	324.5	324.5
ENSG00000064270	1368	1368
ENSG00000064300	454.6	454.6
ENSG00000064309	454.6	454.6
ENSG00000064313	1628	1628
ENSG00000064393	910	910
ENSG00000064419	1628	1628
ENSG00000064489	91	91
ENSG00000064490	910	454.6
ENSG00000064545	454.6	91
ENSG00000064547	454.6	454.6
ENSG00000064601	1628	454.6
ENSG00000064607	324.5	324.5
ENSG00000064651	910	910
ENSG00000064652	454.6	454.6
ENSG00000064655	1628	910
ENSG00000064666	454.6	454.6
ENSG00000064687	4200	4200
ENSG00000064692	324.5	324.5
ENSG00000064703	910	454.6
ENSG00000064726	910	454.6
ENSG00000064763	1628	1628
ENSG00000064787	324.5	324.5
ENSG00000064835	454.6	454.6
ENSG00000064886	1628	454.6
ENSG00000064932	1628	910
ENSG00000064933	454.6	454.6
ENSG00000064961	454.6	91
ENSG00000064989	910	454.6
ENSG00000064995	1628	1628
ENSG00000064999	324.5	324.5
ENSG00000065000	1628	1628
ENSG00000065029	454.6	454.6
ENSG00000065054	454.6	454.6
ENSG00000065057	4200	4200
ENSG00000065060	910	910
ENSG00000065135	1628	910
ENSG00000065150	1628	1368
ENSG00000065154	4200	4200
ENSG00000065183	1628	1628
ENSG00000065243	910	910
ENSG00000065268	1628	1628
ENSG00000065308	454.6	454.6
ENSG00000065320	910	910
ENSG00000065325	324.5	324.5
ENSG00000065328	1628	910
ENSG00000065357	1628	1628
ENSG00000065361	910	910
ENSG00000065371	91	91
