Geneid	Unipro	Symbol	Age	Geneid_g36
ENSG00000003393	Q96Q42	ALS2	324.5	ENSG00000003393
ENSG00000003400	Q92851	CASP10	0.0	ENSG00000003400
ENSG00000003402	O15519	CFLAR	454.6	ENSG00000003402
ENSG00000003436	P10646	TFPI	454.6	ENSG00000003436
ENSG00000003509	Q7L592	C2orf56	1628.0	ENSG00000003509
ENSG00000003756	P52756	RBM5	324.5	ENSG00000003756
ENSG00000003987	Q9Y216	MTMR7	910.0	ENSG00000003987
ENSG00000003989	P52569	SLC7A2	4200.0	ENSG00000003989
ENSG00000004059	P84085	ARF5	910.0	ENSG00000004059
ENSG00000004139	Q6SZW1	SARM1	910.0	ENSG00000004139
ENSG00000004142	Q9Y2S7	POLDIP2	910.0	ENSG00000004142
ENSG00000004399	Q9Y4D7	PLXND1	910.0	ENSG00000004399
ENSG00000004455	P54819	AK2	4200.0	ENSG00000004455
ENSG00000004468	P28907	CD38	324.5	ENSG00000004468
ENSG00000004478	Q02790	FKBP4	1628.0	ENSG00000004478
ENSG00000004487	O60341	KDM1A	910.0	ENSG00000004487
ENSG00000004534	P78332	RBM6	324.5	ENSG00000004534
ENSG00000004660	Q8N5S9	CAMKK1	1628.0	ENSG00000004660
ENSG00000004700	P46063	RECQL	454.6	ENSG00000004700
ENSG00000004766	Q96JG6	CCDC132	1628.0	ENSG00000004766
ENSG00000004776	O14558	HSPB6	91.0	ENSG00000004776
ENSG00000004777	O14559	ARHGAP33	910.0	ENSG00000004777
ENSG00000004779	O14561	NDUFAB1	1628.0	ENSG00000004779
ENSG00000004799	Q16654	PDK4	324.5	ENSG00000004799
ENSG00000004809	Q86VW1	SLC22A16	454.6	ENSG00000004809
ENSG00000004838	O75800	ZMYND10	91.0	ENSG00000004838
ENSG00000004846	Q2M3G0	ABCB5	4200.0	ENSG00000004846
ENSG00000004848	Q96QS3	ARX	454.6	ENSG00000004848
ENSG00000004864	Q9UJS0	SLC25A13	910.0	ENSG00000004864
ENSG00000004866	Q9NRC1	ST7	910.0	ENSG00000004866
ENSG00000004897	P30260	CDC27	1368.0	ENSG00000004897
ENSG00000004939	P02730	SLC4A1	1368.0	ENSG00000004939
ENSG00000004948	P30988	CALCR	910.0	ENSG00000004948
ENSG00000004961	P53701	HCCS	1368.0	ENSG00000004961
ENSG00000004975	O14641	DVL2	910.0	ENSG00000004975
ENSG00000005001	Q9GZN4	PRSS22	91.0	ENSG00000005001
ENSG00000005007	Q92900	UPF1	1628.0	ENSG00000005007
ENSG00000005020	O75563	SKAP2	454.6	ENSG00000005020
ENSG00000005022	P05141	SLC25A5	1628.0	ENSG00000005022
ENSG00000005059	Q9NWR8	CCDC109B	0.0	ENSG00000005059
ENSG00000005073	P31270	HOXA11	454.6	ENSG00000005073
ENSG00000005075	P52435	POLR2J	1628.0	ENSG00000005075
ENSG00000005100	Q9H6R0	DHX33	4200.0	ENSG00000005100
ENSG00000005102	P50221	MEOX1	454.6	ENSG00000005102
ENSG00000005108	Q9UPZ6	THSD7A	454.6	ENSG00000005108
ENSG00000005156	P49916	LIG3	454.6	ENSG00000005156
ENSG00000005175	Q9H6T3	RPAP3	454.6	ENSG00000005175
ENSG00000005187	Q53FZ2	ACSM3	454.6	ENSG00000005187
ENSG00000005189	Q96IC2		324.5	ENSG00000005189
ENSG00000005194	Q6FI81	CIAPIN1	1628.0	ENSG00000005194
ENSG00000005206	Q8TCT7		454.6	ENSG00000005206
ENSG00000005238	Q7L5A3	KIAA1539	91.0	ENSG00000005238
ENSG00000005243	Q9P299	COPZ2	0.0	ENSG00000005243
ENSG00000005249	P31323	PRKAR2B	454.6	ENSG00000005249
ENSG00000005302	Q8N5Y2	MSL3	324.5	ENSG00000005302
ENSG00000005339	Q92793	CREBBP	454.6	ENSG00000005339
ENSG00000005379	O95153	BZRAP1	324.5	ENSG00000005379
ENSG00000005381	P05164	MPO	454.6	ENSG00000005381
ENSG00000005421	P27169	PON1	454.6	ENSG00000005421
ENSG00000005436	P16383	C2orf3	324.5	ENSG00000005436
ENSG00000005448	Q9H977	WDR54	454.6	ENSG00000005448
ENSG00000005469	Q9UKG9	CROT	910.0	ENSG00000005469
ENSG00000005471	P21439	ABCB4	4200.0	ENSG00000005471
ENSG00000005483	Q8IZD2	MLL5	91.0	ENSG00000005483
ENSG00000005486	Q6NTF9	RHBDD2	324.5	ENSG00000005486
ENSG00000005513	P57073	SOX8	454.6	ENSG00000005513
ENSG00000005700	Q9P2D0	IBTK	324.5	ENSG00000005700
ENSG00000005801	O14628	ZNF195	0.0	ENSG00000005801
ENSG00000005810	O75592	MYCBP2	910.0	ENSG00000005810
ENSG00000005812	Q9UKT7	FBXL3	454.6	ENSG00000005812
ENSG00000005844	P20701	ITGAL	91.0	ENSG00000005844
ENSG00000005882	Q15119	PDK2	91.0	ENSG00000005882
ENSG00000005884	P26006	ITGA3	910.0	ENSG00000005884
ENSG00000005889	P17010	ZFX	454.6	ENSG00000005889
ENSG00000005893	P13473	LAMP2	454.6	ENSG00000005893
ENSG00000005961	P08514	ITGA2B	910.0	ENSG00000005961
ENSG00000005981	Q9Y574	ASB4	454.6	ENSG00000005981
ENSG00000006007	Q9NZC3	GDE1	910.0	ENSG00000006007
ENSG00000006015	Q96EN9	C19orf60	91.0	ENSG00000006015
ENSG00000006016	O75462	CRLF1	91.0	ENSG00000006016
ENSG00000006025	Q9BZF2	OSBPL7	1368.0	ENSG00000006025
ENSG00000006042	Q9Y2Y6	TMEM98	454.6	ENSG00000006042
ENSG00000006047	Q9Y2T7	YBX2	91.0	ENSG00000006047
ENSG00000006059	O76009	KRT33A	91.0	ENSG00000006059
ENSG00000006062	Q99558	MAP3K14	454.6	ENSG00000006062
ENSG00000006071	Q09428	ABCC8	4200.0	ENSG00000006071
ENSG00000006116	O60359	CACNG3	324.5	ENSG00000006116
ENSG00000006118	Q24JP5	TMEM132A	91.0	ENSG00000006118
ENSG00000006125	P63010	AP2B1	1628.0	ENSG00000006125
ENSG00000006128	P20366	TAC1	454.6	ENSG00000006128
ENSG00000006194	O14978	ZNF263	91.0	ENSG00000006194
ENSG00000006210	P78423	CX3CL1	91.0	ENSG00000006210
ENSG00000006282	Q8TB22	SPATA20	1628.0	ENSG00000006282
ENSG00000006283	O43497	CACNA1G	910.0	ENSG00000006283
ENSG00000006327	Q9NP84	TNFRSF12A	91.0	ENSG00000006327
ENSG00000006377	P56179	DLX6	454.6	ENSG00000006377
ENSG00000006432	P80192	MAP3K9	454.6	ENSG00000006432
ENSG00000006451	P11233	RALA	910.0	ENSG00000006451
ENSG00000006453	Q9UHR4		454.6	ENSG00000006453
ENSG00000006459	Q6ZMT4	JHDM1D	454.6	ENSG00000006459
ENSG00000006468	P50549	ETV1	454.6	ENSG00000006468
ENSG00000006530	Q53H12	AGK	910.0	ENSG00000006530
ENSG00000006534	P43353	ALDH3B1	1628.0	ENSG00000006534
ENSG00000006555	Q5TAA0	TTC22	91.0	ENSG00000006555
ENSG00000006576	Q8N3S3	PHTF2	454.6	ENSG00000006576
ENSG00000006606	Q9Y258	CCL26	91.0	ENSG00000006606
ENSG00000006607	O94887	FARP2	910.0	ENSG00000006607
ENSG00000006611	Q9Y6N9	USH1C	454.6	ENSG00000006611
ENSG00000006625	O75223	GGCT	910.0	ENSG00000006625
ENSG00000006634	Q9UBU7	DBF4	324.5	ENSG00000006634
ENSG00000006638	P21731	TBXA2R	91.0	ENSG00000006638
ENSG00000006652	O00458	IFRD1	910.0	ENSG00000006652
ENSG00000006659	Q8TCE9	LGALS14	0.0	ENSG00000006659
ENSG00000006695	Q12887	COX10	4200.0	ENSG00000006695
ENSG00000006704	Q9UHL9	GTF2IRD1	91.0	ENSG00000006704
ENSG00000006712	Q8N7H5	PAF1	1368.0	ENSG00000006712
ENSG00000006715	P49754	VPS41	1628.0	ENSG00000006715
ENSG00000006740	Q17R89	ARHGAP44	910.0	ENSG00000006740
ENSG00000006744	Q9BQ52	ELAC2	1628.0	ENSG00000006744
ENSG00000006747	Q9Y6U3	SCIN	1628.0	ENSG00000006747
ENSG00000006756	P51689	ARSD	454.6	ENSG00000006756
ENSG00000006757	P41247	PNPLA4	454.6	ENSG00000006757
ENSG00000006788	Q9UKX3	MYH13	1368.0	ENSG00000006788
ENSG00000006831	Q86V24	ADIPOR2	1628.0	ENSG00000006831
ENSG00000006837	Q8IVW4	CDKL3	91.0	ENSG00000006837
ENSG00000007001	O95045	UPP2	4200.0	ENSG00000007001
ENSG00000007038	Q9Y6M0	PRSS21	91.0	ENSG00000007038
ENSG00000007047	Q96L34	MARK4	910.0	ENSG00000007047
ENSG00000007062	O43490	PROM1	910.0	ENSG00000007062
ENSG00000007080	Q96CT7	CCDC124	1628.0	ENSG00000007080
ENSG00000007129	Q3KPI0	CEACAM21	91.0	ENSG00000007129
ENSG00000007168	P43034	PAFAH1B1	910.0	ENSG00000007168
ENSG00000007171	P35228	NOS2	454.6	ENSG00000007171
ENSG00000007174	Q9NYC9	DNAH9	1368.0	ENSG00000007174
ENSG00000007202	Q14667	KIAA0100	910.0	ENSG00000007202
ENSG00000007216	Q13183	SLC13A2	910.0	ENSG00000007216
ENSG00000007237	O60861	GAS7	324.5	ENSG00000007237
ENSG00000007255	O75865	TRAPPC6A	91.0	ENSG00000007255
ENSG00000007264	P42679	MATK	324.5	ENSG00000007264
ENSG00000007306	Q14002	CEACAM7	0.0	ENSG00000007306
ENSG00000007312	P40259	CD79B	324.5	ENSG00000007312
ENSG00000007314	P35499	SCN4A	454.6	ENSG00000007314
ENSG00000007341	Q8TDW4	ST7L	910.0	ENSG00000007341
ENSG00000007350	P51854	TKTL1	4200.0	ENSG00000007350
ENSG00000007372	P26367	PAX6	910.0	ENSG00000007372
ENSG00000007376	Q9UJJ7	RPUSD1	91.0	ENSG00000007376
ENSG00000007384	Q96CC6	RHBDF1	910.0	ENSG00000007384
ENSG00000007392	Q9NQ29	LUC7L	1368.0	ENSG00000007392
ENSG00000007402	Q9NY47	CACNA2D2	454.6	ENSG00000007402
ENSG00000007516	O94812	BAIAP3	91.0	ENSG00000007516
ENSG00000007520	Q9UJK0	C16orf42	1628.0	ENSG00000007520
ENSG00000007541	Q9BRB3	PIGQ	910.0	ENSG00000007541
ENSG00000007545	Q96RY5	CRAMP1L	324.5	ENSG00000007545
ENSG00000007866	Q99594	TEAD3	910.0	ENSG00000007866
ENSG00000007908	P16581	SELE	324.5	ENSG00000007908
ENSG00000007923	Q9NVH1	DNAJC11	1628.0	ENSG00000007923
ENSG00000007933	P31513	FMO3	1628.0	ENSG00000007933
ENSG00000007944	Q8WY64	MYLIP	454.6	ENSG00000007944
ENSG00000007952	Q9Y5S8	NOX1	1628.0	ENSG00000007952
ENSG00000007968	Q14209	E2F2	0.0	ENSG00000007968
ENSG00000008018	P20618	PSMB1	1628.0	ENSG00000008018
ENSG00000008056	P17600	SYN1	91.0	ENSG00000008056
ENSG00000008083	Q92833	JARID2	454.6	ENSG00000008083
ENSG00000008086	O76039	CDKL5	454.6	ENSG00000008086
ENSG00000008118	Q96NX5	CAMK1G	1628.0	ENSG00000008118
ENSG00000008128	P21127	CDK11A	1628.0	ENSG00000008128
ENSG00000008130	O95544	NADK	4200.0	ENSG00000008130
ENSG00000008196	Q92481	TFAP2B	454.6	ENSG00000008196
ENSG00000008197	Q7Z6R9	TFAP2D	0.0	ENSG00000008197
ENSG00000008226	Q9Y238	DLEC1	91.0	ENSG00000008226
ENSG00000008256	O43739	CYTH3	910.0	ENSG00000008256
ENSG00000008277	Q9P0K1	ADAM22	454.6	ENSG00000008277
ENSG00000008282	Q16563	SYPL1	324.5	ENSG00000008282
ENSG00000008283	P49447	CYB561	910.0	ENSG00000008283
ENSG00000008294	O60271	SPAG9	910.0	ENSG00000008294
ENSG00000008300	Q9NYQ7	CELSR3	910.0	ENSG00000008300
ENSG00000008311	Q9UDR5	AASS	1628.0	ENSG00000008311
ENSG00000008323	Q3KR16	PLEKHG6	0.0	ENSG00000008323
ENSG00000008324	Q9UHA2	SS18L2	0.0	ENSG00000008324
ENSG00000008382	Q8N594	MPND	91.0	ENSG00000008382
ENSG00000008394	P10620	MGST1	454.6	ENSG00000008394
ENSG00000008405	Q16526	CRY1	454.6	ENSG00000008405
ENSG00000008438	O75594	PGLYRP1	91.0	ENSG00000008438
ENSG00000008441	Q14938	NFIX	454.6	ENSG00000008441
ENSG00000008513	Q11201	ST3GAL1	324.5	ENSG00000008513
ENSG00000008516	Q9NPA2	MMP25	91.0	ENSG00000008516
ENSG00000008517	P24001	IL32	0.0	ENSG00000008517
ENSG00000008710	P98161	PKD1	454.6	ENSG00000008710
ENSG00000008735	Q13387	MAPK8IP2	910.0	ENSG00000008735
ENSG00000008838	O75448	MED24	454.6	ENSG00000008838
ENSG00000008853	Q9BYZ6	RHOBTB2	454.6	ENSG00000008853
ENSG00000008869	Q9P2D3	HEATR5B	910.0	ENSG00000008869
ENSG00000008952	Q99442	SEC62	1368.0	ENSG00000008952
ENSG00000008988	P60866	RPS20	4200.0	ENSG00000008988
ENSG00000009307	O75534	CSDE1	454.6	ENSG00000009307
ENSG00000009335	Q15386	UBE3C	910.0	ENSG00000009335
ENSG00000009413	O60673	REV3L	1628.0	ENSG00000009413
ENSG00000009694	Q9UKZ4	ODZ1	910.0	ENSG00000009694
ENSG00000009709	P23759	PAX7	454.6	ENSG00000009709
ENSG00000009724	O00187	MASP2	454.6	ENSG00000009724
ENSG00000009765	Q6PHW0	IYD	324.5	ENSG00000009765
ENSG00000009780	Q8TAV0	FAM76A	324.5	ENSG00000009780
ENSG00000009790	Q9Y228	TRAF3IP3	324.5	ENSG00000009790
ENSG00000009830	Q9UKY4	POMT2	1368.0	ENSG00000009830
ENSG00000009844	Q9NP79	VTA1	1628.0	ENSG00000009844
ENSG00000009950	Q9NP71	MLXIPL	324.5	ENSG00000009950
ENSG00000009954	Q9UIG0	BAZ1B	454.6	ENSG00000009954
ENSG00000010017	Q96S59	RANBP9	1628.0	ENSG00000010017
ENSG00000010030	Q9Y603	ETV7	0.0	ENSG00000010030
ENSG00000010072	Q9H040	C1orf124	910.0	ENSG00000010072
ENSG00000010165	Q8N6R0	METTL13	910.0	ENSG00000010165
ENSG00000010219	Q9NR20	DYRK4	91.0	ENSG00000010219
ENSG00000010244	O43670	ZNF207	0.0	ENSG00000010244
ENSG00000010256	P31930	UQCRC1	454.6	ENSG00000010256
ENSG00000010270	O95772	STARD3NL	454.6	ENSG00000010270
ENSG00000010278	P21926	CD9	454.6	ENSG00000010278
ENSG00000010282	Q9HCP6	HHATL	910.0	ENSG00000010282
ENSG00000010292	Q15021	NCAPD2	1628.0	ENSG00000010292
ENSG00000010295	Q0D2I5	IFFO1	454.6	ENSG00000010295
ENSG00000010310	P48546	GIPR	91.0	ENSG00000010310
ENSG00000010318	Q9BWX1	PHF7	324.5	ENSG00000010318
ENSG00000010319	Q9NS98	SEMA3G	454.6	ENSG00000010319
ENSG00000010322	Q9Y2I1	NISCH	910.0	ENSG00000010322
ENSG00000010327	Q9NY15	STAB1	454.6	ENSG00000010327
ENSG00000010361	Q9BT04	FUZ	91.0	ENSG00000010361
ENSG00000010379	Q9NSD5	SLC6A13	910.0	ENSG00000010379
ENSG00000010404	P22304	IDS	454.6	ENSG00000010404
ENSG00000010438	P35030	PRSS3	454.6	ENSG00000010438
ENSG00000010539	P98182	ZNF200	0.0	ENSG00000010539
ENSG00000010610	P01730	CD4	324.5	ENSG00000010610
ENSG00000010626	Q53EV4	LRRC23	454.6	ENSG00000010626
ENSG00000010671	Q06187	BTK	454.6	ENSG00000010671
ENSG00000010704	Q30201	HFE	91.0	ENSG00000010704
ENSG00000010803	Q96GD3	SCMH1	454.6	ENSG00000010803
ENSG00000010810	P06241	FYN	454.6	ENSG00000010810
ENSG00000010818	P31629	HIVEP2	454.6	ENSG00000010818
ENSG00000010932	Q01740	FMO1	1628.0	ENSG00000010932
ENSG00000011007	Q14241	TCEB3	1628.0	ENSG00000011007
ENSG00000011009	O95372	LYPLA2	1628.0	ENSG00000011009
ENSG00000011021	P51797	CLCN6	324.5	ENSG00000011021
ENSG00000011028	Q9UBG0	MRC2	910.0	ENSG00000011028
ENSG00000011052	P15531	NME2	4200.0	ENSG00000011052
ENSG00000011083	Q99884	SLC6A7	324.5	ENSG00000011083
ENSG00000011105	O75954	TSPAN9	454.6	ENSG00000011105
ENSG00000011114	Q9P203	BTBD7	910.0	ENSG00000011114
ENSG00000011132	O96018	APBA3	91.0	ENSG00000011132
ENSG00000011143	Q9NXB0	MKS1	454.6	ENSG00000011143
ENSG00000011198	Q8WTS1	ABHD5	324.5	ENSG00000011198
ENSG00000011201	P23352	KAL1	910.0	ENSG00000011201
ENSG00000011243	Q9ULX6	AKAP8L	454.6	ENSG00000011243
ENSG00000011258	Q05BQ5	MBTD1	910.0	ENSG00000011258
ENSG00000011260	Q9Y5J1	UTP18	91.0	ENSG00000011260
ENSG00000011275	Q9NWF9	RNF216	324.5	ENSG00000011275
ENSG00000011295	Q6DKK2	TTC19	324.5	ENSG00000011295
ENSG00000011304	P26599	PTBP1	1628.0	ENSG00000011304
ENSG00000011332	Q92782	DPF1	324.5	ENSG00000011332
ENSG00000011347	O43581	SYT7	91.0	ENSG00000011347
ENSG00000011376	Q15031	LARS2	4200.0	ENSG00000011376
ENSG00000011405	O00443	PIK3C2A	910.0	ENSG00000011405
ENSG00000011422	Q03405	PLAUR	91.0	ENSG00000011422
ENSG00000011426	Q9NQW6	ANLN	454.6	ENSG00000011426
ENSG00000011451	O95785	WIZ	91.0	ENSG00000011451
ENSG00000011454	Q9Y3P9	RABGAP1	910.0	ENSG00000011454
ENSG00000011465	P07585	DCN	454.6	ENSG00000011465
ENSG00000011478	Q9NXS2	QPCTL	910.0	ENSG00000011478
ENSG00000011485	P53041	PPP5C	1628.0	ENSG00000011485
ENSG00000011523	Q76N32	CEP68	91.0	ENSG00000011523
ENSG00000011566	Q8IVH8	MAP4K3	910.0	ENSG00000011566
ENSG00000011590	Q9Y2Y4	ZBTB32	91.0	ENSG00000011590
ENSG00000011600	O43914	TYROBP	91.0	ENSG00000011600
ENSG00000011638	Q96B96	TMEM159	324.5	ENSG00000011638
ENSG00000011677	P34903	GABRA3	454.6	ENSG00000011677
ENSG00000012048	P38398	BRCA1	324.5	ENSG00000012048
ENSG00000012061	P07992	ERCC1	1628.0	ENSG00000012061
ENSG00000012124	P20273	CD22	91.0	ENSG00000012124
ENSG00000012171	Q13214	SEMA3B	454.6	ENSG00000012171
ENSG00000012174	O43462	MBTPS2	1628.0	ENSG00000012174
ENSG00000012211	O43900	PRICKLE3	91.0	ENSG00000012211
ENSG00000012223	P02788	LTF	454.6	ENSG00000012223
ENSG00000012232	O43909	EXTL3	454.6	ENSG00000012232
ENSG00000012504	Q96RI1	NR1H4	454.6	ENSG00000012504
ENSG00000012660	Q9NYP7	ELOVL5	454.6	ENSG00000012660
ENSG00000012779	P09917	ALOX5	454.6	ENSG00000012779
ENSG00000012817	Q9BY66	KDM5D	1628.0	ENSG00000012817
ENSG00000012822	Q9P1Z2	CALCOCO1	91.0	ENSG00000012822
ENSG00000012963	Q8N806	UBR7	910.0	ENSG00000012963
ENSG00000012983	Q9Y4K4	MAP4K5	910.0	ENSG00000012983
ENSG00000013016	Q9NZN3	EHD3	1628.0	ENSG00000013016
ENSG00000013275	P43686	PSMC4	1628.0	ENSG00000013275
ENSG00000013288	Q9Y2E5	MAN2B2	1628.0	ENSG00000013288
ENSG00000013293	Q8TBB6	SLC7A14	454.6	ENSG00000013293
ENSG00000013297	O75508	CLDN11	454.6	ENSG00000013297
ENSG00000013306	Q9BZJ4	SLC25A39	1628.0	ENSG00000013306
ENSG00000013364	Q14764	MVP	454.6	ENSG00000013364
ENSG00000013374	Q9Y5A7	NUB1	454.6	ENSG00000013374
ENSG00000013375	O95394	PGM3	1368.0	ENSG00000013375
ENSG00000013392	Q9UIY3	RWDD2A	454.6	ENSG00000013392
ENSG00000013441	P49759	CLK1	1628.0	ENSG00000013441
ENSG00000013503	Q9NW08	POLR3B	1628.0	ENSG00000013503
ENSG00000013523	Q9UNK9	ANGEL1	324.5	ENSG00000013523
ENSG00000013561	Q9UBS8	RNF14	1628.0	ENSG00000013561
ENSG00000013563	P49184	DNASE1L1	91.0	ENSG00000013563
ENSG00000013573	Q96FC9	DDX11	1368.0	ENSG00000013573
ENSG00000013583	Q9NRV9	HEBP1	324.5	ENSG00000013583
ENSG00000013588	Q8NFJ5	GPRC5A	324.5	ENSG00000013588
ENSG00000013619	Q13495	MAMLD1	0.0	ENSG00000013619
ENSG00000013725	P30203	CD6	91.0	ENSG00000013725
ENSG00000013810	Q9Y6A5	TACC3	0.0	ENSG00000013810
ENSG00000014123	O94874	UFL1	910.0	ENSG00000014123
ENSG00000014138	Q14181	POLA2	1628.0	ENSG00000014138
ENSG00000014164	Q8IXZ2	ZC3H3	324.5	ENSG00000014164
ENSG00000014216	P07384	CAPN1	910.0	ENSG00000014216
ENSG00000014257	P15309	ACPP	324.5	ENSG00000014257
ENSG00000014641	P40925	MDH1	1628.0	ENSG00000014641
ENSG00000014824	Q6PML9	SLC30A9	910.0	ENSG00000014824
ENSG00000014914	A4FU01	MTMR11	91.0	ENSG00000014914
ENSG00000014919	Q7KZN9	COX15	1628.0	ENSG00000014919
ENSG00000015133	Q9P219	CCDC88C	910.0	ENSG00000015133
ENSG00000015153	Q8IY57	YAF2	454.6	ENSG00000015153
ENSG00000015171	Q15326	ZMYND11	910.0	ENSG00000015171
ENSG00000015285	P42768	WAS	91.0	ENSG00000015285
ENSG00000015413	P16444	DPEP1	454.6	ENSG00000015413
ENSG00000015475	P55957	BID	324.5	ENSG00000015475
ENSG00000015479	P43243	MATR3	454.6	ENSG00000015479
ENSG00000015520	Q9UHC9	NPC1L1	1628.0	ENSG00000015520
ENSG00000015532	Q9H1B5	XYLT2	910.0	ENSG00000015532
ENSG00000015568	Q99666	RGPD5	454.6	ENSG00000015568
ENSG00000015592	Q9H169	STMN4	454.6	ENSG00000015592
ENSG00000015676	Q8IVD9	NUDCD3	454.6	ENSG00000015676
ENSG00000016082	P61371	ISL1	454.6	ENSG00000016082
ENSG00000016391	Q8NE62	CHDH	4200.0	ENSG00000016391
ENSG00000016402	Q9UHF4	IL20RA	454.6	ENSG00000016402
ENSG00000016490	A8K7I4	CLCA1	454.6	ENSG00000016490
ENSG00000016602	Q14CN2	CLCA4	454.6	ENSG00000016602
ENSG00000016864	Q68CQ7	GLT8D1	454.6	ENSG00000016864
ENSG00000017260	P98194	ATP2C1	1368.0	ENSG00000017260
ENSG00000017427	P05019	IGF1	454.6	ENSG00000017427
ENSG00000017483	Q8WUX1	SLC38A5	91.0	ENSG00000017483
ENSG00000017797	Q15311	RALBP1	454.6	ENSG00000017797
ENSG00000018189	Q7L099	RUFY3	454.6	ENSG00000018189
ENSG00000018236	Q12860	CNTN1	910.0	ENSG00000018236
ENSG00000018280	P49279	SLC11A1	4200.0	ENSG00000018280
ENSG00000018408	Q9GZV5	WWTR1	91.0	ENSG00000018408
ENSG00000018510	O00116	AGPS	4200.0	ENSG00000018510
ENSG00000018607	Q9UK13	ZNF806	910.0	ENSG00000018607
ENSG00000018610	Q9H5V9	CXorf56	910.0	ENSG00000018610
ENSG00000018625	P50993	ATP1A2	4200.0	ENSG00000018625
ENSG00000018699	Q6P3X3	TTC27	1368.0	ENSG00000018699
ENSG00000018869	Q96NG8	ZNF582	0.0	ENSG00000018869
ENSG00000019102	Q96IQ7	VSIG2	91.0	ENSG00000019102
ENSG00000019144	Q86UU1	PHLDB1	454.6	ENSG00000019144
ENSG00000019169	Q9UEW3	MARCO	454.6	ENSG00000019169
ENSG00000019186	Q07973	CYP24A1	910.0	ENSG00000019186
ENSG00000019485	Q9NQV5	PRDM11	324.5	ENSG00000019485
ENSG00000019505	Q7L8C5	SYT13	454.6	ENSG00000019505
ENSG00000019549	O43623	SNAI2	910.0	ENSG00000019549
ENSG00000019582	P04233	CD74	454.6	ENSG00000019582
ENSG00000019991	P14210	HGF	454.6	ENSG00000019991
ENSG00000019995	Q9UGI0	ZRANB1	454.6	ENSG00000019995
ENSG00000020129	Q9UBB6	NCDN	324.5	ENSG00000020129
ENSG00000020181	Q96PE1	GPR124	324.5	ENSG00000020181
ENSG00000020219	A6NM43	CCT8L1P	91.0	ENSG00000020219
ENSG00000020256	Q9NPA5	ZFP64	454.6	ENSG00000020256
ENSG00000020426	P51948	MNAT1	1368.0	ENSG00000020426
ENSG00000020577	Q9UPU9	SAMD4A	324.5	ENSG00000020577
ENSG00000020633	Q13761	RUNX3	454.6	ENSG00000020633
ENSG00000020922	P49959	MRE11A	1628.0	ENSG00000020922
ENSG00000021300	Q9UF11	PLEKHB1	454.6	ENSG00000021300
ENSG00000021355	P30740	SERPINB1	454.6	ENSG00000021355
ENSG00000021461	Q9HB55	CYP3A43	910.0	ENSG00000021461
ENSG00000021488	P82251	SLC7A9	454.6	ENSG00000021488
ENSG00000021574	Q9UBP0	SPAST	1628.0	ENSG00000021574
ENSG00000021645	Q9Y4C0	NRXN3	910.0	ENSG00000021645
ENSG00000021762	Q9H0X9	OSBPL5	1628.0	ENSG00000021762
