gene_symbol	entrez_ID
INTS3	65123
SLC27A3	11000
GATAD2B	57459
DENND4B	9909
CRTC2	200186
SLC39A1	27173
CREB3L4	148327
JTB	10899
RAB13	5872
RPS27	6232
NUP210L	91181
TPM3	7170
C1orf189	388701
C1orf43	25912
UBAP2L	9898
HAX1	10456
AQP10	89872
ATP8B2	57198
IL6R	3570
SHE	126669
TDRD10	126668
UBE2Q1	55585
CHRNB2	1141
ADAR	103
KCNN3	3782
PMVK	10654
PBXIP1	57326
PYGO2	90780
SHC1	6464
CKS1B	1163
FLAD1	80308
LENEP	55891
ZBTB7B	51043
DCST2	127579
DCST1	149095
ADAM15	8751
EFNA4	1945
EFNA3	1944
EFNA1	1942
SLC50A1	55974
DPM3	54344
KRTCAP2	200185
TRIM46	80128
MUC1	4582
THBS3	7059
MTX1	4580
GBA	2629
FAM189B	10712
SCAMP3	10067
CLK2	1196
HCN3	57657
PKLR	5313
FDPS	2224
RUSC1	23623
ASH1L	55870
MSTO1	55154
YY1AP1	55249
DAP3	7818
GON4L	54856
SYT11	23208
RIT1	6016
KIAA0907	22889
RXFP4	339403
ARHGEF2	9181
SSR2	6746
UBQLN4	56893
LAMTOR2	28956
RAB25	57111
MEX3A	92312
LMNA	4000
SEMA4A	64218
SLC25A44	9673
PMF1-BGLAP	100527963
PMF1	11243
BGLAP	632
PAQR6	79957
SMG5	23381
TMEM79	84283
C1orf85	112770
VHLL	391104
CCT3	7203
TSACC	128229
RHBG	57127
C1orf61	10485
MEF2D	4209
IQGAP3	128239
TTC24	164118
APOA1BP	128240
GPATCH4	54865
HAPLN2	60484
BCAN	63827
NES	10763
CRABP2	1382
ISG20L2	81875
RRNAD1	51093
MRPL24	79590
HDGF	3068
PRCC	5546
SH2D2A	9047
NTRK1	4914
INSRR	3645
PEAR1	375033
LRRC71	149499
ARHGEF11	9826
ETV3L	440695
ETV3	2117
FCRL5	83416
FCRL4	83417
FCRL3	115352
FCRL2	79368
FCRL1	115350
CD5L	922
KIRREL	55243
CD1D	912
CD1A	909
CD1C	911
CD1B	910
CD1E	913
OR10T2	128360
OR10K2	391107
OR10K1	391109
OR10R2	343406
OR6Y1	391112
OR6P1	128366
OR10Z1	128368
SPTA1	6708
OR6K2	81448
OR6K3	391114
OR6K6	128371
OR6N1	128372
OR6N2	81442
MNDA	4332
PYHIN1	149628
IFI16	3428
AIM2	9447
CADM3	57863
DARC	2532
FCER1A	2205
OR10J3	441911
OR10J1	26476
OR10J5	127385
APCS	325
CRP	1401
DUSP23	54935
FCRL6	343413
SLAMF8	56833
VSIG8	391123
CCDC19	25790
TAGLN2	8407
IGSF9	57549
SLAMF9	89886
PIGM	93183
KCNJ10	3766
KCNJ9	3765
IGSF8	93185
ATP1A2	477
ATP1A4	480
CASQ1	844
PEA15	8682
DCAF8	50717
PEX19	5824
COPA	1314
NCSTN	23385
NHLH1	4807
VANGL2	57216
SLAMF6	114836
CD84	8832
SLAMF1	6504
CD48	962
SLAMF7	57823
LY9	4063
CD244	51744
ITLN1	55600
ITLN2	142683
F11R	50848
TSTD1	100131187
USF1	7391
ARHGAP30	257106
PVRL4	81607
KLHDC9	126823
PFDN2	5202
NIT1	4817
DEDD	9191
UFC1	51506
USP21	27005
PPOX	5498
B4GALT3	8703
ADAMTS4	9507
NDUFS2	4720
FCER1G	2207
APOA2	336
TOMM40L	84134
NR1I3	9970
PCP4L1	654790
MPZ	4359
SDHC	6391
C1orf192	257177
FCGR2A	2212
HSPA6	3310
FCGR3A	2214
FCGR2B	2213
FCGR2C	9103
FCGR3B	2215
FCRLA	84824
FCRLB	127943
DUSP12	11266
ATF6	22926
OLFML2B	25903
NOS1AP	9722
C1orf226	400793
C1orf111	284680
SH2D1B	117157
UHMK1	127933
UAP1	6675
DDR2	4921
HSD17B7	51478
C1orf110	339512
RGS4	5999
RGS5	8490
NUF2	83540
PBX1	5087
LMX1A	4009
RXRG	6258
LRRC52	440699
MGST3	4259
ALDH9A1	223
TMCO1	54499
UCK2	7371
FAM78B	149297
POGK	57645
TADA1	117143
ILDR2	387597
MAEL	84944
GPA33	10223
DUSP27	92235
POU2F1	5451
CD247	919
CREG1	8804
RCSD1	92241
MPZL1	9019
ADCY10	55811
MPC2	25874
DCAF6	55827
GPR161	23432
TIPRL	261726
SFT2D2	375035
TBX19	9095
XCL2	6846
XCL1	6375
DPT	1805
ATP1B1	481
NME7	29922
BLZF1	8548
CCDC181	57821
SLC19A2	10560
F5	2153
SELP	6403
C1orf112	55732
SELL	6402
SELE	6401
METTL18	92342
SCYL3	57147
KIFAP3	22920
METTL11B	149281
GORAB	92344
PRRX1	5396
MROH9	80133
FMO3	2328
FMO6P	388714
FMO2	2327
FMO1	2326
FMO4	2329
PRRC2C	23215
MYOC	4653
VAMP4	8674
METTL13	51603
DNM3	26052
PIGC	5279
C1orf105	92346
SUCO	51430
FASLG	356
TNFSF18	8995
TNFSF4	7292
PRDX6	9588
SLC9C2	284525
ANKRD45	339416
KLHL20	27252
CENPL	91687
DARS2	55157
ZBTB37	84614
SERPINC1	462
RC3H1	149041
RABGAP1L	9910
GPR52	9293
CACYBP	27101
MRPS14	63931
TNN	63923
KIAA0040	9674
TNR	7143
RFWD2	64326
PAPPA2	60676
ASTN1	460
BRINP2	57795
SEC16B	89866
RASAL2	9462
TEX35	84066
C1orf220	400798
RALGPS2	55103
ANGPTL1	9068
FAM20B	9917
TOR3A	64222
ABL2	27
SOAT1	6646
AXDND1	126859
NPHS2	7827
TDRD5	163589
FAM163A	148753
TOR1AIP2	163590
TOR1AIP1	26092
CEP350	9857
QSOX1	5768
LHX4	89884
XPR1	9213
KIAA1614	57710
STX6	10228
MR1	3140
IER5	51278
CACNA1E	777
ZNF648	127665
GLUL	2752
TEDDM1	127670
RGSL1	353299
RNASEL	6041
RGS16	6004
RGS8	85397
NPL	80896
DHX9	1660
SHCBP1L	81626
LAMC1	3915
LAMC2	3918
NMNAT2	23057
SMG7	9887
NCF2	4688
ARPC5	10092
RGL1	23179
APOBEC4	403314
COLGALT2	23127
TSEN15	116461
C1orf21	81563
EDEM3	80267
FAM129A	116496
RNF2	6045
TRMT1L	81627
SWT1	54823
IVNS1ABP	10625
HMCN1	83872
PRG4	10216
TPR	7175
C1orf27	54953
OCLM	10896
PDC	5132
PTGS2	5743
PLA2G4A	5321
BRINP3	339479
