genesymbol,ensg_id,Length
GTF2IRD1,ENSG00000006704,6498
PAF1,ENSG00000006712,2668
VPS41,ENSG00000006715,7801
ARHGAP44,ENSG00000006740,9281
ELAC2,ENSG00000006744,6345
SCIN,ENSG00000006747,11623
ARSD,ENSG00000006756,7030
PNPLA4,ENSG00000006757,3441
MYH13,ENSG00000006788,6349
ADIPOR2,ENSG00000006831,5878
CDKL3,ENSG00000006837,3057
UPP2,ENSG00000007001,2957
PRSS21,ENSG00000007038,1967
MARK4,ENSG00000007047,6668
PROM1,ENSG00000007062,7434
CCDC124,ENSG00000007080,1660
CEACAM21,ENSG00000007129,1922
PAFAH1B1,ENSG00000007168,8127
NOS2,ENSG00000007171,4176
DNAH9,ENSG00000007174,16980
KIAA0100,ENSG00000007202,9235
SLC13A2,ENSG00000007216,3226
GAS7,ENSG00000007237,10100
TRAPPC6A,ENSG00000007255,933
MATK,ENSG00000007264,4141
CEACAM7,ENSG00000007306,2649
CD79B,ENSG00000007312,2080
SCN4A,ENSG00000007314,8247
ST7L,ENSG00000007341,8111
TKTL1,ENSG00000007350,3650
PAX6,ENSG00000007372,14782
RPUSD1,ENSG00000007376,2769
RHBDF1,ENSG00000007384,4914
LUC7L,ENSG00000007392,6176
CACNA2D2,ENSG00000007402,6322
BAIAP3,ENSG00000007516,6146
TSR3,ENSG00000007520,1243
PIGQ,ENSG00000007541,6869
CRAMP1L,ENSG00000007545,8373
TEAD3,ENSG00000007866,3046
SELE,ENSG00000007908,4585
DNAJC11,ENSG00000007923,5083
FMO3,ENSG00000007933,3463
MYLIP,ENSG00000007944,3033
NOX1,ENSG00000007952,2529
E2F2,ENSG00000007968,5457
PSMB1,ENSG00000008018,2256
SYN1,ENSG00000008056,3209
JARID2,ENSG00000008083,6015
CDKL5,ENSG00000008086,15642
CAMK1G,ENSG00000008118,2676
CDK11A,ENSG00000008128,4701
NADK,ENSG00000008130,5570
TFAP2B,ENSG00000008196,6149
TFAP2D,ENSG00000008197,1856
DLEC1,ENSG00000008226,8338
CYTH3,ENSG00000008256,5808
ADAM22,ENSG00000008277,12199
SYPL1,ENSG00000008282,2794
CYB561,ENSG00000008283,5320
SPAG9,ENSG00000008294,11963
CELSR3,ENSG00000008300,13873
AASS,ENSG00000008311,4591
PLEKHG6,ENSG00000008323,4260
SS18L2,ENSG00000008324,1301
MPND,ENSG00000008382,2049
MGST1,ENSG00000008394,7440
CRY1,ENSG00000008405,5062
PGLYRP1,ENSG00000008438,720
NFIX,ENSG00000008441,6302
ST3GAL1,ENSG00000008513,8729
MMP25,ENSG00000008516,4126
IL32,ENSG00000008517,3209
PKD1,ENSG00000008710,18532
MAPK8IP2,ENSG00000008735,5901
MED24,ENSG00000008838,6962
RHOBTB2,ENSG00000008853,6580
HEATR5B,ENSG00000008869,8206
SEC62,ENSG00000008952,7928
RPS20,ENSG00000008988,3002
CSDE1,ENSG00000009307,5778
UBE3C,ENSG00000009335,9220
REV3L,ENSG00000009413,12425
TENM1,ENSG00000009694,12896
PAX7,ENSG00000009709,6313
MASP2,ENSG00000009724,4251
IYD,ENSG00000009765,10362
FAM76A,ENSG00000009780,4034
TRAF3IP3,ENSG00000009790,7750
POMT2,ENSG00000009830,10012
VTA1,ENSG00000009844,7262
MLXIPL,ENSG00000009950,4815
BAZ1B,ENSG00000009954,7053
RANBP9,ENSG00000010017,3347
ETV7,ENSG00000010030,2374
SPRTN,ENSG00000010072,5906
METTL13,ENSG00000010165,3827
DYRK4,ENSG00000010219,7054
ZNF207,ENSG00000010244,15834
UQCRC1,ENSG00000010256,3236
STARD3NL,ENSG00000010270,4348
CD9,ENSG00000010278,3299
HHATL,ENSG00000010282,2891
NCAPD2,ENSG00000010292,6487
IFFO1,ENSG00000010295,5203
GIPR,ENSG00000010310,4736
PHF7,ENSG00000010318,3463
SEMA3G,ENSG00000010319,5011
NISCH,ENSG00000010322,9161
STAB1,ENSG00000010327,10588
FUZ,ENSG00000010361,2950
SLC6A13,ENSG00000010379,4243
IDS,ENSG00000010404,9292
PRSS3,ENSG00000010438,1664
ZNF200,ENSG00000010539,7498
CD4,ENSG00000010610,4583
LRRC23,ENSG00000010626,3054
BTK,ENSG00000010671,4575
HFE,ENSG00000010704,5675
SCMH1,ENSG00000010803,4447
FYN,ENSG00000010810,7411
HIVEP2,ENSG00000010818,9774
FMO1,ENSG00000010932,3602
TCEB3,ENSG00000011007,5391
LYPLA2,ENSG00000011009,2196
CLCN6,ENSG00000011021,6938
MRC2,ENSG00000011028,6860
NME2,ENSG00000011052,1241
SLC6A7,ENSG00000011083,4391
TSPAN9,ENSG00000011105,5714
BTBD7,ENSG00000011114,11333
APBA3,ENSG00000011132,5556
MKS1,ENSG00000011143,4078
ABHD5,ENSG00000011198,3172
KAL1,ENSG00000011201,7132
AKAP8L,ENSG00000011243,5081
MBTD1,ENSG00000011258,7201
UTP18,ENSG00000011260,2721
RNF216,ENSG00000011275,7619
TTC19,ENSG00000011295,5966
PTBP1,ENSG00000011304,6883
DPF1,ENSG00000011332,4800
SYT7,ENSG00000011347,5953
LARS2,ENSG00000011376,5393
PIK3C2A,ENSG00000011405,9204
PLAUR,ENSG00000011422,4457
ANLN,ENSG00000011426,6012
WIZ,ENSG00000011451,7965
RABGAP1,ENSG00000011454,9162
DCN,ENSG00000011465,12847
QPCTL,ENSG00000011478,2396
PPP5C,ENSG00000011485,7059
CEP68,ENSG00000011523,8623
MAP4K3,ENSG00000011566,6067
ZBTB32,ENSG00000011590,2770
TYROBP,ENSG00000011600,907
TMEM159,ENSG00000011638,2558
GABRA3,ENSG00000011677,4193
BRCA1,ENSG00000012048,8802
ERCC1,ENSG00000012061,5576
CD22,ENSG00000012124,6159
SEMA3B,ENSG00000012171,5768
MBTPS2,ENSG00000012174,8927
PRICKLE3,ENSG00000012211,3194
LTF,ENSG00000012223,4247
EXTL3,ENSG00000012232,13220
NR1H4,ENSG00000012504,3460
ELOVL5,ENSG00000012660,3813
ALOX5,ENSG00000012779,3730
KDM5D,ENSG00000012817,9463
CALCOCO1,ENSG00000012822,8898
UBR7,ENSG00000012963,3694
MAP4K5,ENSG00000012983,7620
EHD3,ENSG00000013016,4636
PSMC4,ENSG00000013275,2387
MAN2B2,ENSG00000013288,8898
SLC7A14,ENSG00000013293,10459
CLDN11,ENSG00000013297,6032
SLC25A39,ENSG00000013306,3526
MVP,ENSG00000013364,6141
NUB1,ENSG00000013374,5411
PGM3,ENSG00000013375,7335
RWDD2A,ENSG00000013392,3744
CLK1,ENSG00000013441,5170
POLR3B,ENSG00000013503,4858
ANGEL1,ENSG00000013523,6414
RNF14,ENSG00000013561,4987
DNASE1L1,ENSG00000013563,4130
DDX11,ENSG00000013573,8374
HEBP1,ENSG00000013583,3442
GPRC5A,ENSG00000013588,8440
MAMLD1,ENSG00000013619,5958
CD6,ENSG00000013725,5958
TACC3,ENSG00000013810,6528
UFL1,ENSG00000014123,4539
POLA2,ENSG00000014138,5726
ZC3H3,ENSG00000014164,3731
CAPN1,ENSG00000014216,7553
ACPP,ENSG00000014257,4193
MDH1,ENSG00000014641,4990
SLC30A9,ENSG00000014824,7225
MTMR11,ENSG00000014914,4591
COX15,ENSG00000014919,4177
CCDC88C,ENSG00000015133,12426
YAF2,ENSG00000015153,10839
ZMYND11,ENSG00000015171,5300
WAS,ENSG00000015285,2381
DPEP1,ENSG00000015413,2737
BID,ENSG00000015475,4446
MATR3,ENSG00000015479,11772
NPC1L1,ENSG00000015520,5252
XYLT2,ENSG00000015532,5472
RGPD5,ENSG00000015568,14175
STMN4,ENSG00000015592,3294
NUDCD3,ENSG00000015676,10113
ISL1,ENSG00000016082,2882
CHDH,ENSG00000016391,7758
IL20RA,ENSG00000016402,4730
CLCA1,ENSG00000016490,3340
CLCA4,ENSG00000016602,3447
GLT8D1,ENSG00000016864,3916
ATP2C1,ENSG00000017260,8533
IGF1,ENSG00000017427,8087
SLC38A5,ENSG00000017483,4014
RALBP1,ENSG00000017797,4979
RUFY3,ENSG00000018189,8070
CNTN1,ENSG00000018236,7492
SLC11A1,ENSG00000018280,8676
WWTR1,ENSG00000018408,8413
AGPS,ENSG00000018510,8197
ZNF806,ENSG00000018607,1774
CXorf56,ENSG00000018610,2580
ATP1A2,ENSG00000018625,6298
TTC27,ENSG00000018699,3185
ZNF582,ENSG00000018869,3350
VSIG2,ENSG00000019102,1432
PHLDB1,ENSG00000019144,21722
MARCO,ENSG00000019169,2079
CYP24A1,ENSG00000019186,3972
PRDM11,ENSG00000019485,13954
SYT13,ENSG00000019505,5424
SNAI2,ENSG00000019549,2282
CD74,ENSG00000019582,3184
HGF,ENSG00000019991,8897
ZRANB1,ENSG00000019995,5993
NCDN,ENSG00000020129,4917
GPR124,ENSG00000020181,7061
CCT8L1P,ENSG00000020219,1674
ZFP64,ENSG00000020256,6997
MNAT1,ENSG00000020426,3865
SAMD4A,ENSG00000020577,12170
RUNX3,ENSG00000020633,4523
MRE11A,ENSG00000020922,7689
PLEKHB1,ENSG00000021300,4933
SERPINB1,ENSG00000021355,3094
CYP3A43,ENSG00000021461,2637
SLC7A9,ENSG00000021488,2597
SPAST,ENSG00000021574,5213
NRXN3,ENSG00000021645,15206
OSBPL5,ENSG00000021762,7466
AQR,ENSG00000021776,13528
CPS1,ENSG00000021826,10444
C8B,ENSG00000021852,2729
FHL1,ENSG00000022267,5997
RTFDC1,ENSG00000022277,4063
GABRA1,ENSG00000022355,5494
NLRP2,ENSG00000022556,6313
SLC45A4,ENSG00000022567,8608
RNF10,ENSG00000022840,5911
ZNF839,ENSG00000022976,5590
ZDHHC6,ENSG00000023041,3748
GRAMD1B,ENSG00000023171,9770
RNH1,ENSG00000023191,7374
NDUFS1,ENSG00000023228,12268
RB1CC1,ENSG00000023287,7615
ERP44,ENSG00000023318,4854
ALAS1,ENSG00000023330,2536
BIRC3,ENSG00000023445,7518
AKAP11,ENSG00000023516,9920
GLRX2,ENSG00000023572,1299
SNAPC1,ENSG00000023608,2656
DERA,ENSG00000023697,2844
STRAP,ENSG00000023734,2211
ABCC2,ENSG00000023839,6232
DEF6,ENSG00000023892,2545
PLEKHO1,ENSG00000023902,6565
GCLM,ENSG00000023909,5420
UBR2,ENSG00000024048,8840
EHD2,ENSG00000024422,3923
DEPDC1,ENSG00000024526,5904
CCDC28A,ENSG00000024862,1507
RRAGD,ENSG00000025039,5072
HSF2,ENSG00000025156,2702
PHF20,ENSG00000025293,8384
HSD17B6,ENSG00000025423,2272
NR1H3,ENSG00000025434,4533
TYMP,ENSG00000025708,3349
NCAPH2,ENSG00000025770,3159
TOMM34,ENSG00000025772,2062
SEC63,ENSG00000025796,8587
KPNA6,ENSG00000025800,7480
VIM,ENSG00000026025,4965
RTEL1-TNFRSF6B,ENSG00000026036,8752
FAS,ENSG00000026103,3688
RNASET2,ENSG00000026297,7643
CD44,ENSG00000026508,10057
KCNG1,ENSG00000026559,5437
AGPAT4,ENSG00000026652,8769
SLAMF7,ENSG00000026751,4833
BTN3A1,ENSG00000026950,5547
MIPEP,ENSG00000027001,3407
PRKCH,ENSG00000027075,8809
INSRR,ENSG00000027644,5101
IFNGR1,ENSG00000027697,2571
B4GALT7,ENSG00000027847,4927
SH2D2A,ENSG00000027869,2512
VRK2,ENSG00000028116,3509
TNFRSF1B,ENSG00000028137,3766
VEZT,ENSG00000028203,8757
POU2F2,ENSG00000028277,8903
BRD9,ENSG00000028310,9572
SNX1,ENSG00000028528,9780
TBPL1,ENSG00000028839,5039
ARNTL2,ENSG00000029153,6983
BCLAF1,ENSG00000029363,9297
SLC39A9,ENSG00000029364,7136
ANK1,ENSG00000029534,10799
IBSP,ENSG00000029559,1546
TFB1M,ENSG00000029639,2736
RABEP1,ENSG00000029725,6531
HMGB3,ENSG00000029993,3967
NUP160,ENSG00000030066,8576
BAK1,ENSG00000030110,2212
MUSK,ENSG00000030304,4182
IKZF2,ENSG00000030419,12240
GRN,ENSG00000030582,3520
FAM13B,ENSG00000031003,6808
ARHGAP31,ENSG00000031081,9384
CENPQ,ENSG00000031691,1733
SARS,ENSG00000031698,3836
RANBP3,ENSG00000031823,7445
ARID4A,ENSG00000032219,7568
TSSC1,ENSG00000032389,5775
PNPLA6,ENSG00000032444,7055
IFT88,ENSG00000032742,6111
ALG1,ENSG00000033011,4496
ZCCHC8,ENSG00000033030,8690
ABCF2,ENSG00000033050,4448
CHPF2,ENSG00000033100,4205
LRRC7,ENSG00000033122,14652
FUT8,ENSG00000033170,6700
UBA6,ENSG00000033178,11432
GAB2,ENSG00000033327,6771
ATP6V0A1,ENSG00000033627,10955
PIAS1,ENSG00000033800,10776
SLC4A7,ENSG00000033867,9616
APBA2,ENSG00000034053,6869
MAP2K3,ENSG00000034152,3783
EFCAB1,ENSG00000034239,5805
TMSB10,ENSG00000034510,496
ASTE1,ENSG00000034533,3427
RNF19A,ENSG00000034677,6049
PEX3,ENSG00000034693,2222
GABARAPL2,ENSG00000034713,3034
MYOC,ENSG00000034971,2095
SH3YL1,ENSG00000035115,11165
FAM136A,ENSG00000035141,3086
VCL,ENSG00000035403,9992
DEPDC1B,ENSG00000035499,3806
DAPK2,ENSG00000035664,13612
NSMAF,ENSG00000035681,6165
ADSS,ENSG00000035687,3666
STAP1,ENSG00000035720,1655
TIMP2,ENSG00000035862,5633
RFC1,ENSG00000035928,6713
TBC1D23,ENSG00000036054,5168
CUL3,ENSG00000036257,11505
MYOM2,ENSG00000036448,7062
OTC,ENSG00000036473,1585
CYP46A1,ENSG00000036530,9352
ZZZ3,ENSG00000036549,9008
SLC18A1,ENSG00000036565,3910
USP2,ENSG00000036672,4538
CASR,ENSG00000036828,5398
TUBG2,ENSG00000037042,2772
RPL26L1,ENSG00000037241,1164
FLT4,ENSG00000037280,8852
NSUN2,ENSG00000037474,5506
FBXO42,ENSG00000037637,8984
MFAP3,ENSG00000037749,4792
MRI1,ENSG00000037757,3456
METTL1,ENSG00000037897,2621
HOXC8,ENSG00000037965,1889
AGA,ENSG00000038002,2675
PI4K2B,ENSG00000038210,3540
BOD1L1,ENSG00000038219,15860
MAT2B,ENSG00000038274,5153
TLL1,ENSG00000038295,7522
EDC4,ENSG00000038358,6173
TRIO,ENSG00000038382,17500
VCAN,ENSG00000038427,14831
CLEC16A,ENSG00000038532,12387
MSR1,ENSG00000038945,7812
CDH1,ENSG00000039068,6177
SKIV2L2,ENSG00000039123,6578
DNAH5,ENSG00000039139,16475
ZFYVE16,ENSG00000039319,11461
FAM65A,ENSG00000039523,6729
C6,ENSG00000039537,4739
RAI14,ENSG00000039560,7687
SOX30,ENSG00000039600,3471
PNKP,ENSG00000039650,4025
BEST2,ENSG00000039987,2646
PHLPP2,ENSG00000040199,12493
SPDL1,ENSG00000040275,4777
STAU2,ENSG00000040341,8998
PQLC2,ENSG00000040487,2686
CTNS,ENSG00000040531,3398
RTN4R,ENSG00000040608,3339
PHF23,ENSG00000040633,2783
CDH10,ENSG00000040731,3660
INPP4A,ENSG00000040933,13187
RAB27B,ENSG00000041353,7432
PSMA4,ENSG00000041357,6996
MYO16,ENSG00000041515,9209
LSG1,ENSG00000041802,4818
PARP3,ENSG00000041880,2928
TNC,ENSG00000041982,9636
THAP3,ENSG00000041988,4072
FAM65C,ENSG00000042062,6009
TDP1,ENSG00000042088,6227
AIFM2,ENSG00000042286,5135
C2orf83,ENSG00000042304,2087
SPATA7,ENSG00000042317,6872
MED17,ENSG00000042429,10773
RETSAT,ENSG00000042445,4005
CAPG,ENSG00000042493,2607
AP2S1,ENSG00000042753,1704
USH2A,ENSG00000042781,20506
ZPBP,ENSG00000042813,2643
TG,ENSG00000042832,11132
ADAM28,ENSG00000042980,9351
BARX2,ENSG00000043039,3660
DCUN1D1,ENSG00000043093,8412
JADE2,ENSG00000043143,9877
ZIC2,ENSG00000043355,3310
LCP2,ENSG00000043462,7244
TRIT1,ENSG00000043514,2663
ADRB1,ENSG00000043591,2853
GUCA2B,ENSG00000044012,597
CUL7,ENSG00000044090,5628
CTNNA1,ENSG00000044115,8830
PHKA2,ENSG00000044446,9029
CNTLN,ENSG00000044459,11064
EPHA3,ENSG00000044524,6674
HSPA5,ENSG00000044574,3908
DSG2,ENSG00000046604,6190
GEMIN8,ENSG00000046647,2424
OFD1,ENSG00000046651,5172
GPM6B,ENSG00000046653,5675
MAGEC2,ENSG00000046774,1991
PREX2,ENSG00000046889,12058
WDR37,ENSG00000047056,5656
YTHDC2,ENSG00000047188,10816
CTPS2,ENSG00000047230,5510
ATP6V1H,ENSG00000047249,5090
POLR2B,ENSG00000047315,5901
FAM214A,ENSG00000047346,9832
ARAP2,ENSG00000047365,12428
TPR,ENSG00000047410,12350
CP,ENSG00000047457,7296
KIAA0556,ENSG00000047578,9784
DTNBP1,ENSG00000047579,3052
XK,ENSG00000047597,5206
ANO2,ENSG00000047617,6255
C12orf4,ENSG00000047621,4939
SCML1,ENSG00000047634,5497
WWC3,ENSG00000047644,7114
ARHGAP6,ENSG00000047648,7885
FAM184B,ENSG00000047662,6622
MAP4,ENSG00000047849,14896
GOPC,ENSG00000047932,5011
ROS1,ENSG00000047936,7856
USP28,ENSG00000048028,5719
HDAC9,ENSG00000048052,16827
TSPAN17,ENSG00000048140,5215
NOP16,ENSG00000048162,2862
CC2D2A,ENSG00000048342,7564
RRM2B,ENSG00000048392,5548
ZNF800,ENSG00000048405,5793
TNFRSF17,ENSG00000048462,1118
SNX29,ENSG00000048471,11298
LMO3,ENSG00000048540,10268
MRPS10,ENSG00000048544,2110
GUCA1A,ENSG00000048545,2341
RSF1,ENSG00000048649,15740
VPS13D,ENSG00000048707,20023
CELF2,ENSG00000048740,9837
FAM120A,ENSG00000048828,7204
R3HDM1,ENSG00000048991,7898
COL9A2,ENSG00000049089,4151
KITLG,ENSG00000049130,6040
ERCC8,ENSG00000049167,4847
ADAMTS6,ENSG00000049192,8567
H6PD,ENSG00000049239,9321
VAMP3,ENSG00000049245,2760
PER3,ENSG00000049246,8099
UTS2,ENSG00000049247,1791
TNFRSF9,ENSG00000049249,6331
EPN3,ENSG00000049283,4642
LTBP1,ENSG00000049323,7329
RCN1,ENSG00000049449,7225
ELN,ENSG00000049540,6542
RFC2,ENSG00000049541,2211
ARID1B,ENSG00000049618,16334
CLPTM1L,ENSG00000049656,6557
NEDD4L,ENSG00000049759,16120
FOXP3,ENSG00000049768,2647
PPP1R3F,ENSG00000049769,4173
HEXB,ENSG00000049860,5067
PTCD2,ENSG00000049883,12115
KIAA2022,ENSG00000050030,11757
JKAMP,ENSG00000050130,4350
DKK3,ENSG00000050165,5059
ARHGEF5,ENSG00000050327,5818
NFE2L3,ENSG00000050344,4249
MCUR1,ENSG00000050393,6057
LIMA1,ENSG00000050405,6317
LETMD1,ENSG00000050426,6032
SLC4A8,ENSG00000050438,17980
LAMC3,ENSG00000050555,7594
PTGER3,ENSG00000050628,9653
TNIP3,ENSG00000050730,3768
MAPK9,ENSG00000050748,8955
COL23A1,ENSG00000050767,3586
BCAR1,ENSG00000050820,9178
FAM160A2,ENSG00000051009,4736
HERPUD1,ENSG00000051108,5155
HOMER3,ENSG00000051128,3422
RAD51,ENSG00000051180,3046
POLQ,ENSG00000051341,9400
PIK3CB,ENSG00000051382,7850
CYBA,ENSG00000051523,3357
THOC3,ENSG00000051596,3453
HEBP2,ENSG00000051620,10356
MPHOSPH9,ENSG00000051825,10304
PLEKHA5,ENSG00000052126,12558
PRSS8,ENSG00000052344,3010
SIKE1,ENSG00000052723,5894
RRP12,ENSG00000052749,8529
FNIP2,ENSG00000052795,10868
MSMO1,ENSG00000052802,2892
TTC17,ENSG00000052841,11284
ALX4,ENSG00000052850,5750
FSTL4,ENSG00000053108,6734
FOXN3,ENSG00000053254,11033
METTL24,ENSG00000053328,1774
AKR7A2,ENSG00000053371,1781
MRTO4,ENSG00000053372,2822
NNAT,ENSG00000053438,1297
USE1,ENSG00000053501,2431
MCF2L2,ENSG00000053524,20568
NRIP2,ENSG00000053702,2803
LAMA3,ENSG00000053747,13522
AP5M1,ENSG00000053770,13034
ANAPC4,ENSG00000053900,7494
KCNQ1,ENSG00000053918,3971
TRAPPC3,ENSG00000054116,3527
THRAP3,ENSG00000054118,4736
PHPT1,ENSG00000054148,1612
ENTPD2,ENSG00000054179,2633
LY75,ENSG00000054219,8798
ARID4B,ENSG00000054267,11073
OPN3,ENSG00000054277,3442
SDCCAG8,ENSG00000054282,5322
PTPRN,ENSG00000054356,8261
HHAT,ENSG00000054392,6641
KIF1B,ENSG00000054523,17693
FOXC1,ENSG00000054598,3926
TBC1D22A,ENSG00000054611,5315
SYNE2,ENSG00000054654,31374
PLEKHH1,ENSG00000054690,10817
ATP9A,ENSG00000054793,8317
SPO11,ENSG00000054796,1867
CBLN4,ENSG00000054803,3024
CHRDL2,ENSG00000054938,3135
FAM168A,ENSG00000054965,7823
RELT,ENSG00000054967,6322
GALC,ENSG00000054983,6825
NOP58,ENSG00000055044,3299
SZRD1,ENSG00000055070,4747
KCNH2,ENSG00000055118,5877
CUL1,ENSG00000055130,3548
FAM114A2,ENSG00000055147,6543
CYFIP2,ENSG00000055163,10582
TAB2,ENSG00000055208,5528
GINM1,ENSG00000055211,2248
EIF2AK2,ENSG00000055332,10753
USP36,ENSG00000055483,9235
KMT2C,ENSG00000055609,20114
MCOLN3,ENSG00000055732,6623
CCDC85A,ENSG00000055813,3982
PUM2,ENSG00000055917,6978
MRPL43,ENSG00000055950,3573
ITIH4,ENSG00000055955,5462
ITIH1,ENSG00000055957,4544
C4orf27,ENSG00000056050,1436
ZFR,ENSG00000056097,6792
ZNF280C,ENSG00000056277,4634
NPFFR2,ENSG00000056291,2359
PHF21B,ENSG00000056487,5753
TRAF1,ENSG00000056558,6449
RC3H2,ENSG00000056586,11545
IL17RB,ENSG00000056736,3038
TRAF3IP2,ENSG00000056972,6553
GYG2,ENSG00000056998,3646
DCBLD2,ENSG00000057019,11274
SERPINB3,ENSG00000057149,2182
SOAT1,ENSG00000057252,7005
PKP2,ENSG00000057294,7043
MSH4,ENSG00000057468,3266
F7,ENSG00000057593,3795
GDI2,ENSG00000057608,4033
PRDM1,ENSG00000057657,6369
ATG5,ENSG00000057663,3953
TMCC3,ENSG00000057704,6515
PITHD1,ENSG00000057757,2186
MTA3,ENSG00000057935,10580
USP13,ENSG00000058056,8440
ATP11B,ENSG00000058063,9196
LAMC2,ENSG00000058085,6543
