ensg_id	gsymbol	ID
ENSG00000214941	ZSWIM7	chr17:15881358:15881477:-@chr17:15880893:15881227:-@chr17:15879874:15880406:-
ENSG00000214941	ZSWIM7	chr17:15890580:15890682:-@chr17:15890114:15890200:-@chr17:15884354:15884458:-
ENSG00000214941	ZSWIM7	chr17:15890114:15890206:-@chr17:15884354:15884458:-@chr17:15881358:15881477:-
ENSG00000214941	ZSWIM7	chr17:15897071:15897092:-@chr17:15894179:15894418:-@chr17:15890580:15890682:-
ENSG00000214941	ZSWIM7	chr17:15890580:15890682:-@chr17:15890114:15890206:-@chr17:15884354:15884458:-
ENSG00000132003	ZSWIM4	chr19:13923811:13923978:+@chr19:13925329:13925679:+@chr19:13928030:13928167:+
ENSG00000186814	ZSCAN30	chr18:32870048:32870196:-@chr18:32847440:32847643:-@chr18:32843909:32844419:-
ENSG00000187987	ZSCAN23	chr6:28411176:28411279:-@chr6:28403636:28404120:-@chr6:28403237:28403384:-
ENSG00000187987	ZSCAN23	chr6:28403636:28404120:-@chr6:28403275:28403384:-@chr6:28400432:28402855:-
ENSG00000187987	ZSCAN23	chr6:28403636:28404120:-@chr6:28403237:28403384:-@chr6:28400432:28402855:-
ENSG00000166529	ZSCAN21	chr7:99647417:99647464:+@chr7:99649101:99649233:+@chr7:99654534:99655028:+
ENSG00000166529	ZSCAN21	chr7:99655321:99655513:+@chr7:99661411:99661602:+@chr7:99661706:99662661:+
ENSG00000176371	ZSCAN2	chr15:85163833:85164003:+@chr15:85165809:85165945:+@chr15:85166507:85166874:+
ENSG00000176371	ZSCAN2	chr15:85144249:85144366:+@chr15:85145230:85145481:+@chr15:85147051:85147564:+
ENSG00000176371	ZSCAN2	chr15:85144249:85144366:+@chr15:85145205:85145481:+@chr15:85147051:85147564:+
ENSG00000176371	ZSCAN2	chr15:85144249:85144366:+@chr15:85145418:85145481:+@chr15:85147051:85147564:+
ENSG00000176371	ZSCAN2	chr15:85163833:85164003:+@chr15:85165877:85165945:+@chr15:85166507:85166874:+
ENSG00000176371	ZSCAN2	chr15:85144249:85144366:+@chr15:85147051:85147431:+@chr15:85163833:85164003:+
ENSG00000176371	ZSCAN2	chr15:85144249:85144366:+@chr15:85147051:85147561:+@chr15:85163833:85164003:+
ENSG00000176371	ZSCAN2	chr15:85144249:85144366:+@chr15:85147051:85147564:+@chr15:85163833:85164003:+
ENSG00000130182	ZSCAN10	chr16:3149191:3149293:-@chr16:3143269:3143359:-@chr16:3142543:3143005:-
ENSG00000130182	ZSCAN10	chr16:3149191:3149293:-@chr16:3142050:3142317:-@chr16:3141765:3141829:-
ENSG00000130182	ZSCAN10	chr16:3142543:3142861:-@chr16:3142050:3142317:-@chr16:3141765:3141829:-
ENSG00000130182	ZSCAN10	chr16:3149191:3149293:-@chr16:3142543:3143005:-@chr16:3141765:3141829:-
ENSG00000130182	ZSCAN10	chr16:3149191:3149293:-@chr16:3142543:3143005:-@chr16:3142050:3142317:-
ENSG00000130182	ZSCAN10	chr16:3149191:3149293:-@chr16:3142678:3143005:-@chr16:3141765:3141829:-
ENSG00000152467	ZSCAN1	chr19:58545434:58545529:+@chr19:58546808:58546870:+@chr19:58547338:58547379:+
ENSG00000121988	ZRANB3	chr2:136029338:136029457:-@chr2:136028871:136028965:-@chr2:136026532:136026711:-
ENSG00000132485	ZRANB2	chr1:71532459:71532617:-@chr1:71531361:71531435:-@chr1:71528974:71530820:-
ENSG00000170044	ZPLD1	chr3:102153859:102153998:+@chr3:102155704:102155817:+@chr3:102157324:102157437:+
ENSG00000186075	ZPBP2	chr17:38027717:38027878:+@chr17:38028523:38028741:+@chr17:38029297:38029379:+
ENSG00000186075	ZPBP2	chr17:38024455:38024659:+@chr17:38024802:38024867:+@chr17:38026947:38027072:+
ENSG00000149506	ZP1	chr11:60636618:60636739:+@chr11:60637010:60637373:+@chr11:60637805:60637948:+
ENSG00000186187	ZNRF1	chr16:75127470:75127565:+@chr16:75129496:75129648:+@chr16:75138682:75138787:+
ENSG00000186187	ZNRF1	chr16:75138682:75138787:+@chr16:75140380:75140469:+@chr16:75141631:75144892:+
ENSG00000204623	ZNRD1-AS1	chr6:30002685:30002887:-@chr6:29989444:29989538:-@chr6:29968788:29970509:-
ENSG00000204623	ZNRD1-AS1	chr6:30025892:30025967:-@chr6:29989444:29989538:-@chr6:29968788:29970509:-
ENSG00000204623	ZNRD1-AS1	chr6:30025892:30025967:-@chr6:30024868:30025494:-@chr6:30003693:30003760:-
ENSG00000204623	ZNRD1-AS1	chr6:30028856:30028961:-@chr6:30028518:30028772:-@chr6:30025892:30025967:-
ENSG00000066379	ZNRD1	chr6:30029292:30029446:+@chr6:30029694:30029794:+@chr6:30030001:30030110:+
ENSG00000236949	ZNRD1	chr6_dbb_hap3:1323022:1323176:+@chr6_dbb_hap3:1323424:1323524:+@chr6_dbb_hap3:1323731:1323840:+
ENSG00000236808	ZNRD1	chr6_mcf_hap5:1411193:1411347:+@chr6_mcf_hap5:1411595:1411695:+@chr6_mcf_hap5:1411902:1412011:+
ENSG00000235443	ZNRD1	chr6_apd_hap1:1269529:1269683:+@chr6_apd_hap1:1269931:1270031:+@chr6_apd_hap1:1270238:1270347:+
ENSG00000224859	ZNRD1	chr6_cox_hap2:1541398:1541552:+@chr6_cox_hap2:1541800:1541900:+@chr6_cox_hap2:1542107:1542216:+
ENSG00000233795	ZNRD1	chr6_ssto_hap7:1359735:1359889:+@chr6_ssto_hap7:1360137:1360237:+@chr6_ssto_hap7:1360444:1360553:+
ENSG00000235176	ZNRD1	chr6_mann_hap4:1327889:1328043:+@chr6_mann_hap4:1328291:1328391:+@chr6_mann_hap4:1328598:1328707:+
ENSG00000206502	ZNRD1	chr6_qbl_hap6:1322294:1322448:+@chr6_qbl_hap6:1322696:1322796:+@chr6_qbl_hap6:1323003:1323112:+
ENSG00000108278	ZNHIT3	chr17:34842473:34842629:+@chr17:34842779:34842810:+@chr17:34848657:34848743:+
ENSG00000106400	ZNHIT1	chr7:100860985:100861498:+@chr7:100861600:100861766:+@chr7:100865885:100866055:+
ENSG00000106400	ZNHIT1	chr7:100860985:100861498:+@chr7:100861600:100865077:+@chr7:100865885:100866055:+
ENSG00000177410	ZNFX1-AS1	chr20:47897022:47897107:+@chr20:47897440:47897501:+@chr20:47905582:47905795:+
ENSG00000177410	ZNFX1-AS1	chr20:47897440:47897501:+@chr20:47898289:47898355:+@chr20:47905582:47905795:+
ENSG00000177410	ZNFX1-AS1	chr20:47895641:47895745:+@chr20:47897022:47897107:+@chr20:47905582:47905795:+
ENSG00000146757	ZNF92	chr7:64838768:64838913:+@chr7:64853719:64853814:+@chr7:64863254:64865998:+
ENSG00000146757	ZNF92	chr7:64852815:64852941:+@chr7:64853719:64853814:+@chr7:64863254:64865998:+
ENSG00000146757	ZNF92	chr7:64838768:64838913:+@chr7:64852815:64852941:+@chr7:64863254:64865998:+
ENSG00000146757	ZNF92	chr7:64838768:64838913:+@chr7:64852815:64852941:+@chr7:64853719:64853814:+
ENSG00000167232	ZNF91	chr19:23557440:23557566:-@chr19:23556544:23556639:-@chr19:23540498:23545527:-
ENSG00000213988	ZNF90	chr19:20216030:20216125:+@chr19:20232031:20232155:+@chr19:20235815:20236975:+
ENSG00000213988	ZNF90	chr19:20216030:20216125:+@chr19:20217757:20217894:+@chr19:20228590:20231977:+
ENSG00000213988	ZNF90	chr19:20188803:20188944:+@chr19:20215048:20215174:+@chr19:20216030:20216125:+
ENSG00000159904	ZNF890P	chr7:5172079:5172120:-@chr7:5167248:5167374:-@chr7:5166461:5166556:-
ENSG00000221923	ZNF880	chr19:52877552:52877680:+@chr19:52882674:52882793:+@chr19:52887102:52889046:+
ENSG00000178917	ZNF852	chr3:44552045:44552128:-@chr3:44544457:44544548:-@chr3:44544034:44544160:-
ENSG00000267041	ZNF850	chr19:37253207:37253333:-@chr19:37252545:37252640:-@chr19:37234380:37241706:-
ENSG00000105750	ZNF85	chr19:21117755:21117853:+@chr19:21129106:21129195:+@chr19:21131550:21133503:+
ENSG00000105750	ZNF85	chr19:21116830:21116956:+@chr19:21117755:21117853:+@chr19:21131550:21133503:+
ENSG00000105750	ZNF85	chr19:21106059:21106209:+@chr19:21116830:21116956:+@chr19:21117755:21117853:+
ENSG00000196605	ZNF846	chr19:9868735:9869440:-@chr19:9866193:9866310:-@chr19:9863066:9863116:-
ENSG00000196605	ZNF846	chr19:9872758:9872844:-@chr19:9870536:9870618:-@chr19:9868151:9869440:-
ENSG00000213799	ZNF845	chr19:53837002:53837045:+@chr19:53844077:53844178:+@chr19:53844488:53844575:+
ENSG00000223547	ZNF844	chr19:12184846:12184972:+@chr19:12185176:12185236:+@chr19:12186127:12188626:+
ENSG00000223547	ZNF844	chr19:12175546:12175691:+@chr19:12184846:12184972:+@chr19:12186127:12188626:+
ENSG00000198040	ZNF84	chr12:133625339:133625434:+@chr12:133627110:133627172:+@chr12:133633540:133639885:+
ENSG00000022976	ZNF839	chr14:102792322:102793224:+@chr14:102797959:102798183:+@chr14:102800891:102800983:+
ENSG00000022976	ZNF839	chr14:102802026:102802175:+@chr14:102802972:102803056:+@chr14:102805153:102805290:+
ENSG00000022976	ZNF839	chr14:102800891:102800983:+@chr14:102802026:102802175:+@chr14:102805153:102805290:+
ENSG00000167766	ZNF83	chr19:53158814:53158940:-@chr19:53138319:53138406:-@chr19:53115618:53118050:-
ENSG00000167766	ZNF83	chr19:53122189:53122315:-@chr19:53119971:53120094:-@chr19:53115618:53118050:-
ENSG00000167766	ZNF83	chr19:53122189:53122315:-@chr19:53119971:53120068:-@chr19:53115618:53118050:-
ENSG00000167766	ZNF83	chr19:53122189:53122315:-@chr19:53121881:53122018:-@chr19:53119971:53120068:-
ENSG00000167766	ZNF83	chr19:53138319:53138406:-@chr19:53122189:53122315:-@chr19:53115618:53118050:-
ENSG00000167766	ZNF83	chr19:53122189:53122315:-@chr19:53120499:53120588:-@chr19:53119971:53120094:-
ENSG00000151612	ZNF827	chr4:146686140:146686317:-@chr4:146684242:146684274:-@chr4:146681888:146682750:-
ENSG00000151612	ZNF827	chr4:146686131:146686317:-@chr4:146684242:146684274:-@chr4:146681888:146682750:-
ENSG00000151612	ZNF827	chr4:146859517:146859607:-@chr4:146823318:146824367:-@chr4:146813395:146813567:-
ENSG00000197933	ZNF823	chr19:11836016:11836142:-@chr19:11835009:11835069:-@chr19:11832080:11834157:-
ENSG00000197933	ZNF823	chr19:11849632:11849760:-@chr19:11836016:11836142:-@chr19:11835009:11835069:-
ENSG00000102984	ZNF821	chr16:71901815:71901940:-@chr16:71898806:71898951:-@chr16:71898041:71898145:-
ENSG00000102984	ZNF821	chr16:71901796:71901940:-@chr16:71898806:71898951:-@chr16:71898041:71898145:-
ENSG00000102984	ZNF821	chr16:71898041:71898145:-@chr16:71895679:71895845:-@chr16:71893583:71894575:-
ENSG00000102984	ZNF821	chr16:71917114:71917176:-@chr16:71915220:71915337:-@chr16:71913810:71913926:-
ENSG00000102984	ZNF821	chr16:71913810:71913926:-@chr16:71901815:71901940:-@chr16:71898806:71898951:-
ENSG00000102984	ZNF821	chr16:71913810:71913926:-@chr16:71901796:71901940:-@chr16:71898806:71898951:-
ENSG00000180257	ZNF816	chr19:53465980:53466164:-@chr19:53463280:53463430:-@chr19:53459280:53459357:-
ENSG00000180257	ZNF816	chr19:53465980:53466164:-@chr19:53459445:53459518:-@chr19:53459280:53459357:-
ENSG00000235944	ZNF815P	chr7:5862791:5863157:+@chr7:5870812:5870914:+@chr7:5873158:5873199:+
ENSG00000235944	ZNF815P	chr7:5873158:5873199:+@chr7:5878701:5878835:+@chr7:5879580:5879706:+
ENSG00000198346	ZNF813	chr19:53987004:53987091:+@chr19:53989886:53990012:+@chr19:53993629:53997546:+
ENSG00000198346	ZNF813	chr19:53989886:53990012:+@chr19:53991462:53991554:+@chr19:53993629:53997546:+
ENSG00000197779	ZNF81	chrX:47696301:47696386:+@chrX:47702049:47702167:+@chrX:47705504:47705720:+
ENSG00000198482	ZNF808	chr19:53030909:53030964:+@chr19:53036161:53036262:+@chr19:53046519:53046600:+
ENSG00000198482	ZNF808	chr19:53046519:53046600:+@chr19:53050765:53050891:+@chr19:53056360:53059303:+
ENSG00000204524	ZNF805	chr19:57752053:57752289:+@chr19:57755291:57755417:+@chr19:57759973:57760068:+
ENSG00000173875	ZNF791	chr19:12721732:12721896:+@chr19:12723040:12723179:+@chr19:12734514:12734640:+
ENSG00000173875	ZNF791	chr19:12734514:12734640:+@chr19:12735464:12735524:+@chr19:12738535:12740676:+
ENSG00000173875	ZNF791	chr19:12721732:12721896:+@chr19:12734514:12734640:+@chr19:12735464:12735524:+
ENSG00000198556	ZNF789	chr7:99077284:99077410:+@chr7:99081362:99081476:+@chr7:99081653:99081766:+
ENSG00000198556	ZNF789	chr7:99070515:99070679:+@chr7:99074026:99074103:+@chr7:99077284:99077410:+
ENSG00000198556	ZNF789	chr7:99081653:99081766:+@chr7:99082831:99082991:+@chr7:99084099:99085217:+
ENSG00000198556	ZNF789	chr7:99074026:99074103:+@chr7:99075897:99075979:+@chr7:99077284:99077410:+
ENSG00000197362	ZNF786	chr7:148787715:148787869:-@chr7:148777683:148777809:-@chr7:148771478:148771630:-
ENSG00000197362	ZNF786	chr7:148787715:148787869:-@chr7:148780748:148781070:-@chr7:148777683:148777809:-
ENSG00000196597	ZNF782	chr9:99616370:99616642:-@chr9:99615135:99615351:-@chr9:99614229:99614287:-
ENSG00000196597	ZNF782	chr9:99614229:99614287:-@chr9:99607172:99607298:-@chr9:99589362:99589463:-
ENSG00000196597	ZNF782	chr9:99616370:99616642:-@chr9:99615135:99615296:-@chr9:99614229:99614287:-
ENSG00000128000	ZNF780B	chr19:40556231:40556284:-@chr19:40554825:40554963:-@chr19:40554577:40554703:-
ENSG00000170100	ZNF778	chr16:89288500:89288591:+@chr16:89289565:89289691:+@chr16:89291127:89291210:+
ENSG00000170100	ZNF778	chr16:89289565:89289691:+@chr16:89291127:89291210:+@chr16:89291963:89292039:+
ENSG00000170100	ZNF778	chr16:89287405:89287560:+@chr16:89288500:89288591:+@chr16:89289565:89289691:+
ENSG00000152443,ENSG00000269026	ZNF776,AC003006.7	chr19:58258164:58258459:+@chr19:58260525:58260699:+@chr19:58262153:58262279:+
ENSG00000196456	ZNF775	chr7:150101952:150102405:+@chr7:150104672:150105576:+@chr7:150107248:150109558:+
ENSG00000196456	ZNF775	chr7:150102840:150102992:+@chr7:150104672:150105576:+@chr7:150107248:150109558:+
ENSG00000196456	ZNF775	chr7:150101952:150102405:+@chr7:150104672:150104951:+@chr7:150107248:150109558:+
ENSG00000196456	ZNF775	chr7:150102840:150102992:+@chr7:150104672:150104951:+@chr7:150107248:150109558:+
ENSG00000196391	ZNF774	chr15:90897874:90897996:+@chr15:90898583:90898648:+@chr15:90902083:90902189:+
ENSG00000196391	ZNF774	chr15:90895477:90895643:+@chr15:90897874:90897996:+@chr15:90902083:90902189:+
ENSG00000197128	ZNF772	chr19:57988645:57988938:-@chr19:57987748:57988040:-@chr19:57987028:57987154:-
ENSG00000197128	ZNF772	chr19:57988645:57988938:-@chr19:57988002:57988040:-@chr19:57980954:57985789:-
ENSG00000197128	ZNF772	chr19:57988645:57988938:-@chr19:57988002:57988040:-@chr19:57987028:57987154:-
ENSG00000197128	ZNF772	chr19:57988645:57988938:-@chr19:57987028:57987154:-@chr19:57980954:57985789:-
ENSG00000133624	ZNF767	chr7:149318351:149318650:-@chr7:149318137:149318263:-@chr7:149317015:149317128:-
ENSG00000133624	ZNF767	chr7:149317015:149317128:-@chr7:149260611:149260694:-@chr7:149255699:149255930:-
ENSG00000133624	ZNF767	chr7:149317015:149317128:-@chr7:149255699:149255930:-@chr7:149249892:149250107:-
ENSG00000196214	ZNF766	chr19:52786538:52786666:+@chr19:52791295:52791368:+@chr19:52793319:52795976:+
ENSG00000196417	ZNF765	chr19:53898397:53898446:+@chr19:53901196:53901283:+@chr19:53905318:53905444:+
ENSG00000196417	ZNF765	chr19:53905318:53905444:+@chr19:53907727:53907873:+@chr19:53910951:53915262:+
ENSG00000196417	ZNF765	chr19:53901196:53901283:+@chr19:53905318:53905444:+@chr19:53910951:53915262:+
ENSG00000196417	ZNF765	chr19:53901196:53901283:+@chr19:53905318:53905444:+@chr19:53926315:53926755:+
ENSG00000267179,ENSG00000197054,ENSG00000196757	ZNF763,ZNF700	chr19:12035900:12036088:+@chr19:12037389:12037507:+@chr19:12057996:12058122:+
ENSG00000160336	ZNF761	chr19:53935227:53935281:+@chr19:53943081:53943186:+@chr19:53945049:53947925:+
ENSG00000065029	ZNF76	chr6:35253905:35253985:+@chr6:35254099:35254176:+@chr6:35255423:35255622:+
ENSG00000065029	ZNF76	chr6:35260658:35260821:+@chr6:35261528:35261692:+@chr6:35262233:35262346:+
ENSG00000162086	ZNF75A	chr16:3363049:3363175:+@chr16:3366912:3367022:+@chr16:3367190:3368576:+
ENSG00000162086	ZNF75A	chr16:3355433:3355643:+@chr16:3358313:3358836:+@chr16:3361753:3361948:+
ENSG00000162086	ZNF75A	chr16:3362677:3362768:+@chr16:3363049:3363175:+@chr16:3366912:3367022:+
ENSG00000185252	ZNF74	chr22:20749623:20749708:+@chr22:20753885:20753980:+@chr22:20754922:20755048:+
ENSG00000185252	ZNF74	chr22:20748479:20748624:+@chr22:20748853:20748952:+@chr22:20749623:20749708:+
ENSG00000185252	ZNF74	chr22:20748405:20748952:+@chr22:20749623:20749708:+@chr22:20754922:20755048:+
ENSG00000269067	ZNF728	chr19:23170110:23170169:-@chr19:23168457:23168633:-@chr19:23159098:23159912:-
ENSG00000197302	ZNF720	chr16:31765087:31765221:+@chr16:31770678:31770787:+@chr16:31803951:31804051:+
ENSG00000197302	ZNF720	chr16:31734579:31734674:+@chr16:31744832:31744948:+@chr16:31765087:31765221:+
ENSG00000227124	ZNF717	chr3:75834535:75834670:-@chr3:75832457:75832515:-@chr3:75790761:75790887:-
ENSG00000227124	ZNF717	chr3:75834535:75834670:-@chr3:75834066:75834153:-@chr3:75790761:75790887:-
ENSG00000160352	ZNF714	chr19:21281618:21281716:+@chr19:21292429:21292450:+@chr19:21299613:21307883:+
ENSG00000178665,ENSG00000249773	ZNF713,MRPS17	chr7:55980328:55980416:+@chr7:55985735:55985990:+@chr7:55990855:55990981:+
ENSG00000147180	ZNF711	chrX:84520124:84520261:+@chrX:84522284:84522421:+@chrX:84523300:84523347:+
ENSG00000147180	ZNF711	chrX:84522284:84522421:+@chrX:84523300:84523347:+@chrX:84525009:84525152:+
ENSG00000147180	ZNF711	chrX:84500909:84501028:+@chrX:84501936:84502189:+@chrX:84502553:84502657:+
ENSG00000182141	ZNF708	chr19:21512012:21512212:-@chr19:21510762:21510943:-@chr19:21492048:21492143:-
ENSG00000182141	ZNF708	chr19:21512012:21512212:-@chr19:21493303:21493429:-@chr19:21492048:21492143:-
ENSG00000181135	ZNF707	chr8:144766622:144766712:+@chr8:144769087:144769184:+@chr8:144770164:144770237:+
ENSG00000181135	ZNF707	chr8:144766622:144766712:+@chr8:144769551:144769648:+@chr8:144772227:144772293:+
ENSG00000181135	ZNF707	chr8:144766622:144766712:+@chr8:144766926:144767237:+@chr8:144772227:144772293:+
ENSG00000181135	ZNF707	chr8:144773770:144773883:+@chr8:144774415:144774500:+@chr8:144775841:144777555:+
ENSG00000181135	ZNF707	chr8:144766794:144766925:+@chr8:144771374:144771471:+@chr8:144772227:144772293:+
ENSG00000181135	ZNF707	chr8:144766622:144766712:+@chr8:144771374:144771471:+@chr8:144772227:144772293:+
ENSG00000181135	ZNF707	chr8:144766622:144766712:+@chr8:144772227:144772293:+@chr8:144773243:144773369:+
ENSG00000181135	ZNF707	chr8:144766622:144766712:+@chr8:144766794:144766925:+@chr8:144771374:144771471:+
ENSG00000181135	ZNF707	chr8:144766622:144766712:+@chr8:144766794:144766925:+@chr8:144772227:144772293:+
ENSG00000181135	ZNF707	chr8:144773770:144773883:+@chr8:144774171:144774277:+@chr8:144774415:144774500:+
ENSG00000181135	ZNF707	chr8:144766622:144766712:+@chr8:144770164:144770237:+@chr8:144771374:144771471:+
ENSG00000120963	ZNF706	chr8:102212218:102212325:-@chr8:102211423:102211467:-@chr8:102190106:102190615:-
ENSG00000120963	ZNF706	chr8:102217663:102217960:-@chr8:102214561:102214675:-@chr8:102213835:102213971:-
ENSG00000120963	ZNF706	chr8:102216878:102216921:-@chr8:102214561:102214675:-@chr8:102213835:102213971:-
ENSG00000120963	ZNF706	chr8:102213835:102213971:-@chr8:102212996:102213232:-@chr8:102212218:102212325:-
ENSG00000120963	ZNF706	chr8:102218082:102218292:-@chr8:102214561:102214680:-@chr8:102213835:102213971:-
ENSG00000120963	ZNF706	chr8:102213835:102213971:-@chr8:102212218:102212325:-@chr8:102209266:102211467:-
ENSG00000120963	ZNF706	chr8:102217663:102217960:-@chr8:102216878:102216921:-@chr8:102214561:102214675:-
ENSG00000120963	ZNF706	chr8:102217663:102217960:-@chr8:102216878:102216921:-@chr8:102213835:102213971:-
ENSG00000120963	ZNF706	chr8:102213835:102213971:-@chr8:102212218:102212351:-@chr8:102209266:102211467:-
ENSG00000167562	ZNF701	chr19:53073526:53073583:+@chr19:53075490:53075621:+@chr19:53077330:53077415:+
ENSG00000147789	ZNF7	chr8:146052903:146052994:+@chr8:146054114:146054335:+@chr8:146054428:146054475:+
ENSG00000147789	ZNF7	chr8:146054428:146054475:+@chr8:146054812:146054989:+@chr8:146062776:146062892:+
ENSG00000147789	ZNF7	chr8:146054428:146054475:+@chr8:146054863:146054989:+@chr8:146062776:146062892:+
ENSG00000147789	ZNF7	chr8:146052903:146052994:+@chr8:146053393:146053438:+@chr8:146054428:146054475:+
ENSG00000147789	ZNF7	chr8:146054863:146054989:+@chr8:146056316:146056414:+@chr8:146062776:146062892:+
ENSG00000147789	ZNF7	chr8:146054428:146054475:+@chr8:146054830:146054989:+@chr8:146062776:146062892:+
ENSG00000147789	ZNF7	chr8:146052903:146052994:+@chr8:146054428:146054989:+@chr8:146062779:146062892:+
ENSG00000147789	ZNF7	chr8:146054428:146054475:+@chr8:146054908:146054989:+@chr8:146062776:146062892:+
ENSG00000185730	ZNF696	chr8:144373559:144373937:+@chr8:144374313:144374454:+@chr8:144375142:144375235:+
ENSG00000197472,ENSG00000135747	ZNF695,ZNF670	chr1:247151423:247151557:-@chr1:247143142:247143306:-@chr1:247130997:247131094:-
ENSG00000197472,ENSG00000135747	ZNF695,ZNF670	chr1:247162650:247162742:-@chr1:247151423:247151557:-@chr1:247130997:247131094:-
ENSG00000197472,ENSG00000135747	ZNF695,ZNF670	chr1:247162650:247162742:-@chr1:247151427:247151557:-@chr1:247130997:247131094:-
ENSG00000197472,ENSG00000135747	ZNF695,ZNF670	chr1:247162650:247162742:-@chr1:247159323:247159483:-@chr1:247151423:247151557:-
ENSG00000171163	ZNF692	chr1:249152330:249152520:-@chr1:249152027:249152216:-@chr1:249151433:249151635:-
ENSG00000171163	ZNF692	chr1:249149924:249150145:-@chr1:249149757:249149834:-@chr1:249149579:249149657:-
ENSG00000171163	ZNF692	chr1:249150713:249150761:-@chr1:249150572:249150621:-@chr1:249149924:249150145:-
ENSG00000171163	ZNF692	chr1:249150713:249150761:-@chr1:249150487:249150621:-@chr1:249149924:249150145:-
ENSG00000171163	ZNF692	chr1:249148136:249148250:-@chr1:249145062:249145146:-@chr1:249144881:249144980:-
ENSG00000171163	ZNF692	chr1:249152330:249152520:-@chr1:249152027:249152058:-@chr1:249151433:249151635:-
ENSG00000171163	ZNF692	chr1:249152330:249152520:-@chr1:249152027:249152233:-@chr1:249151433:249151635:-
ENSG00000164011	ZNF691	chr1:43314962:43315084:+@chr1:43315236:43315413:+@chr1:43316621:43318146:+
ENSG00000164011	ZNF691	chr1:43315236:43315413:+@chr1:43316330:43316414:+@chr1:43316621:43318146:+
ENSG00000156853	ZNF689	chr16:30635061:30635333:-@chr16:30621909:30622103:-@chr16:30620846:30620959:-
ENSG00000229809	ZNF688	chr16:30582755:30583728:-@chr16:30582331:30582444:-@chr16:30582055:30582261:-
ENSG00000229809	ZNF688	chr16:30582546:30582848:-@chr16:30582331:30582444:-@chr16:30581019:30581757:-
ENSG00000143373	ZNF687	chr1:151254791:151254871:+@chr1:151257682:151258550:+@chr1:151258751:151260882:+
ENSG00000117010	ZNF684	chr1:40997233:40997459:+@chr1:40998815:40998853:+@chr1:41006258:41006384:+
ENSG00000176083	ZNF683	chr1:26694949:26695073:-@chr1:26694084:26694288:-@chr1:26691023:26691717:-
ENSG00000176083	ZNF683	chr1:26689517:26689645:-@chr1:26688607:26688666:-@chr1:26688125:26688513:-
ENSG00000176083	ZNF683	chr1:26694949:26695073:-@chr1:26694084:26694138:-@chr1:26691023:26691717:-
ENSG00000196172	ZNF681	chr19:23941549:23941693:-@chr19:23938227:23938353:-@chr19:23937625:23937720:-
ENSG00000251192	ZNF674	chrX:46387785:46387880:-@chrX:46384778:46384873:-@chrX:46382428:46382560:-
ENSG00000147121	ZNF673	chrX:46322633:46322743:+@chrX:46330577:46330620:+@chrX:46332185:46334074:+
