ID	Symbol	Entrez_Gene_ID	Geneid	hgnc_symbol	entrezgene_id	biotype
ILMN_2371379	ACLY	47	ENSG00000131473	ACLY	47	protein_coding
ILMN_1749014	ACLY	47	ENSG00000131473	ACLY	47	protein_coding
ILMN_1750800	ACO1	48	ENSG00000122729	ACO1	48	protein_coding
ILMN_1705637	ACR	49	ENSG00000100312	ACR	49	protein_coding
ILMN_1654861	ACO2	50	ENSG00000100412	ACO2	50	protein_coding
ILMN_1750158	ACOX1	51	ENSG00000161533	ACOX1	51	protein_coding
ILMN_1668839	ACOX1	51	ENSG00000161533	ACOX1	51	protein_coding
ILMN_1765767	ACOX1	51	ENSG00000161533	ACOX1	51	protein_coding
ILMN_1669633	ACP1	52	ENSG00000143727	ACP1	52	protein_coding
ILMN_2344956	ACP1	52	ENSG00000143727	ACP1	52	protein_coding
ILMN_2104830	ACP2	53	ENSG00000134575	ACP2	53	protein_coding
ILMN_2078599	ACP5	54	ENSG00000102575	ACP5	54	protein_coding
ILMN_1758323	ACPP	55	ENSG00000014257	ACP3	55	protein_coding
ILMN_2320277	ACRV1	56	ENSG00000134940	ACRV1	56	protein_coding
ILMN_1654468	ACRV1	56	ENSG00000134940	ACRV1	56	protein_coding
ILMN_2125869	ACTA1	58	ENSG00000143632	ACTA1	58	protein_coding
ILMN_1671703	ACTA2	59	ENSG00000107796	ACTA2	59	protein_coding
ILMN_2152131	ACTB	60	ENSG00000075624	ACTB	60	protein_coding
ILMN_2038777	ACTB	60	ENSG00000075624	ACTB	60	protein_coding
ILMN_1658660	ACTC1	70	ENSG00000159251	ACTC1	70	protein_coding
ILMN_2053178	ACTG1	71	ENSG00000184009	ACTG1	71	protein_coding
ILMN_1795325	ACTG2	72	ENSG00000163017	ACTG2	72	protein_coding
ILMN_1725534	ACTN4	81	ENSG00000130402	ACTN4	81	protein_coding
ILMN_1749297	ACTL6A	86	ENSG00000136518	ACTL6A	86	protein_coding
ILMN_2328280	ACTL6A	86	ENSG00000136518	ACTL6A	86	protein_coding
ILMN_2232177	ACTN1	87	ENSG00000072110	ACTN1	87	protein_coding
ILMN_1654422	ACTN2	88	ENSG00000077522	ACTN2	88	protein_coding
ILMN_1665691	ACTN3	89	ENSG00000248746	ACTN3	89	protein_coding
ILMN_1760490	ACVR1	90	ENSG00000115170	ACVR1	90	protein_coding
ILMN_1766723	ACVR1B	91	ENSG00000135503	ACVR1B	91	protein_coding
ILMN_1763916	ACVR1B	91	ENSG00000135503	ACVR1B	91	protein_coding
ILMN_2243308	ACVR1B	91	ENSG00000135503	ACVR1B	91	protein_coding
ILMN_1786544	ACVR1B	91	ENSG00000135503	ACVR1B	91	protein_coding
ILMN_2152711	ACVR2A	92	ENSG00000121989	ACVR2A	92	protein_coding
ILMN_1670912	ACVR2A	92	ENSG00000121989	ACVR2A	92	protein_coding
ILMN_1668983	ACVR2B	93	ENSG00000114739	ACVR2B	93	protein_coding
ILMN_3250257	ACVRL1	94	ENSG00000139567	ACVRL1	94	protein_coding
ILMN_1807493	ACVRL1	94	ENSG00000139567	ACVRL1	94	protein_coding
ILMN_1683883	ACY1	95	ENSG00000243989	ACY1	95	protein_coding
ILMN_1686432	ACYP1	97	ENSG00000119640	ACYP1	97	protein_coding
ILMN_1694233	ACYP1	97	ENSG00000119640	ACYP1	97	protein_coding
ILMN_2319825	ACYP1	97	ENSG00000119640	ACYP1	97	protein_coding
ILMN_1697550	ACYP2	98	ENSG00000170634	ACYP2	98	protein_coding
ILMN_2158705	ACYP2	98	ENSG00000170634	ACYP2	98	protein_coding
ILMN_1803686	ADA	100	ENSG00000196839	ADA	100	protein_coding
ILMN_1708348	ADAM8	101	ENSG00000151651	ADAM8	101	protein_coding
ILMN_2148360	ADAM10	102	ENSG00000137845	ADAM10	102	protein_coding
ILMN_1718946	ADAM10	102	ENSG00000137845	ADAM10	102	protein_coding
ILMN_2320964	ADAR	103	ENSG00000160710	ADAR	103	protein_coding
ILMN_1776777	ADAR	103	ENSG00000160710	ADAR	103	protein_coding
ILMN_1706963	ADAR	103	ENSG00000160710	ADAR	103	protein_coding
ILMN_1657442	ADARB1	104	ENSG00000197381	ADARB1	104	protein_coding
ILMN_1679797	ADARB1	104	ENSG00000197381	ADARB1	104	protein_coding
ILMN_1697628	ADARB1	104	ENSG00000197381	ADARB1	104	protein_coding
ILMN_2319326	ADARB1	104	ENSG00000197381	ADARB1	104	protein_coding
ILMN_1749493	ADARB2	105	ENSG00000185736	ADARB2	105	protein_coding
ILMN_2120555	ADCY1	107	ENSG00000164742	ADCY1	107	protein_coding
ILMN_1742073	ADCY1	107	ENSG00000164742	ADCY1	107	protein_coding
ILMN_1810691	ADCY2	108	ENSG00000078295	ADCY2	108	protein_coding
ILMN_1676893	ADCY3	109	ENSG00000138031	ADCY3	109	protein_coding
ILMN_1708588	ADCY5	111	ENSG00000173175	ADCY5	111	protein_coding
ILMN_2311674	ADCY6	112	ENSG00000174233	ADCY6	112	protein_coding
ILMN_1685156	ADCY6	112	ENSG00000174233	ADCY6	112	protein_coding
ILMN_1655935	ADCY7	113	ENSG00000121281	ADCY7	113	protein_coding
ILMN_1754440	ADCY8	114	ENSG00000155897	ADCY8	114	protein_coding
ILMN_1654287	ADCY9	115	ENSG00000162104	ADCY9	115	protein_coding
ILMN_1763344	ADCYAP1	116	ENSG00000141433	ADCYAP1	116	protein_coding
ILMN_1711736	ADCYAP1R1	117	ENSG00000078549	ADCYAP1R1	117	protein_coding
ILMN_2356786	ADD1	118	ENSG00000087274	ADD1	118	protein_coding
ILMN_1759252	ADD1	118	ENSG00000087274	ADD1	118	protein_coding
ILMN_2336146	ADD2	119	ENSG00000075340	ADD2	119	protein_coding
ILMN_2286339	ADD2	119	ENSG00000075340	ADD2	119	protein_coding
ILMN_1678791	ADD2	119	ENSG00000075340	ADD2	119	protein_coding
ILMN_1694133	ADD2	119	ENSG00000075340	ADD2	119	protein_coding
ILMN_2311278	ADD3	120	ENSG00000148700	ADD3	120	protein_coding
ILMN_1814526	ADD3	120	ENSG00000148700	ADD3	120	protein_coding
ILMN_1787378	ADD3	120	ENSG00000148700	ADD3	120	protein_coding
ILMN_1678501	ADD3	120	ENSG00000148700	ADD3	120	protein_coding
ILMN_1801077	PLIN2	123	ENSG00000147872	PLIN2	123	protein_coding
ILMN_2138765	PLIN2	123	ENSG00000147872	PLIN2	123	protein_coding
ILMN_1764309	ADH1A	124	ENSG00000187758	ADH1A	124	protein_coding
ILMN_1811598	ADH1B	125	ENSG00000196616	ADH1B	125	protein_coding
ILMN_1740717	ADH1C	126	ENSG00000248144	ADH1C	126	protein_coding
ILMN_2136010	ADH4	127	ENSG00000198099	ADH4	127	protein_coding
ILMN_1797912	ADH4	127	ENSG00000198099	ADH4	127	protein_coding
ILMN_1738604	ADH5	128	ENSG00000197894	ADH5	128	protein_coding
ILMN_1691175	ADH6	130	ENSG00000172955	ADH6	130	protein_coding
ILMN_2223359	ADH7	131	ENSG00000196344	ADH7	131	protein_coding
ILMN_2358626	ADK	132	ENSG00000156110	ADK	132	protein_coding
ILMN_2358628	ADK	132	ENSG00000156110	ADK	132	protein_coding
ILMN_1768062	ADK	132	ENSG00000156110	ADK	132	protein_coding
ILMN_1801020	ADK	132	ENSG00000156110	ADK	132	protein_coding
ILMN_1708934	ADM	133	ENSG00000148926	ADM	133	protein_coding
ILMN_1747227	ADORA1	134	ENSG00000163485	ADORA1	134	protein_coding
ILMN_2373444	ADORA1	134	ENSG00000163485	ADORA1	134	protein_coding
ILMN_2275396	ADORA1	134	ENSG00000163485	ADORA1	134	protein_coding
ILMN_1807372	ADORA2A	135	ENSG00000128271	ADORA2A	135	protein_coding
ILMN_1703946	ADORA2B	136	ENSG00000170425	ADORA2B	136	protein_coding
ILMN_1730710	ADORA3	140	ENSG00000282608	ADORA3	140	protein_coding
ILMN_1733259	ADORA3	140	ENSG00000282608	ADORA3	140	protein_coding
ILMN_1794512	ADPRH	141	ENSG00000144843	ADPRH	141	protein_coding
ILMN_1686871	PARP1	142	ENSG00000143799	PARP1	142	protein_coding
ILMN_1776464	PARP4	143	ENSG00000102699	PARP4	143	protein_coding
ILMN_1716421	ADRA1D	146	ENSG00000171873	ADRA1D	146	protein_coding
ILMN_1679754	ADRA1B	147	ENSG00000170214	ADRA1B	147	protein_coding
ILMN_1653821	ADRA1A	148	ENSG00000120907	ADRA1A	148	protein_coding
ILMN_1669227	ADRA1A	148	ENSG00000120907	ADRA1A	148	protein_coding
ILMN_1709167	ADRA1A	148	ENSG00000120907	ADRA1A	148	protein_coding
ILMN_1780551	ADRA1A	148	ENSG00000120907	ADRA1A	148	protein_coding
ILMN_1813598	ADRA1A	148	ENSG00000120907	ADRA1A	148	protein_coding
ILMN_1659371	ADRA2A	150	ENSG00000150594	ADRA2A	150	protein_coding
ILMN_1677868	ADRA2B	151	ENSG00000274286	ADRA2B	151	protein_coding
ILMN_1733963	ADRA2C	152	ENSG00000184160	ADRA2C	152	protein_coding
ILMN_1804255	ADRB1	153	ENSG00000043591	ADRB1	153	protein_coding
ILMN_1695590	ADRB2	154	ENSG00000169252	ADRB2	154	protein_coding
ILMN_1694007	ADRB3	155	ENSG00000188778	ADRB3	155	protein_coding
ILMN_3307926	ADRBK1	156	ENSG00000173020	GRK2	156	protein_coding
ILMN_1673330	ADRBK1	156	ENSG00000173020	GRK2	156	protein_coding
ILMN_1668900	ADRBK2	157	ENSG00000100077	GRK3	157	protein_coding
ILMN_1790757	ADSL	158	ENSG00000239900	ADSL	158	protein_coding
ILMN_2092664	ADSS	159	ENSG00000035687	ADSS2	159	protein_coding
ILMN_1778796	ADSS	159	ENSG00000035687	ADSS2	159	protein_coding
ILMN_1815306	AP2A1	160	ENSG00000196961	AP2A1	160	protein_coding
ILMN_1673108	AP2A1	160	ENSG00000196961	AP2A1	160	protein_coding
ILMN_2359211	AP2A1	160	ENSG00000196961	AP2A1	160	protein_coding
ILMN_1803779	AP2A2	161	ENSG00000183020	AP2A2	161	protein_coding
ILMN_1781983	AP1B1	162	ENSG00000100280	AP1B1	162	protein_coding
ILMN_2387505	AP1B1	162	ENSG00000100280	AP1B1	162	protein_coding
ILMN_1681998	AP2B1	163	ENSG00000006125	AP2B1	163	protein_coding
ILMN_2331735	AP2B1	163	ENSG00000006125	AP2B1	163	protein_coding
ILMN_2399627	AP1G1	164	ENSG00000166747	AP1G1	164	protein_coding
ILMN_2399622	AP1G1	164	ENSG00000166747	AP1G1	164	protein_coding
ILMN_1736178	AEBP1	165	ENSG00000106624	AEBP1	165	protein_coding
ILMN_1712944	AES	166	ENSG00000104964	TLE5	166	protein_coding
ILMN_2333107	AES	166	ENSG00000104964	TLE5	166	protein_coding
ILMN_1707958	AES	166	ENSG00000104964	TLE5	166	protein_coding
ILMN_1732630	CRISP1	167	ENSG00000124812	CRISP1	167	protein_coding
ILMN_1758212	CRISP1	167	ENSG00000124812	CRISP1	167	protein_coding
ILMN_2295698	AFG3L1	172	ENSG00000223959	AFG3L1P	172	transcribed_unitary_pseudogene
ILMN_1699172	AFG3L1	172	ENSG00000223959	AFG3L1P	172	transcribed_unitary_pseudogene
ILMN_2409898	AFG3L1	172	ENSG00000223959	AFG3L1P	172	transcribed_unitary_pseudogene
ILMN_1705447	AFG3L1	172	ENSG00000223959	AFG3L1P	172	transcribed_unitary_pseudogene
ILMN_1777797	AFM	173	ENSG00000079557	AFM	173	protein_coding
ILMN_1782204	AFP	174	ENSG00000081051	AFP	174	protein_coding
ILMN_1802631	AGA	175	ENSG00000038002	AGA	175	protein_coding
ILMN_1693148	ACAN	176	ENSG00000157766	ACAN	176	protein_coding
ILMN_1777182	AGC1	176	ENSG00000157766	ACAN	176	protein_coding
ILMN_1729777	AGER	177	ENSG00000204305	AGER	177	protein_coding
ILMN_2257015	AGER	177	ENSG00000204305	AGER	177	protein_coding
ILMN_1690829	AGER	177	ENSG00000204305	AGER	177	protein_coding
ILMN_2371825	AGL	178	ENSG00000162688	AGL	178	protein_coding
ILMN_1664006	AGL	178	ENSG00000162688	AGL	178	protein_coding
ILMN_1717468	AGL	178	ENSG00000162688	AGL	178	protein_coding
ILMN_2277492	AGL	178	ENSG00000162688	AGL	178	protein_coding
ILMN_1680343	AGL	178	ENSG00000162688	AGL	178	protein_coding
ILMN_2274377	AGL	178	ENSG00000162688	AGL	178	protein_coding
ILMN_1714253	AGRP	181	ENSG00000159723	AGRP	181	protein_coding
ILMN_1770336	AGRP	181	ENSG00000159723	AGRP	181	protein_coding
ILMN_1691376	JAG1	182	ENSG00000101384	JAG1	182	protein_coding
ILMN_1813530	AGT	183	ENSG00000135744	AGT	183	protein_coding
ILMN_1814327	AGTR1	185	ENSG00000144891	AGTR1	185	protein_coding
ILMN_2341343	AGTR1	185	ENSG00000144891	AGTR1	185	protein_coding
ILMN_1775634	AGTR2	186	ENSG00000180772	AGTR2	186	protein_coding
ILMN_1700183	APLNR	187	ENSG00000134817	APLNR	187	protein_coding
ILMN_1709796	AGXT	189	ENSG00000172482	AGXT	189	protein_coding
ILMN_1800160	NR0B1	190	ENSG00000169297	NR0B1	190	protein_coding
ILMN_1657862	AHCY	191	ENSG00000101444	AHCY	191	protein_coding
ILMN_2162799	AHR	196	ENSG00000106546	AHR	196	protein_coding
ILMN_1730625	AHSG	197	ENSG00000145192	AHSG	197	protein_coding
ILMN_1771827	AIF1	199	ENSG00000204472	AIF1	199	protein_coding
ILMN_1703538	AIF1	199	ENSG00000204472	AIF1	199	protein_coding
ILMN_1792473	AIF1	199	ENSG00000204472	AIF1	199	protein_coding
ILMN_1688625	AIM1	202	ENSG00000112297	CRYBG1	202	protein_coding
ILMN_1779965	AK1	203	ENSG00000106992	AK1	203	protein_coding
ILMN_1716053	AK2	204	ENSG00000004455	AK2	204	protein_coding
ILMN_1655645	AK2	204	ENSG00000004455	AK2	204	protein_coding
ILMN_1670542	AK2	204	ENSG00000004455	AK2	204	protein_coding
ILMN_2338038	AK3L1	205	ENSG00000162433	AK4	205	protein_coding
ILMN_1686522	AK3L1	205	ENSG00000162433	AK4	205	protein_coding
ILMN_2388507	AKT1	207	ENSG00000142208	AKT1	207	protein_coding
ILMN_1748661	AKT1	207	ENSG00000142208	AKT1	207	protein_coding
ILMN_2410909	AKT1	207	ENSG00000142208	AKT1	207	protein_coding
ILMN_1743347	AKT2	208	ENSG00000105221	AKT2	208	protein_coding
ILMN_2404657	ALAD	210	ENSG00000148218	ALAD	210	protein_coding
ILMN_1679898	ALAD	210	ENSG00000148218	ALAD	210	protein_coding
ILMN_1747577	ALAD	210	ENSG00000148218	ALAD	210	protein_coding
ILMN_1728309	ALAS1	211	ENSG00000023330	ALAS1	211	protein_coding
ILMN_1700047	ALAS1	211	ENSG00000023330	ALAS1	211	protein_coding
ILMN_2385647	ALAS1	211	ENSG00000023330	ALAS1	211	protein_coding
ILMN_2271875	ALAS2	212	ENSG00000158578	ALAS2	212	protein_coding
ILMN_2367126	ALAS2	212	ENSG00000158578	ALAS2	212	protein_coding
ILMN_1708323	ALAS2	212	ENSG00000158578	ALAS2	212	protein_coding
ILMN_1682763	ALB	213	ENSG00000163631	ALB	213	protein_coding
ILMN_1782939	ALB	213	ENSG00000163631	ALB	213	protein_coding
ILMN_1670870	ALCAM	214	ENSG00000170017	ALCAM	214	protein_coding
ILMN_1772189	ABCD1	215	ENSG00000101986	ABCD1	215	protein_coding
ILMN_2096372	ALDH1A1	216	ENSG00000165092	ALDH1A1	216	protein_coding
ILMN_1709348	ALDH1A1	216	ENSG00000165092	ALDH1A1	216	protein_coding
ILMN_1793859	ALDH2	217	ENSG00000111275	ALDH2	217	protein_coding
ILMN_1702503	ALDH3A1	218	ENSG00000108602	ALDH3A1	218	protein_coding
ILMN_2150894	ALDH1B1	219	ENSG00000137124	ALDH1B1	219	protein_coding
ILMN_1675398	ALDH1B1	219	ENSG00000137124	ALDH1B1	219	protein_coding
ILMN_2139970	ALDH1A3	220	ENSG00000184254	ALDH1A3	220	protein_coding
ILMN_1807439	ALDH1A3	220	ENSG00000184254	ALDH1A3	220	protein_coding
ILMN_1727965	ALDH3B1	221	ENSG00000006534	ALDH3B1	221	protein_coding
ILMN_1728662	ALDH3B1	221	ENSG00000006534	ALDH3B1	221	protein_coding
ILMN_2363880	ALDH3B2	222	ENSG00000132746	ALDH3B2	222	protein_coding
ILMN_1763666	ALDH3B2	222	ENSG00000132746	ALDH3B2	222	protein_coding
ILMN_1761514	ALDH3B2	222	ENSG00000132746	ALDH3B2	222	protein_coding
ILMN_1761804	ALDH9A1	223	ENSG00000143149	ALDH9A1	223	protein_coding
ILMN_2401641	ALDH3A2	224	ENSG00000072210	ALDH3A2	224	protein_coding
ILMN_1667564	ALDH3A2	224	ENSG00000072210	ALDH3A2	224	protein_coding
ILMN_1794825	ALDH3A2	224	ENSG00000072210	ALDH3A2	224	protein_coding
ILMN_2198897	ABCD2	225	ENSG00000173208	ABCD2	225	protein_coding
ILMN_1652959	ABCD2	225	ENSG00000173208	ABCD2	225	protein_coding
ILMN_1681374	ALDOA	226	ENSG00000149925	ALDOA	226	protein_coding
ILMN_1736700	ALDOA	226	ENSG00000149925	ALDOA	226	protein_coding
ILMN_2251253	ALDOA	226	ENSG00000149925	ALDOA	226	protein_coding
ILMN_1741148	ALDOA	226	ENSG00000149925	ALDOA	226	protein_coding
ILMN_1747716	ALDOB	229	ENSG00000136872	ALDOB	229	protein_coding
ILMN_1755974	ALDOC	230	ENSG00000109107	ALDOC	230	protein_coding
ILMN_1701731	AKR1B1	231	ENSG00000085662	AKR1B1	231	protein_coding
ILMN_1753135	ALK	238	ENSG00000171094	ALK	238	protein_coding
ILMN_1713731	ALOX12	239	ENSG00000108839	ALOX12	239	protein_coding
ILMN_1680996	ALOX5	240	ENSG00000012779	ALOX5	240	protein_coding
ILMN_1792150	ALOX5	240	ENSG00000012779	ALOX5	240	protein_coding
ILMN_1797875	ALOX5AP	241	ENSG00000132965	ALOX5AP	241	protein_coding
ILMN_1692332	ALOX12B	242	ENSG00000179477	ALOX12B	242	protein_coding
ILMN_2137544	ALOX12P2	245	ENSG00000262943	ALOX12P2	245	transcribed_unprocessed_pseudogene
ILMN_2403534	ALOX15	246	ENSG00000161905	ALOX15	246	protein_coding
ILMN_1783443	ALOX15	246	ENSG00000161905	ALOX15	246	protein_coding
ILMN_1729320	ALOX15	246	ENSG00000161905	ALOX15	246	protein_coding
ILMN_1751975	ALOX15B	247	ENSG00000179593	ALOX15B	247	protein_coding
ILMN_2276904	ALOX15B	247	ENSG00000179593	ALOX15B	247	protein_coding
ILMN_2393149	ALOX15B	247	ENSG00000179593	ALOX15B	247	protein_coding
ILMN_1752669	ALPI	248	ENSG00000163295	ALPI	248	protein_coding
ILMN_1701603	ALPL	249	ENSG00000162551	ALPL	249	protein_coding
ILMN_1693789	ALPP	250	ENSG00000163283	ALPP	250	protein_coding
ILMN_1801851	ALPPL2	251	ENSG00000163286	ALPG	251	protein_coding
ILMN_2191902	ALX3	257	ENSG00000156150	ALX3	257	protein_coding
ILMN_1751092	AMBN	258	ENSG00000178522	AMBN	258	protein_coding
ILMN_1794384	AMBN	258	ENSG00000178522	AMBN	258	protein_coding
ILMN_1695446	AMBP	259	ENSG00000106927	AMBP	259	protein_coding
ILMN_1667994	AMD1	262	ENSG00000123505	AMD1	262	protein_coding
ILMN_1788462	AMD1	262	ENSG00000123505	AMD1	262	protein_coding
ILMN_2397406	AMELX	265	ENSG00000125363	AMELX	265	protein_coding
ILMN_1727258	AMELY	266	ENSG00000099721	AMELY	266	protein_coding
ILMN_1666258	AMFR	267	ENSG00000159461	AMFR	267	protein_coding
ILMN_1723116	AMFR	267	ENSG00000159461	AMFR	267	protein_coding
ILMN_1660995	AMH	268	ENSG00000104899	AMH	268	protein_coding
ILMN_1736412	AMHR2	269	ENSG00000135409	AMHR2	269	protein_coding
ILMN_1759312	AMPD1	270	ENSG00000116748	AMPD1	270	protein_coding
ILMN_1696830	AMPD2	271	ENSG00000116337	AMPD2	271	protein_coding
ILMN_1701589	AMPD2	271	ENSG00000116337	AMPD2	271	protein_coding
ILMN_1786899	AMPD2	271	ENSG00000116337	AMPD2	271	protein_coding
ILMN_1774447	AMPD3	272	ENSG00000133805	AMPD3	272	protein_coding
ILMN_1731223	AMPD3	272	ENSG00000133805	AMPD3	272	protein_coding
ILMN_1665307	AMPD3	272	ENSG00000133805	AMPD3	272	protein_coding
ILMN_1660854	AMPD3	272	ENSG00000133805	AMPD3	272	protein_coding
ILMN_1685834	AMPH	273	ENSG00000078053	AMPH	273	protein_coding
ILMN_1725297	AMPH	273	ENSG00000078053	AMPH	273	protein_coding
ILMN_2309245	BIN1	274	ENSG00000136717	BIN1	274	protein_coding
ILMN_1674160	BIN1	274	ENSG00000136717	BIN1	274	protein_coding
ILMN_1665331	AMT	275	ENSG00000145020	AMT	275	protein_coding
ILMN_1797796	AMY1A	276	ENSG00000237763	AMY1A	276	protein_coding
ILMN_2294762	AMY1A	276	ENSG00000237763	AMY1A	276	protein_coding
ILMN_2408219	AMY1A	276	ENSG00000237763	AMY1A	276	protein_coding
ILMN_2094262	AMY1B	277	ENSG00000174876	AMY1B	277	protein_coding
ILMN_2131123	AMY2A	279	ENSG00000243480	AMY2A	279	protein_coding
ILMN_2073157	AMY2B	280	ENSG00000240038	AMY2B	280	protein_coding
ILMN_1696974	ANG	283	ENSG00000214274	ANG	283	protein_coding
ILMN_1760727	ANG	283	ENSG00000214274	ANG	283	protein_coding
ILMN_2086890	ANGPT1	284	ENSG00000154188	ANGPT1	284	protein_coding
ILMN_1677723	ANGPT1	284	ENSG00000154188	ANGPT1	284	protein_coding
ILMN_1774207	ANGPT2	285	ENSG00000091879	ANGPT2	285	protein_coding
ILMN_3250067	ANGPT2	285	ENSG00000091879	ANGPT2	285	protein_coding
ILMN_3250879	ANGPT2	285	ENSG00000091879	ANGPT2	285	protein_coding
ILMN_2317186	ANK1	286	ENSG00000029534	ANK1	286	protein_coding
ILMN_1684694	ANK1	286	ENSG00000029534	ANK1	286	protein_coding
ILMN_1776363	ANK2	287	ENSG00000145362	ANK2	287	protein_coding
ILMN_1652729	ANK2	287	ENSG00000145362	ANK2	287	protein_coding
ILMN_1661875	ANK3	288	ENSG00000151150	ANK3	288	protein_coding
ILMN_1651943	ANK3	288	ENSG00000151150	ANK3	288	protein_coding
ILMN_2390609	ANK3	288	ENSG00000151150	ANK3	288	protein_coding
ILMN_1763837	ANPEP	290	ENSG00000166825	ANPEP	290	protein_coding
ILMN_1681670	SLC25A4	291	ENSG00000151729	SLC25A4	291	protein_coding
ILMN_2211780	SLC25A4	291	ENSG00000151729	SLC25A4	291	protein_coding
ILMN_1774062	SLC25A5	292	ENSG00000005022	SLC25A5	292	protein_coding
ILMN_3240838	SLC25A6	293	ENSG00000169100	SLC25A6	293	protein_coding
ILMN_2184184	ANXA1	301	ENSG00000135046	ANXA1	301	protein_coding
ILMN_2409167	ANXA2	302	ENSG00000182718	ANXA2	302	protein_coding
ILMN_1755937	ANXA2	302	ENSG00000182718	ANXA2	302	protein_coding
ILMN_1711899	ANXA2	302	ENSG00000182718	ANXA2	302	protein_coding
ILMN_1694548	ANXA3	306	ENSG00000138772	ANXA3	306	protein_coding
ILMN_1711408	ANXA4	307	ENSG00000196975	ANXA4	307	protein_coding
ILMN_1741003	ANXA5	308	ENSG00000164111	ANXA5	308	protein_coding
ILMN_1678612	ANXA6	309	ENSG00000197043	ANXA6	309	protein_coding
ILMN_2326591	ANXA6	309	ENSG00000197043	ANXA6	309	protein_coding
