probe_id	ensembl_gene_id	hgnc_symbol	entrezgene_id	biotype
211317_s_at	ENSG00000003402	CFLAR	8837	protein_coding
211316_x_at	ENSG00000003402	CFLAR	8837	protein_coding
214486_x_at	ENSG00000003402	CFLAR	8837	protein_coding
209508_x_at	ENSG00000003402	CFLAR	8837	protein_coding
224261_at	ENSG00000003402	CFLAR	8837	protein_coding
235427_at	ENSG00000003402	CFLAR	8837	protein_coding
214378_at	ENSG00000003436	TFPI	7035	protein_coding
210664_s_at	ENSG00000003436	TFPI	7035	protein_coding
210665_at	ENSG00000003436	TFPI	7035	protein_coding
209676_at	ENSG00000003436	TFPI	7035	protein_coding
213258_at	ENSG00000003436	TFPI	7035	protein_coding
223560_s_at	ENSG00000003509	NDUFAF7	55471	protein_coding
220943_s_at	ENSG00000003509	NDUFAF7	55471	protein_coding
230379_x_at	ENSG00000003509	NDUFAF7	55471	protein_coding
209936_at	ENSG00000003756	RBM5	10181	protein_coding
230742_at	ENSG00000003756	RBM5	10181	protein_coding
201394_s_at	ENSG00000003756	RBM5	10181	protein_coding
201395_at	ENSG00000003756	RBM5	10181	protein_coding
215793_at	ENSG00000003987	MTMR7	9108	protein_coding
243804_at	ENSG00000003987	MTMR7	9108	protein_coding
207626_s_at	ENSG00000003989	SLC7A2	6542	protein_coding
225516_at	ENSG00000003989	SLC7A2	6542	protein_coding
201526_at	ENSG00000004059	ARF5	381	protein_coding
213259_s_at	ENSG00000004139	SARM1	23098	protein_coding
213257_at	ENSG00000004139	SARM1	23098	protein_coding
234060_at	ENSG00000004139	SARM1	23098	protein_coding
222425_s_at	ENSG00000004142	POLDIP2	26073	protein_coding
217806_s_at	ENSG00000004142	POLDIP2	26073	protein_coding
212235_at	ENSG00000004399	PLXND1	23129	protein_coding
38671_at	ENSG00000004399	PLXND1	23129	protein_coding
208967_s_at	ENSG00000004455	AK2	204	protein_coding
212175_s_at	ENSG00000004455	AK2	204	protein_coding
205996_s_at	ENSG00000004455	AK2	204	protein_coding
212174_at	ENSG00000004455	AK2	204	protein_coding
212173_at	ENSG00000004455	AK2	204	protein_coding
205692_s_at	ENSG00000004468	CD38	952	protein_coding
200894_s_at	ENSG00000004478	FKBP4	2288	protein_coding
200895_s_at	ENSG00000004478	FKBP4	2288	protein_coding
1560305_x_at	ENSG00000004478	FKBP4	2288	protein_coding
1560303_at	ENSG00000004478	FKBP4	2288	protein_coding
212348_s_at	ENSG00000004487	KDM1A	23028	protein_coding
201967_at	ENSG00000004534	RBM6	10180	protein_coding
1552768_at	ENSG00000004660	CAMKK1	84254	protein_coding
223460_at	ENSG00000004660	CAMKK1	84254	protein_coding
210568_s_at	ENSG00000004700	RECQL	5965	protein_coding
205091_x_at	ENSG00000004700	RECQL	5965	protein_coding
212917_x_at	ENSG00000004700	RECQL	5965	protein_coding
212918_at	ENSG00000004700	RECQL	5965	protein_coding
1554216_at	ENSG00000004766	VPS50	55610	protein_coding
1554217_a_at	ENSG00000004766	VPS50	55610	protein_coding
207045_at	ENSG00000004766	VPS50	55610	protein_coding
226031_at	ENSG00000004766	VPS50	55610	protein_coding
214767_s_at	ENSG00000004776	HSPB6	126393	protein_coding
226304_at	ENSG00000004776	HSPB6	126393	protein_coding
233885_at	ENSG00000004777	ARHGAP33	115703	protein_coding
215256_x_at	ENSG00000004777	ARHGAP33	115703	protein_coding
213827_at	ENSG00000004777	ARHGAP33	115703	protein_coding
202077_at	ENSG00000004779	NDUFAB1	4706	protein_coding
205960_at	ENSG00000004799	PDK4	5166	protein_coding
1562321_at	ENSG00000004799	PDK4	5166	protein_coding
225207_at	ENSG00000004799	PDK4	5166	protein_coding
232233_at	ENSG00000004809	SLC22A16	85413	protein_coding
232232_s_at	ENSG00000004809	SLC22A16	85413	protein_coding
216663_s_at	ENSG00000004838	ZMYND10	51364	protein_coding
205714_s_at	ENSG00000004838	ZMYND10	51364	protein_coding
1569072_s_at	ENSG00000004846	ABCB5	340273	protein_coding
243167_at	ENSG00000004846	ABCB5	340273	protein_coding
240717_at	ENSG00000004846	ABCB5	340273	protein_coding
1555371_at	ENSG00000004846	ABCB5	340273	protein_coding
238878_at	ENSG00000004848	ARX	170302	protein_coding
229061_s_at	ENSG00000004864	SLC25A13	10165	protein_coding
203775_at	ENSG00000004864	SLC25A13	10165	protein_coding
207524_at	ENSG00000004866	ST7	7982	protein_coding
207871_s_at	ENSG00000004866	ST7	7982	protein_coding
217878_s_at	ENSG00000004897	CDC27	996	protein_coding
217881_s_at	ENSG00000004897	CDC27	996	protein_coding
217879_at	ENSG00000004897	CDC27	996	protein_coding
217880_at	ENSG00000004897	CDC27	996	protein_coding
1552713_a_at	ENSG00000004939	SLC4A1	6521	protein_coding
205592_at	ENSG00000004939	SLC4A1	6521	protein_coding
207887_s_at	ENSG00000004948	CALCR	799	protein_coding
207886_s_at	ENSG00000004948	CALCR	799	protein_coding
203746_s_at	ENSG00000004961	HCCS	3052	protein_coding
203745_at	ENSG00000004961	HCCS	3052	protein_coding
218759_at	ENSG00000004975	DVL2	1856	protein_coding
57532_at	ENSG00000004975	DVL2	1856	protein_coding
205847_at	ENSG00000005001	PRSS22	64063	protein_coding
208947_s_at	ENSG00000005007	UPF1	5976	protein_coding
211168_s_at	ENSG00000005007	UPF1	5976	protein_coding
216899_s_at	ENSG00000005020	SKAP2	8935	protein_coding
204361_s_at	ENSG00000005020	SKAP2	8935	protein_coding
204362_at	ENSG00000005020	SKAP2	8935	protein_coding
225639_at	ENSG00000005020	SKAP2	8935	protein_coding
200657_at	ENSG00000005022	SLC25A5	292	protein_coding
218802_at	ENSG00000005059	MCUB	55013	protein_coding
208493_at	ENSG00000005073	HOXA11	3207	protein_coding
213823_at	ENSG00000005073	HOXA11	3207	protein_coding
212782_x_at	ENSG00000005075	POLR2J	5439	protein_coding
222875_at	ENSG00000005100	DHX33	56919	protein_coding
226262_at	ENSG00000005100	DHX33	56919	protein_coding
205619_s_at	ENSG00000005102	MEOX1	4222	protein_coding
213894_at	ENSG00000005108	THSD7A	221981	protein_coding
214920_at	ENSG00000005108	THSD7A	221981	protein_coding
230008_at	ENSG00000005108	THSD7A	221981	protein_coding
229159_at	ENSG00000005108	THSD7A	221981	protein_coding
1555169_at	ENSG00000005156	LIG3	3980	protein_coding
207348_s_at	ENSG00000005156	LIG3	3980	protein_coding
204123_at	ENSG00000005156	LIG3	3980	protein_coding
1554597_at	ENSG00000005156	LIG3	3980	protein_coding
229861_at	ENSG00000005156	LIG3	3980	protein_coding
1557984_s_at	ENSG00000005175	RPAP3	79657	protein_coding
218842_at	ENSG00000005175	RPAP3	79657	protein_coding
205942_s_at	ENSG00000005187	ACSM3	6296	protein_coding
210377_at	ENSG00000005187	ACSM3	6296	protein_coding
215215_s_at	ENSG00000005189	REXO5	81691	protein_coding
208107_s_at	ENSG00000005189	REXO5	81691	protein_coding
230838_s_at	ENSG00000005194	CIAPIN1	57019	protein_coding
208968_s_at	ENSG00000005194	CIAPIN1	57019	protein_coding
208424_s_at	ENSG00000005194	CIAPIN1	57019	protein_coding
210693_at	ENSG00000005206	SPPL2B	56928	protein_coding
215833_s_at	ENSG00000005206	SPPL2B	56928	protein_coding
225248_at	ENSG00000005206	SPPL2B	56928	protein_coding
225249_at	ENSG00000005206	SPPL2B	56928	protein_coding
207765_s_at	ENSG00000005238	FAM214B	80256	protein_coding
211433_x_at	ENSG00000005238	FAM214B	80256	protein_coding
219561_at	ENSG00000005243	COPZ2	51226	protein_coding
235897_at	ENSG00000005243	COPZ2	51226	protein_coding
203680_at	ENSG00000005249	PRKAR2B	5577	protein_coding
214009_at	ENSG00000005302	MSL3	10943	protein_coding
236165_at	ENSG00000005302	MSL3	10943	protein_coding
207551_s_at	ENSG00000005302	MSL3	10943	protein_coding
211808_s_at	ENSG00000005339	CREBBP	1387	protein_coding
202160_at	ENSG00000005339	CREBBP	1387	protein_coding
228177_at	ENSG00000005339	CREBBP	1387	protein_coding
205839_s_at	ENSG00000005379	TSPOAP1	9256	protein_coding
203948_s_at	ENSG00000005381	MPO	4353	protein_coding
203949_at	ENSG00000005381	MPO	4353	protein_coding
206345_s_at	ENSG00000005421	PON1	5444	protein_coding
206344_at	ENSG00000005421	PON1	5444	protein_coding
210175_at	ENSG00000005436	GCFC2	6936	protein_coding
216305_s_at	ENSG00000005436	GCFC2	6936	protein_coding
225898_at	ENSG00000005448	WDR54	84058	protein_coding
231102_at	ENSG00000005469	CROT	54677	protein_coding
243283_at	ENSG00000005469	CROT	54677	protein_coding
204573_at	ENSG00000005469	CROT	54677	protein_coding
1570505_at	ENSG00000005471	ABCB4	5244	protein_coding
207819_s_at	ENSG00000005471	ABCB4	5244	protein_coding
223189_x_at	ENSG00000005483	KMT2E	55904	protein_coding
223190_s_at	ENSG00000005483	KMT2E	55904	protein_coding
226100_at	ENSG00000005483	KMT2E	55904	protein_coding
238552_at	ENSG00000005483	KMT2E	55904	protein_coding
232053_x_at	ENSG00000005486	RHBDD2	57414	protein_coding
222995_s_at	ENSG00000005486	RHBDD2	57414	protein_coding
226913_s_at	ENSG00000005513	SOX8	30812	protein_coding
210970_s_at	ENSG00000005700	IBTK	25998	protein_coding
204234_s_at	ENSG00000005801	ZNF195	7748	protein_coding
1557370_s_at	ENSG00000005810	MYCBP2	23077	protein_coding
201959_s_at	ENSG00000005810	MYCBP2	23077	protein_coding
201960_s_at	ENSG00000005810	MYCBP2	23077	protein_coding
225132_at	ENSG00000005812	FBXL3	26224	protein_coding
235608_at	ENSG00000005812	FBXL3	26224	protein_coding
1554240_a_at	ENSG00000005844	ITGAL	3683	protein_coding
213475_s_at	ENSG00000005844	ITGAL	3683	protein_coding
213724_s_at	ENSG00000005882	PDK2	5164	protein_coding
202590_s_at	ENSG00000005882	PDK2	5164	protein_coding
201474_s_at	ENSG00000005884	ITGA3	3675	protein_coding
207920_x_at	ENSG00000005889	ZFX	7543	protein_coding
217176_s_at	ENSG00000005889	ZFX	7543	protein_coding
214678_x_at	ENSG00000005889	ZFX	7543	protein_coding
229022_at	ENSG00000005889	ZFX	7543	protein_coding
200821_at	ENSG00000005893	LAMP2	3920	protein_coding
203041_s_at	ENSG00000005893	LAMP2	3920	protein_coding
203042_at	ENSG00000005893	LAMP2	3920	protein_coding
226671_at	ENSG00000005893	LAMP2	3920	protein_coding
216956_s_at	ENSG00000005961	ITGA2B	3674	protein_coding
206494_s_at	ENSG00000005961	ITGA2B	3674	protein_coding
206493_at	ENSG00000005961	ITGA2B	3674	protein_coding
237721_s_at	ENSG00000005981	ASB4	51666	protein_coding
237720_at	ENSG00000005981	ASB4	51666	protein_coding
217228_s_at	ENSG00000005981	ASB4	51666	protein_coding
208481_at	ENSG00000005981	ASB4	51666	protein_coding
235619_at	ENSG00000005981	ASB4	51666	protein_coding
202593_s_at	ENSG00000006007	GDE1	51573	protein_coding
226214_at	ENSG00000006007	GDE1	51573	protein_coding
51200_at	ENSG00000006015	REX1BD	55049	protein_coding
218958_at	ENSG00000006015	REX1BD	55049	protein_coding
206315_at	ENSG00000006016	CRLF1	9244	protein_coding
208163_s_at	ENSG00000006025	OSBPL7	114881	protein_coding
210344_at	ENSG00000006025	OSBPL7	114881	protein_coding
227946_at	ENSG00000006025	OSBPL7	114881	protein_coding
223170_at	ENSG00000006042	TMEM98	26022	protein_coding
219704_at	ENSG00000006047	YBX2	51087	protein_coding
205192_at	ENSG00000006062	MAP3K14	9020	protein_coding
210246_s_at	ENSG00000006071	ABCC8	6833	protein_coding
206384_at	ENSG00000006116	CACNG3	10368	protein_coding
222758_s_at	ENSG00000006118	TMEM132A	54972	protein_coding
232419_at	ENSG00000006118	TMEM132A	54972	protein_coding
218834_s_at	ENSG00000006118	TMEM132A	54972	protein_coding
200615_s_at	ENSG00000006125	AP2B1	163	protein_coding
200612_s_at	ENSG00000006125	AP2B1	163	protein_coding
206552_s_at	ENSG00000006128	TAC1	6863	protein_coding
203707_at	ENSG00000006194	ZNF263	10127	protein_coding
232089_at	ENSG00000006194	ZNF263	10127	protein_coding
823_at	ENSG00000006210	CX3CL1	6376	protein_coding
203687_at	ENSG00000006210	CX3CL1	6376	protein_coding
218164_at	ENSG00000006282	SPATA20	64847	protein_coding
211315_s_at	ENSG00000006283	CACNA1G	8913	protein_coding
211314_at	ENSG00000006283	CACNA1G	8913	protein_coding
211802_x_at	ENSG00000006283	CACNA1G	8913	protein_coding
210380_s_at	ENSG00000006283	CACNA1G	8913	protein_coding
207869_s_at	ENSG00000006283	CACNA1G	8913	protein_coding
218368_s_at	ENSG00000006327	TNFRSF12A	51330	protein_coding
221289_at	ENSG00000006377	DLX6	1750	protein_coding
239309_at	ENSG00000006377	DLX6	1750	protein_coding
242940_x_at	ENSG00000006377	DLX6	1750	protein_coding
214969_at	ENSG00000006432	MAP3K9	4293	protein_coding
213927_at	ENSG00000006432	MAP3K9	4293	protein_coding
214435_x_at	ENSG00000006451	RALA	5898	protein_coding
224880_at	ENSG00000006451	RALA	5898	protein_coding
227371_at	ENSG00000006453	BAIAP2L1	55971	protein_coding
227372_s_at	ENSG00000006453	BAIAP2L1	55971	protein_coding
222675_s_at	ENSG00000006453	BAIAP2L1	55971	protein_coding
225142_at	ENSG00000006459	KDM7A	80853	protein_coding
221778_at	ENSG00000006459	KDM7A	80853	protein_coding
217053_x_at	ENSG00000006468	ETV1	2115	protein_coding
217061_s_at	ENSG00000006468	ETV1	2115	protein_coding
206501_x_at	ENSG00000006468	ETV1	2115	protein_coding
221911_at	ENSG00000006468	ETV1	2115	protein_coding
221910_at	ENSG00000006468	ETV1	2115	protein_coding
1555610_at	ENSG00000006530	AGK	55750	protein_coding
222132_s_at	ENSG00000006530	AGK	55750	protein_coding
218568_at	ENSG00000006530	AGK	55750	protein_coding
1565731_at	ENSG00000006534	ALDH3B1	221	protein_coding
211004_s_at	ENSG00000006534	ALDH3B1	221	protein_coding
205640_at	ENSG00000006534	ALDH3B1	221	protein_coding
215106_at	ENSG00000006555	TTC22	55001	protein_coding
215107_s_at	ENSG00000006555	TTC22	55001	protein_coding
220309_at	ENSG00000006555	TTC22	55001	protein_coding
235651_at	ENSG00000006555	TTC22	55001	protein_coding
1554822_at	ENSG00000006576	PHTF2	57157	protein_coding
1554780_a_at	ENSG00000006576	PHTF2	57157	protein_coding
215286_s_at	ENSG00000006576	PHTF2	57157	protein_coding
217097_s_at	ENSG00000006576	PHTF2	57157	protein_coding
209780_at	ENSG00000006576	PHTF2	57157	protein_coding
223710_at	ENSG00000006606	CCL26	10344	protein_coding
242857_at	ENSG00000006607	FARP2	9855	protein_coding
225652_at	ENSG00000006607	FARP2	9855	protein_coding
1554337_at	ENSG00000006607	FARP2	9855	protein_coding
204511_at	ENSG00000006607	FARP2	9855	protein_coding
211184_s_at	ENSG00000006611	USH1C	10083	protein_coding
205137_x_at	ENSG00000006611	USH1C	10083	protein_coding
215380_s_at	ENSG00000006625	GGCT	79017	protein_coding
204244_s_at	ENSG00000006634	DBF4	10926	protein_coding
211590_x_at	ENSG00000006638	TBXA2R	6915	protein_coding
207555_s_at	ENSG00000006638	TBXA2R	6915	protein_coding
336_at	ENSG00000006638	TBXA2R	6915	protein_coding
207554_x_at	ENSG00000006638	TBXA2R	6915	protein_coding
202146_at	ENSG00000006652	IFRD1	3475	protein_coding
230048_at	ENSG00000006652	IFRD1	3475	protein_coding
220158_at	ENSG00000006659	LGALS14	56891	protein_coding
203858_s_at	ENSG00000006695	COX10	1352	protein_coding
1569685_at	ENSG00000006695	COX10	1352	protein_coding
218412_s_at	ENSG00000006704	GTF2IRD1	9569	protein_coding
202093_s_at	ENSG00000006712	PAF1	54623	protein_coding
210849_s_at	ENSG00000006715	VPS41	27072	protein_coding
203106_s_at	ENSG00000006715	VPS41	27072	protein_coding
235625_at	ENSG00000006715	VPS41	27072	protein_coding
215232_at	ENSG00000006740	ARHGAP44	9912	protein_coding
205414_s_at	ENSG00000006740	ARHGAP44	9912	protein_coding
201767_s_at	ENSG00000006744	ELAC2	60528	protein_coding
1552367_a_at	ENSG00000006747	SCIN	85477	protein_coding
222272_x_at	ENSG00000006747	SCIN	85477	protein_coding
1552365_at	ENSG00000006747	SCIN	85477	protein_coding
207784_at	ENSG00000006756	ARSD	414	protein_coding
206831_s_at	ENSG00000006756	ARSD	414	protein_coding
232423_at	ENSG00000006756	ARSD	414	protein_coding
223696_at	ENSG00000006756	ARSD	414	protein_coding
230131_x_at	ENSG00000006756	ARSD	414	protein_coding
225280_x_at	ENSG00000006756	ARSD	414	protein_coding
223695_s_at	ENSG00000006756	ARSD	414	protein_coding
225286_at	ENSG00000006756	ARSD	414	protein_coding
209739_s_at	ENSG00000006757	PNPLA4	8228	protein_coding
209740_s_at	ENSG00000006757	PNPLA4	8228	protein_coding
208208_at	ENSG00000006788	MYH13	8735	protein_coding
201346_at	ENSG00000006831	ADIPOR2	79602	protein_coding
219831_at	ENSG00000006837	CDKL3	51265	protein_coding
241911_at	ENSG00000006837	CDKL3	51265	protein_coding
233155_at	ENSG00000007001	UPP2	151531	protein_coding
231376_at	ENSG00000007001	UPP2	151531	protein_coding
220051_at	ENSG00000007038	PRSS21	10942	protein_coding
55065_at	ENSG00000007047	MARK4	57787	protein_coding
221560_at	ENSG00000007047	MARK4	57787	protein_coding
204304_s_at	ENSG00000007062	PROM1	8842	protein_coding
225454_at	ENSG00000007080	CCDC124	115098	protein_coding
216605_s_at	ENSG00000007129	CEACAM21	90273	protein_coding
214907_at	ENSG00000007129	CEACAM21	90273	protein_coding
200815_s_at	ENSG00000007168	PAFAH1B1	5048	protein_coding
211547_s_at	ENSG00000007168	PAFAH1B1	5048	protein_coding
200813_s_at	ENSG00000007168	PAFAH1B1	5048	protein_coding
200816_s_at	ENSG00000007168	PAFAH1B1	5048	protein_coding
210037_s_at	ENSG00000007171	NOS2	4843	protein_coding
240857_at	ENSG00000007174	DNAH9	1770	protein_coding
210345_s_at	ENSG00000007174	DNAH9	1770	protein_coding
207959_s_at	ENSG00000007174	DNAH9	1770	protein_coding
201728_s_at	ENSG00000007202	KIAA0100	9703	protein_coding
201729_s_at	ENSG00000007202	KIAA0100	9703	protein_coding
207567_at	ENSG00000007216	SLC13A2	9058	protein_coding
239805_at	ENSG00000007216	SLC13A2	9058	protein_coding
207704_s_at	ENSG00000007237	GAS7	8522	protein_coding
211067_s_at	ENSG00000007237	GAS7	8522	protein_coding
210872_x_at	ENSG00000007237	GAS7	8522	protein_coding
202191_s_at	ENSG00000007237	GAS7	8522	protein_coding
202192_s_at	ENSG00000007237	GAS7	8522	protein_coding
204985_s_at	ENSG00000007255	TRAPPC6A	79090	protein_coding
206267_s_at	ENSG00000007264	MATK	4145	protein_coding
211848_s_at	ENSG00000007306	CEACAM7	1087	protein_coding
206198_s_at	ENSG00000007306	CEACAM7	1087	protein_coding
206199_at	ENSG00000007306	CEACAM7	1087	protein_coding
1555748_x_at	ENSG00000007312	CD79B	974	protein_coding
1555746_at	ENSG00000007312	CD79B	974	protein_coding
205297_s_at	ENSG00000007312	CD79B	974	protein_coding
206981_at	ENSG00000007314	SCN4A	6329	protein_coding
230079_at	ENSG00000007341	ST7L	54879	protein_coding
1552739_s_at	ENSG00000007341	ST7L	54879	protein_coding
1552738_a_at	ENSG00000007341	ST7L	54879	protein_coding
233141_s_at	ENSG00000007341	ST7L	54879	protein_coding
219964_at	ENSG00000007341	ST7L	54879	protein_coding
216370_s_at	ENSG00000007350	TKTL1	8277	protein_coding
214183_s_at	ENSG00000007350	TKTL1	8277	protein_coding
205646_s_at	ENSG00000007372	PAX6	5080	protein_coding
235795_at	ENSG00000007372	PAX6	5080	protein_coding
226078_at	ENSG00000007376	RPUSD1	113000	protein_coding
222711_s_at	ENSG00000007384	RHBDF1	64285	protein_coding
218686_s_at	ENSG00000007384	RHBDF1	64285	protein_coding
1557066_at	ENSG00000007392	LUC7L	55692	protein_coding
1557067_s_at	ENSG00000007392	LUC7L	55692	protein_coding
220143_x_at	ENSG00000007392	LUC7L	55692	protein_coding
223546_x_at	ENSG00000007392	LUC7L	55692	protein_coding
223295_s_at	ENSG00000007392	LUC7L	55692	protein_coding
204811_s_at	ENSG00000007402	CACNA2D2	9254	protein_coding
216356_x_at	ENSG00000007516	BAIAP3	8938	protein_coding
204874_x_at	ENSG00000007516	BAIAP3	8938	protein_coding
213104_at	ENSG00000007520	TSR3	115939	protein_coding
213105_s_at	ENSG00000007520	TSR3	115939	protein_coding
1555359_at	ENSG00000007541	PIGQ	9091	protein_coding
204144_s_at	ENSG00000007541	PIGQ	9091	protein_coding
225172_at	ENSG00000007545	CRAMP1	57585	protein_coding
209454_s_at	ENSG00000007866	TEAD3	7005	protein_coding
206211_at	ENSG00000007908	SELE	6401	protein_coding
1555360_a_at	ENSG00000007923	DNAJC11	55735	protein_coding
215792_s_at	ENSG00000007923	DNAJC11	55735	protein_coding
206496_at	ENSG00000007933	FMO3	2328	protein_coding
40665_at	ENSG00000007933	FMO3	2328	protein_coding
220319_s_at	ENSG00000007944	MYLIP	29116	protein_coding
223129_x_at	ENSG00000007944	MYLIP	29116	protein_coding
228098_s_at	ENSG00000007944	MYLIP	29116	protein_coding
223130_s_at	ENSG00000007944	MYLIP	29116	protein_coding
207380_x_at	ENSG00000007952	NOX1	27035	protein_coding
207217_s_at	ENSG00000007952	NOX1	27035	protein_coding
210808_s_at	ENSG00000007952	NOX1	27035	protein_coding
206418_at	ENSG00000007952	NOX1	27035	protein_coding
207042_at	ENSG00000007968	E2F2	1870	protein_coding
235582_at	ENSG00000007968	E2F2	1870	protein_coding
228361_at	ENSG00000007968	E2F2	1870	protein_coding
200876_s_at	ENSG00000008018	PSMB1	5689	protein_coding
214288_s_at	ENSG00000008018	PSMB1	5689	protein_coding
1553264_a_at	ENSG00000008056	SYN1	6853	protein_coding
221914_at	ENSG00000008056	SYN1	6853	protein_coding
203297_s_at	ENSG00000008083	JARID2	3720	protein_coding
203298_s_at	ENSG00000008083	JARID2	3720	protein_coding
206575_at	ENSG00000008086	CDKL5	6792	protein_coding
227004_at	ENSG00000008086	CDKL5	6792	protein_coding
231170_at	ENSG00000008086	CDKL5	6792	protein_coding
217128_s_at	ENSG00000008118	CAMK1G	57172	protein_coding
215161_at	ENSG00000008118	CAMK1G	57172	protein_coding
208917_x_at	ENSG00000008130	NADK	65220	protein_coding
215159_s_at	ENSG00000008130	NADK	65220	protein_coding
213607_x_at	ENSG00000008130	NADK	65220	protein_coding
208918_s_at	ENSG00000008130	NADK	65220	protein_coding
208919_s_at	ENSG00000008130	NADK	65220	protein_coding
215686_x_at	ENSG00000008196	TFAP2B	7021	protein_coding
1553394_a_at	ENSG00000008196	TFAP2B	7021	protein_coding
214451_at	ENSG00000008196	TFAP2B	7021	protein_coding
