probe_id	Geneid	hgnc_symbol	entrezgene_id	biotype
233141_s_at	ENSG00000007341	ST7L	54879	protein_coding
235795_at	ENSG00000007372	PAX6	5080	protein_coding
226078_at	ENSG00000007376	RPUSD1	113000	protein_coding
222711_s_at	ENSG00000007384	RHBDF1	64285	protein_coding
223546_x_at	ENSG00000007392	LUC7L	55692	protein_coding
223295_s_at	ENSG00000007392	LUC7L	55692	protein_coding
225172_at	ENSG00000007545	CRAMP1	57585	protein_coding
223129_x_at	ENSG00000007944	MYLIP	29116	protein_coding
228098_s_at	ENSG00000007944	MYLIP	29116	protein_coding
223130_s_at	ENSG00000007944	MYLIP	29116	protein_coding
235582_at	ENSG00000007968	E2F2	1870	protein_coding
228361_at	ENSG00000007968	E2F2	1870	protein_coding
227004_at	ENSG00000008086	CDKL5	6792	protein_coding
231170_at	ENSG00000008086	CDKL5	6792	protein_coding
233987_at	ENSG00000008197	TFAP2D	83741	protein_coding
243752_s_at	ENSG00000008256	CYTH3	9265	protein_coding
236136_at	ENSG00000008256	CYTH3	9265	protein_coding
225147_at	ENSG00000008256	CYTH3	9265	protein_coding
244194_at	ENSG00000008277	ADAM22	53616	protein_coding
225339_at	ENSG00000008294	SPAG9	9043	protein_coding
233651_s_at	ENSG00000008382	MPND	84954	protein_coding
231736_x_at	ENSG00000008394	MGST1	4257	protein_coding
240688_at	ENSG00000008394	MGST1	4257	protein_coding
224918_x_at	ENSG00000008394	MGST1	4257	protein_coding
228278_at	ENSG00000008441	NFIX	4784	protein_coding
227400_at	ENSG00000008441	NFIX	4784	protein_coding
225034_at	ENSG00000008513	ST3GAL1	6482	protein_coding
225033_at	ENSG00000008513	ST3GAL1	6482	protein_coding
233642_s_at	ENSG00000008869	HEATR5B	54497	protein_coding
225352_at	ENSG00000008952	SEC62	7095	protein_coding
222975_s_at	ENSG00000009307	CSDE1	7812	protein_coding
231070_at	ENSG00000009765	IYD	389434	protein_coding
228604_at	ENSG00000009780	FAM76A	199870	protein_coding
240265_at	ENSG00000009790	TRAF3IP3	80342	protein_coding
225560_at	ENSG00000009830	POMT2	29954	protein_coding
223021_x_at	ENSG00000009844	VTA1	51534	protein_coding
224437_s_at	ENSG00000009844	VTA1	51534	protein_coding
223022_s_at	ENSG00000009844	VTA1	51534	protein_coding
237059_at	ENSG00000009844	VTA1	51534	protein_coding
224225_s_at	ENSG00000010030	ETV7	51513	protein_coding
223511_at	ENSG00000010072	SPRTN	83932	protein_coding
239937_at	ENSG00000010244	ZNF207	7756	protein_coding
244153_at	ENSG00000010244	ZNF207	7756	protein_coding
238772_at	ENSG00000010244	ZNF207	7756	protein_coding
229765_at	ENSG00000010244	ZNF207	7756	protein_coding
231848_x_at	ENSG00000010244	ZNF207	7756	protein_coding
228157_at	ENSG00000010244	ZNF207	7756	protein_coding
223065_s_at	ENSG00000010270	STARD3NL	83930	protein_coding
233317_at	ENSG00000010278	CD9	928	protein_coding
223572_at	ENSG00000010282	HHATL	57467	protein_coding
231291_at	ENSG00000010310	GIPR	2696	protein_coding
227392_at	ENSG00000010322	NISCH	11188	protein_coding
237058_x_at	ENSG00000010379	SLC6A13	6540	protein_coding
236823_at	ENSG00000010404	IDS	3423	protein_coding
235754_at	ENSG00000010704	HFE	3077	protein_coding
224943_at	ENSG00000011114	BTBD7	55727	protein_coding
224945_at	ENSG00000011114	BTBD7	55727	protein_coding
227691_at	ENSG00000011243	AKAP8L	26993	protein_coding
240554_at	ENSG00000011243	AKAP8L	26993	protein_coding
243552_at	ENSG00000011258	MBTD1	54799	protein_coding
226797_at	ENSG00000011258	MBTD1	54799	protein_coding
227065_at	ENSG00000011275	RNF216	54476	protein_coding
231599_x_at	ENSG00000011332	DPF1	8193	protein_coding
232025_at	ENSG00000011347	SYT7	9066	protein_coding
226167_at	ENSG00000011347	SYT7	9066	protein_coding
231025_at	ENSG00000011347	SYT7	9066	protein_coding
226094_at	ENSG00000011405	PIK3C2A	5286	protein_coding
235792_x_at	ENSG00000011405	PIK3C2A	5286	protein_coding
222608_s_at	ENSG00000011426	ANLN	54443	protein_coding
240556_at	ENSG00000011465	DCN	1634	protein_coding
242605_at	ENSG00000011465	DCN	1634	protein_coding
239786_at	ENSG00000011465	DCN	1634	protein_coding
239442_at	ENSG00000011523	CEP68	23177	protein_coding
228131_at	ENSG00000012061	ERCC1	2067	protein_coding
226760_at	ENSG00000012174	MBTPS2	51360	protein_coding
230740_at	ENSG00000013016	EHD3	30845	protein_coding
232904_at	ENSG00000013293	SLC7A14	57709	protein_coding
228335_at	ENSG00000013297	CLDN11	5010	protein_coding
223649_s_at	ENSG00000013306	SLC25A39	51629	protein_coding
222512_at	ENSG00000013374	NUB1	51667	protein_coding
229786_at	ENSG00000013392	RWDD2A	112611	protein_coding
244685_at	ENSG00000013523	ANGEL1	23357	protein_coding
243345_at	ENSG00000013561	RNF14	9604	protein_coding
235563_at	ENSG00000013588	GPRC5A	9052	protein_coding
238291_at	ENSG00000014123	UFL1	23376	protein_coding
236546_at	ENSG00000014138	POLA2	23649	protein_coding
244575_at	ENSG00000014138	POLA2	23649	protein_coding
241056_at	ENSG00000014164	ZC3H3	23144	protein_coding
237030_at	ENSG00000014257	ACP3	55	protein_coding
229500_at	ENSG00000014824	SLC30A9	10463	protein_coding
223281_s_at	ENSG00000014919	COX15	1355	protein_coding
231288_at	ENSG00000015133	CCDC88C	440193	protein_coding
227228_s_at	ENSG00000015133	CCDC88C	440193	protein_coding
244783_at	ENSG00000015153	YAF2	10138	protein_coding
227143_s_at	ENSG00000015475	BID	637	protein_coding
224305_s_at	ENSG00000015520	NPC1L1	29881	protein_coding
224306_at	ENSG00000015520	NPC1L1	29881	protein_coding
236812_at	ENSG00000015592	STMN4	81551	protein_coding
242238_at	ENSG00000015676	NUDCD3	23386	protein_coding
229502_at	ENSG00000016391	CHDH	55349	protein_coding
231994_at	ENSG00000016391	CHDH	55349	protein_coding
229954_at	ENSG00000016391	CHDH	55349	protein_coding
228560_at	ENSG00000016391	CHDH	55349	protein_coding
222829_s_at	ENSG00000016402	IL20RA	53832	protein_coding
234973_at	ENSG00000017483	SLC38A5	92745	protein_coding
242073_at	ENSG00000017797	RALBP1	10928	protein_coding
226957_x_at	ENSG00000017797	RALBP1	10928	protein_coding
227802_at	ENSG00000018189	RUFY3	22902	protein_coding
227209_at	ENSG00000018236	CNTN1	1272	protein_coding
227202_at	ENSG00000018236	CNTN1	1272	protein_coding
225114_at	ENSG00000018510	AGPS	8540	protein_coding
225113_at	ENSG00000018510	AGPS	8540	protein_coding
225108_at	ENSG00000018510	AGPS	8540	protein_coding
235442_at	ENSG00000018610	CXorf56	63932	protein_coding
241602_at	ENSG00000018869	ZNF582	147948	protein_coding
228232_s_at	ENSG00000019102	VSIG2	23584	protein_coding
229369_at	ENSG00000019102	VSIG2	23584	protein_coding
239763_at	ENSG00000019485	PRDM11	56981	protein_coding
233067_at	ENSG00000019485	PRDM11	56981	protein_coding
229688_at	ENSG00000019485	PRDM11	56981	protein_coding
229687_s_at	ENSG00000019485	PRDM11	56981	protein_coding
226086_at	ENSG00000019505	SYT13	57586	protein_coding
225131_at	ENSG00000019995	ZRANB1	54764	protein_coding
225138_at	ENSG00000019995	ZRANB1	54764	protein_coding
225130_at	ENSG00000019995	ZRANB1	54764	protein_coding
237002_at	ENSG00000020129	NCDN	23154	protein_coding
222897_s_at	ENSG00000020256	ZFP64	55734	protein_coding
234928_x_at	ENSG00000020633	RUNX3	864	protein_coding
242456_at	ENSG00000020922	MRE11	4361	protein_coding
228726_at	ENSG00000021355	SERPINB1	1992	protein_coding
229649_at	ENSG00000021645	NRXN3	9369	protein_coding
233734_s_at	ENSG00000021762	OSBPL5	114879	protein_coding
223464_at	ENSG00000021762	OSBPL5	114879	protein_coding
239895_at	ENSG00000021776	AQR	9716	protein_coding
228694_at	ENSG00000021776	AQR	9716	protein_coding
224128_at	ENSG00000022277	RTF2	51507	protein_coding
233842_x_at	ENSG00000022277	RTF2	51507	protein_coding
234926_s_at	ENSG00000022277	RTF2	51507	protein_coding
236702_at	ENSG00000022277	RTF2	51507	protein_coding
244118_at	ENSG00000022355	GABRA1	2554	protein_coding
237489_at	ENSG00000022556	NLRP2	55655	protein_coding
225597_at	ENSG00000022567	SLC45A4	57210	protein_coding
225598_at	ENSG00000022567	SLC45A4	57210	protein_coding
236356_at	ENSG00000023228	NDUFS1	4719	protein_coding
229647_at	ENSG00000023228	NDUFS1	4719	protein_coding
235321_at	ENSG00000023228	NDUFS1	4719	protein_coding
239268_at	ENSG00000023228	NDUFS1	4719	protein_coding
230499_at	ENSG00000023445	BIRC3	330	protein_coding
226659_at	ENSG00000023892	DEF6	50619	protein_coding
236140_at	ENSG00000023909	GCLM	2730	protein_coding
234986_at	ENSG00000023909	GCLM	2730	protein_coding
232278_s_at	ENSG00000024526	DEPDC1	55635	protein_coding
222958_s_at	ENSG00000024526	DEPDC1	55635	protein_coding
235545_at	ENSG00000024526	DEPDC1	55635	protein_coding
235389_at	ENSG00000025293	PHF20	51230	protein_coding
235395_at	ENSG00000025796	SEC63	11231	protein_coding
229969_at	ENSG00000025796	SEC63	11231	protein_coding
232722_at	ENSG00000026297	RNASET2	8635	protein_coding
239388_at	ENSG00000026297	RNASET2	8635	protein_coding
240720_at	ENSG00000026297	RNASET2	8635	protein_coding
229221_at	ENSG00000026508	CD44	960	protein_coding
223740_at	ENSG00000026652	AGPAT4	56895	protein_coding
228667_at	ENSG00000026652	AGPAT4	56895	protein_coding
234306_s_at	ENSG00000026751	SLAMF7	57823	protein_coding
222838_at	ENSG00000026751	SLAMF7	57823	protein_coding
230124_at	ENSG00000027075	PRKCH	5583	protein_coding
223675_s_at	ENSG00000028203	VEZT	55591	protein_coding
223090_x_at	ENSG00000028203	VEZT	55591	protein_coding
223089_at	ENSG00000028203	VEZT	55591	protein_coding
228343_at	ENSG00000028277	POU2F2	5452	protein_coding
229750_at	ENSG00000028277	POU2F2	5452	protein_coding
242866_x_at	ENSG00000028277	POU2F2	5452	protein_coding
235661_at	ENSG00000028277	POU2F2	5452	protein_coding
227749_at	ENSG00000028277	POU2F2	5452	protein_coding
224204_x_at	ENSG00000029153	ARNTL2	56938	protein_coding
223586_at	ENSG00000029153	ARNTL2	56938	protein_coding
239897_at	ENSG00000029363	BCLAF1	9774	protein_coding
229454_at	ENSG00000029363	BCLAF1	9774	protein_coding
222445_at	ENSG00000029364	SLC39A9	55334	protein_coding
240363_at	ENSG00000029534	ANK1	286	protein_coding
236028_at	ENSG00000029559	IBSP	3381	protein_coding
228075_x_at	ENSG00000029639	TFB1M	51106	protein_coding
225064_at	ENSG00000029725	RABEP1	9135	protein_coding
225092_at	ENSG00000029725	RABEP1	9135	protein_coding
231002_s_at	ENSG00000029725	RABEP1	9135	protein_coding
225601_at	ENSG00000029993	HMGB3	3149	protein_coding
241122_s_at	ENSG00000030304	MUSK	4593	protein_coding
231929_at	ENSG00000030419	IKZF2	22807	protein_coding
226056_at	ENSG00000031081	ARHGAP31	57514	protein_coding
226057_at	ENSG00000031081	ARHGAP31	57514	protein_coding
230141_at	ENSG00000032219	ARID4A	5926	protein_coding
223355_at	ENSG00000033011	ALG1	56052	protein_coding
236626_at	ENSG00000033011	ALG1	56052	protein_coding
230786_at	ENSG00000033030	ZCCHC8	55596	protein_coding
233499_at	ENSG00000033122	LRRC7	57554	protein_coding
239767_at	ENSG00000033122	LRRC7	57554	protein_coding
222600_s_at	ENSG00000033178	UBA6	55236	protein_coding
222601_at	ENSG00000033178	UBA6	55236	protein_coding
222602_at	ENSG00000033178	UBA6	55236	protein_coding
242834_at	ENSG00000033178	UBA6	55236	protein_coding
242278_at	ENSG00000033800	PIAS1	8554	protein_coding
239500_at	ENSG00000034239	EFCAB1	79645	protein_coding
223085_at	ENSG00000034677	RNF19A	25897	protein_coding
226980_at	ENSG00000035499	DEPDC1B	55789	protein_coding
232149_s_at	ENSG00000035681	NSMAF	8439	protein_coding
232148_at	ENSG00000035681	NSMAF	8439	protein_coding
224560_at	ENSG00000035862	TIMP2	7077	protein_coding
231579_s_at	ENSG00000035862	TIMP2	7077	protein_coding
225121_at	ENSG00000036054	TBC1D23	55773	protein_coding
229325_at	ENSG00000036549	ZZZ3	26009	protein_coding
230965_at	ENSG00000036672	USP2	9099	protein_coding
229337_at	ENSG00000036672	USP2	9099	protein_coding
242744_s_at	ENSG00000036828	CASR	846	protein_coding
242745_at	ENSG00000036828	CASR	846	protein_coding
244330_at	ENSG00000036828	CASR	846	protein_coding
234379_at	ENSG00000037280	FLT4	2324	protein_coding
229902_at	ENSG00000037280	FLT4	2324	protein_coding
223076_s_at	ENSG00000037474	NSUN2	54888	protein_coding
223770_x_at	ENSG00000037757	MRI1	84245	protein_coding
228077_at	ENSG00000037757	MRI1	84245	protein_coding
222631_at	ENSG00000038210	PI4K2B	55300	protein_coding
242594_at	ENSG00000038219	BOD1L1	259282	protein_coding
235009_at	ENSG00000038219	BOD1L1	259282	protein_coding
225821_s_at	ENSG00000038219	BOD1L1	259282	protein_coding
231221_at	ENSG00000038532	CLEC16A	23274	protein_coding
227447_at	ENSG00000039123	MTREX	23517	protein_coding
243938_x_at	ENSG00000039139	DNAH5	1767	protein_coding
232381_s_at	ENSG00000039139	DNAH5	1767	protein_coding
240859_at	ENSG00000039319	ZFYVE16	9765	protein_coding
230806_s_at	ENSG00000039523	RIPOR1	79567	protein_coding
227179_at	ENSG00000040341	STAU2	27067	protein_coding
228550_at	ENSG00000040608	RTN4R	65078	protein_coding
223081_at	ENSG00000040633	PHF23	79142	protein_coding
227087_at	ENSG00000040933	INPP4A	3631	protein_coding
235695_at	ENSG00000040933	INPP4A	3631	protein_coding
228708_at	ENSG00000041353	RAB27B	5874	protein_coding
223200_s_at	ENSG00000041802	LSG1	55341	protein_coding
237169_at	ENSG00000041982	TNC	3371	protein_coding
243978_at	ENSG00000042062	RIPOR3	140876	protein_coding
227654_at	ENSG00000042062	RIPOR3	140876	protein_coding
226044_at	ENSG00000042088	TDP1	55775	protein_coding
224461_s_at	ENSG00000042286	AIFM2	84883	protein_coding
228445_at	ENSG00000042286	AIFM2	84883	protein_coding
234929_s_at	ENSG00000042317	SPATA7	55812	protein_coding
232483_at	ENSG00000042429	MED17	9440	protein_coding
223115_at	ENSG00000042429	MED17	9440	protein_coding
222678_s_at	ENSG00000043093	DCUN1D1	54165	protein_coding
238879_at	ENSG00000043093	DCUN1D1	54165	protein_coding
240781_x_at	ENSG00000043093	DCUN1D1	54165	protein_coding
237408_at	ENSG00000043093	DCUN1D1	54165	protein_coding
232279_at	ENSG00000043143	JADE2	23338	protein_coding
223642_at	ENSG00000043355	ZIC2	7546	protein_coding
244556_at	ENSG00000043462	LCP2	3937	protein_coding
244251_at	ENSG00000043462	LCP2	3937	protein_coding
244598_at	ENSG00000043462	LCP2	3937	protein_coding
229309_at	ENSG00000043591	ADRB1	153	protein_coding
241747_s_at	ENSG00000044090	CUL7	9820	protein_coding
241696_at	ENSG00000044459	CNTLN	54875	protein_coding
239989_at	ENSG00000044459	CNTLN	54875	protein_coding
230031_at	ENSG00000044574	HSPA5	3309	protein_coding
222854_s_at	ENSG00000046647	GEMIN8	54960	protein_coding
241751_at	ENSG00000046651	OFD1	8481	protein_coding
233408_at	ENSG00000046889	PREX2	80243	protein_coding
228692_at	ENSG00000046889	PREX2	80243	protein_coding
222819_at	ENSG00000047230	CTPS2	56474	protein_coding
235193_at	ENSG00000047346	FAM214A	56204	protein_coding
225327_at	ENSG00000047346	FAM214A	56204	protein_coding
228709_at	ENSG00000047410	TPR	7175	protein_coding
227253_at	ENSG00000047457	CP	1356	protein_coding
228143_at	ENSG00000047457	CP	1356	protein_coding
223446_s_at	ENSG00000047579	DTNBP1	84062	protein_coding
223763_at	ENSG00000047579	DTNBP1	84062	protein_coding
223445_at	ENSG00000047579	DTNBP1	84062	protein_coding
222613_at	ENSG00000047621	C12orf4	57102	protein_coding
222747_s_at	ENSG00000047634	SCML1	6322	protein_coding
225273_at	ENSG00000047644	WWC3	55841	protein_coding
233823_at	ENSG00000047662	FAM184B	27146	protein_coding
235066_at	ENSG00000047849	MAP4	4134	protein_coding
227215_at	ENSG00000047932	GOPC	57120	protein_coding
227214_at	ENSG00000047932	GOPC	57120	protein_coding
225023_at	ENSG00000047932	GOPC	57120	protein_coding
225022_at	ENSG00000047932	GOPC	57120	protein_coding
244363_at	ENSG00000047936	ROS1	6098	protein_coding
231837_at	ENSG00000048028	USP28	57646	protein_coding
230623_x_at	ENSG00000048028	USP28	57646	protein_coding
234393_at	ENSG00000048052	HDAC9	9734	protein_coding
230968_at	ENSG00000048052	HDAC9	9734	protein_coding
225235_at	ENSG00000048140	TSPAN17	26262	protein_coding
236473_at	ENSG00000048342	CC2D2A	57545	protein_coding
234936_s_at	ENSG00000048342	CC2D2A	57545	protein_coding
223342_at	ENSG00000048392	RRM2B	50484	protein_coding
227104_x_at	ENSG00000048405	ZNF800	168850	protein_coding
227101_at	ENSG00000048405	ZNF800	168850	protein_coding
232485_at	ENSG00000048471	SNX29	92017	protein_coding
225608_at	ENSG00000048471	SNX29	92017	protein_coding
225624_at	ENSG00000048471	SNX29	92017	protein_coding
222522_x_at	ENSG00000048544	MRPS10	55173	protein_coding
224247_s_at	ENSG00000048544	MRPS10	55173	protein_coding
223818_s_at	ENSG00000048649	RSF1	51773	protein_coding
222540_s_at	ENSG00000048649	RSF1	51773	protein_coding
222541_at	ENSG00000048649	RSF1	51773	protein_coding
235381_at	ENSG00000048649	RSF1	51773	protein_coding
229885_at	ENSG00000048649	RSF1	51773	protein_coding
227178_at	ENSG00000048740	CELF2	10659	protein_coding
226534_at	ENSG00000049130	KITLG	4254	protein_coding
237411_at	ENSG00000049192	ADAMTS6	11174	protein_coding
226160_at	ENSG00000049239	H6PD	9563	protein_coding
238950_at	ENSG00000049249	TNFRSF9	3604	protein_coding
223895_s_at	ENSG00000049283	EPN3	55040	protein_coding
225184_at	ENSG00000049618	ARID1B	57492	protein_coding
225181_at	ENSG00000049618	ARID1B	57492	protein_coding
238043_at	ENSG00000049618	ARID1B	57492	protein_coding
226935_s_at	ENSG00000049656	CLPTM1L	81037	protein_coding
223020_at	ENSG00000049656	CLPTM1L	81037	protein_coding
241396_at	ENSG00000049759	NEDD4L	23327	protein_coding
242132_x_at	ENSG00000049759	NEDD4L	23327	protein_coding
226974_at	ENSG00000049759	NEDD4L	23327	protein_coding
224211_at	ENSG00000049768	FOXP3	50943	protein_coding
232211_at	ENSG00000049769	PPP1R3F	89801	protein_coding
229365_at	ENSG00000049769	PPP1R3F	89801	protein_coding
236903_at	ENSG00000049883	PTCD2	79810	protein_coding
234333_at	ENSG00000050030	NEXMIF	340533	protein_coding
244076_at	ENSG00000050030	NEXMIF	340533	protein_coding
244370_at	ENSG00000050030	NEXMIF	340533	protein_coding
223215_s_at	ENSG00000050130	JKAMP	51528	protein_coding
223547_at	ENSG00000050130	JKAMP	51528	protein_coding
236471_at	ENSG00000050344	NFE2L3	9603	protein_coding
227451_s_at	ENSG00000050393	MCUR1	63933	protein_coding
222456_s_at	ENSG00000050405	LIMA1	51474	protein_coding
222457_s_at	ENSG00000050405	LIMA1	51474	protein_coding
228935_at	ENSG00000050438	SLC4A8	9498	protein_coding
228175_at	ENSG00000050438	SLC4A8	9498	protein_coding
232558_at	ENSG00000050555	LAMC3	10319	protein_coding
225781_at	ENSG00000050748	MAPK9	5601	protein_coding
229168_at	ENSG00000050767	COL23A1	91522	protein_coding
223116_at	ENSG00000050820	BCAR1	9564	protein_coding
223637_s_at	ENSG00000051009	FAM160A2	84067	protein_coding
231280_at	ENSG00000051620	HEBP2	23593	protein_coding
237158_s_at	ENSG00000051825	MPHOSPH9	10198	protein_coding
233040_at	ENSG00000052126	PLEKHA5	54477	protein_coding
235294_at	ENSG00000052723	SIKE1	80143	protein_coding
228026_at	ENSG00000052723	SIKE1	80143	protein_coding
226460_at	ENSG00000052795	FNIP2	57600	protein_coding
225924_at	ENSG00000052795	FNIP2	57600	protein_coding
225922_at	ENSG00000052795	FNIP2	57600	protein_coding
224852_at	ENSG00000052841	TTC17	55761	protein_coding
232646_at	ENSG00000052841	TTC17	55761	protein_coding
232323_s_at	ENSG00000052841	TTC17	55761	protein_coding
224849_at	ENSG00000052841	TTC17	55761	protein_coding
241984_at	ENSG00000053254	FOXN3	1112	protein_coding
222494_at	ENSG00000053254	FOXN3	1112	protein_coding
235783_at	ENSG00000053372	MRTO4	51154	protein_coding
222531_s_at	ENSG00000053770	AP5M1	55745	protein_coding
232156_at	ENSG00000053770	AP5M1	55745	protein_coding
236004_at	ENSG00000053770	AP5M1	55745	protein_coding
232524_x_at	ENSG00000053900	ANAPC4	29945	protein_coding
226917_s_at	ENSG00000053900	ANAPC4	29945	protein_coding
222439_s_at	ENSG00000054118	THRAP3	9967	protein_coding
222440_s_at	ENSG00000054118	THRAP3	9967	protein_coding
223207_x_at	ENSG00000054148	PHPT1	29085	protein_coding
225683_x_at	ENSG00000054148	PHPT1	29085	protein_coding
230430_at	ENSG00000054179	ENTPD2	954	protein_coding
223111_x_at	ENSG00000054267	ARID4B	51742	protein_coding
224322_at	ENSG00000054267	ARID4B	51742	protein_coding
224392_s_at	ENSG00000054277	OPN3	23596	protein_coding
227785_at	ENSG00000054282	SDCCAG8	10806	protein_coding
226968_at	ENSG00000054523	KIF1B	23095	protein_coding
225878_at	ENSG00000054523	KIF1B	23095	protein_coding
242774_at	ENSG00000054654	SYNE2	23224	protein_coding
243841_at	ENSG00000054654	SYNE2	23224	protein_coding
225727_at	ENSG00000054690	PLEKHH1	57475	protein_coding
225726_s_at	ENSG00000054690	PLEKHH1	57475	protein_coding
234024_at	ENSG00000054803	CBLN4	140689	protein_coding
