ensembl_gene_id	probe_id
ENSG00000005981	237720_at
ENSG00000005981	217228_s_at
ENSG00000005981	208481_at
ENSG00000005981	235619_at
ENSG00000006007	202593_s_at
ENSG00000006007	226214_at
ENSG00000006015	51200_at
ENSG00000006015	218958_at
ENSG00000006016	206315_at
ENSG00000006025	208163_s_at
ENSG00000006025	210344_at
ENSG00000006025	227946_at
ENSG00000006042	223170_at
ENSG00000006047	219704_at
ENSG00000006062	205192_at
ENSG00000006071	210246_s_at
ENSG00000006116	206384_at
ENSG00000006118	222758_s_at
ENSG00000006118	232419_at
ENSG00000006118	218834_s_at
ENSG00000006125	200615_s_at
ENSG00000006125	200612_s_at
ENSG00000006128	206552_s_at
ENSG00000006194	203707_at
ENSG00000006194	232089_at
ENSG00000006210	823_at
ENSG00000006210	203687_at
ENSG00000006282	218164_at
ENSG00000006283	211315_s_at
ENSG00000006283	211314_at
ENSG00000006283	211802_x_at
ENSG00000006283	210380_s_at
ENSG00000006283	207869_s_at
ENSG00000006327	218368_s_at
ENSG00000006377	221289_at
ENSG00000006377	239309_at
ENSG00000006377	242940_x_at
ENSG00000006432	214969_at
ENSG00000006432	213927_at
ENSG00000006451	214435_x_at
ENSG00000006451	224880_at
ENSG00000006453	227371_at
ENSG00000006453	227372_s_at
ENSG00000006453	222675_s_at
ENSG00000006459	225142_at
ENSG00000006459	221778_at
ENSG00000006468	217053_x_at
ENSG00000006468	217061_s_at
ENSG00000006468	206501_x_at
ENSG00000006468	221911_at
ENSG00000006468	221910_at
ENSG00000006530	1555610_at
ENSG00000006530	222132_s_at
ENSG00000006530	218568_at
ENSG00000006534	1565731_at
ENSG00000006534	211004_s_at
ENSG00000006534	205640_at
ENSG00000006555	215106_at
ENSG00000006555	215107_s_at
ENSG00000006555	220309_at
ENSG00000006555	235651_at
ENSG00000006576	1554822_at
ENSG00000006576	1554780_a_at
ENSG00000006576	215286_s_at
ENSG00000006576	217097_s_at
ENSG00000006576	209780_at
ENSG00000006606	223710_at
ENSG00000006607	242857_at
ENSG00000006607	225652_at
ENSG00000006607	1554337_at
ENSG00000006607	204511_at
ENSG00000006611	211184_s_at
ENSG00000006611	205137_x_at
ENSG00000006625	215380_s_at
ENSG00000006634	204244_s_at
ENSG00000006638	211590_x_at
ENSG00000006638	207555_s_at
ENSG00000006638	336_at
ENSG00000006638	207554_x_at
ENSG00000006652	202146_at
ENSG00000006652	230048_at
ENSG00000006659	220158_at
ENSG00000006695	203858_s_at
ENSG00000006695	1569685_at
ENSG00000006704	218412_s_at
ENSG00000006712	202093_s_at
ENSG00000006715	210849_s_at
ENSG00000006715	203106_s_at
ENSG00000006715	235625_at
ENSG00000006740	215232_at
ENSG00000006740	205414_s_at
ENSG00000006744	201767_s_at
ENSG00000006747	1552367_a_at
ENSG00000006747	222272_x_at
ENSG00000006747	1552365_at
ENSG00000006756	207784_at
ENSG00000006756	206831_s_at
ENSG00000006756	232423_at
ENSG00000006756	223696_at
ENSG00000006756	230131_x_at
ENSG00000006756	225280_x_at
ENSG00000006756	223695_s_at
ENSG00000006756	225286_at
ENSG00000006757	209739_s_at
ENSG00000006757	209740_s_at
ENSG00000006788	208208_at
ENSG00000006831	201346_at
ENSG00000006837	219831_at
ENSG00000006837	241911_at
ENSG00000007001	233155_at
ENSG00000007001	231376_at
ENSG00000007038	220051_at
ENSG00000007047	55065_at
ENSG00000007047	221560_at
ENSG00000007062	204304_s_at
ENSG00000007080	225454_at
ENSG00000007129	216605_s_at
ENSG00000007129	214907_at
ENSG00000007168	200815_s_at
ENSG00000007168	211547_s_at
ENSG00000007168	200813_s_at
ENSG00000007168	200816_s_at
ENSG00000007171	210037_s_at
ENSG00000007174	240857_at
ENSG00000007174	210345_s_at
ENSG00000007174	207959_s_at
ENSG00000007202	201728_s_at
ENSG00000007202	201729_s_at
ENSG00000007216	207567_at
ENSG00000007216	239805_at
ENSG00000007237	207704_s_at
ENSG00000007237	211067_s_at
ENSG00000007237	210872_x_at
ENSG00000007237	202191_s_at
ENSG00000007237	202192_s_at
ENSG00000007255	204985_s_at
ENSG00000007264	206267_s_at
ENSG00000007306	211848_s_at
ENSG00000007306	206198_s_at
ENSG00000007306	206199_at
ENSG00000007312	1555748_x_at
ENSG00000007312	1555746_at
ENSG00000007312	205297_s_at
ENSG00000007314	206981_at
ENSG00000007341	230079_at
ENSG00000007341	1552739_s_at
ENSG00000007341	1552738_a_at
ENSG00000007341	233141_s_at
ENSG00000007341	219964_at
ENSG00000007350	216370_s_at
ENSG00000007350	214183_s_at
ENSG00000007372	205646_s_at
ENSG00000007372	235795_at
ENSG00000007376	226078_at
ENSG00000007384	222711_s_at
ENSG00000007384	218686_s_at
ENSG00000007392	1557066_at
ENSG00000007392	1557067_s_at
ENSG00000007392	220143_x_at
ENSG00000007392	223546_x_at
ENSG00000007392	223295_s_at
ENSG00000007402	204811_s_at
ENSG00000007516	216356_x_at
ENSG00000007516	204874_x_at
ENSG00000007520	213104_at
ENSG00000007520	213105_s_at
ENSG00000007541	1555359_at
ENSG00000007541	204144_s_at
ENSG00000007545	225172_at
ENSG00000007866	209454_s_at
ENSG00000007908	206211_at
ENSG00000007923	1555360_a_at
ENSG00000007923	215792_s_at
ENSG00000007933	206496_at
ENSG00000007933	40665_at
ENSG00000007944	220319_s_at
ENSG00000007944	223129_x_at
ENSG00000007944	228098_s_at
ENSG00000007944	223130_s_at
ENSG00000007952	207380_x_at
ENSG00000007952	207217_s_at
ENSG00000007952	210808_s_at
ENSG00000007952	206418_at
ENSG00000007968	207042_at
ENSG00000007968	235582_at
ENSG00000007968	228361_at
ENSG00000008018	200876_s_at
ENSG00000008018	214288_s_at
ENSG00000008056	1553264_a_at
ENSG00000008056	221914_at
ENSG00000008083	203297_s_at
ENSG00000008083	203298_s_at
ENSG00000008086	206575_at
ENSG00000008086	227004_at
ENSG00000008086	231170_at
ENSG00000008118	217128_s_at
ENSG00000008118	215161_at
ENSG00000008130	208917_x_at
ENSG00000008130	215159_s_at
ENSG00000008130	213607_x_at
ENSG00000008130	208918_s_at
ENSG00000008130	208919_s_at
ENSG00000008196	215686_x_at
ENSG00000008196	1553394_a_at
ENSG00000008196	214451_at
ENSG00000008197	233987_at
ENSG00000008226	207896_s_at
ENSG00000008226	206798_x_at
ENSG00000008226	215085_x_at
ENSG00000008256	243752_s_at
ENSG00000008256	236136_at
ENSG00000008256	206523_at
ENSG00000008256	225147_at
ENSG00000008277	1555024_at
ENSG00000008277	208227_x_at
ENSG00000008277	208226_x_at
ENSG00000008277	208237_x_at
ENSG00000008277	206616_s_at
ENSG00000008277	206615_s_at
ENSG00000008277	244194_at
ENSG00000008277	213411_at
ENSG00000008282	201259_s_at
ENSG00000008282	201260_s_at
ENSG00000008283	210816_s_at
ENSG00000008283	209164_s_at
ENSG00000008283	217200_x_at
ENSG00000008283	207986_x_at
ENSG00000008283	209163_at
ENSG00000008294	1554543_at
ENSG00000008294	206748_s_at
ENSG00000008294	212470_at
ENSG00000008294	212468_at
ENSG00000008294	225339_at
ENSG00000008300	205165_at
ENSG00000008300	40020_at
ENSG00000008311	210852_s_at
ENSG00000008311	214829_at
ENSG00000008323	220073_s_at
ENSG00000008324	218283_at
ENSG00000008382	233651_s_at
ENSG00000008394	1565162_s_at
ENSG00000008394	231736_x_at
ENSG00000008394	240688_at
ENSG00000008394	224918_x_at
ENSG00000008405	209674_at
ENSG00000008438	207384_at
ENSG00000008441	209807_s_at
ENSG00000008441	228278_at
ENSG00000008441	227400_at
ENSG00000008513	208322_s_at
ENSG00000008513	225034_at
ENSG00000008513	225033_at
ENSG00000008516	207289_at
ENSG00000008516	207890_s_at
ENSG00000008517	203828_s_at
ENSG00000008710	202327_s_at
ENSG00000008710	216949_s_at
ENSG00000008710	202328_s_at
ENSG00000008735	208603_s_at
ENSG00000008735	205050_s_at
ENSG00000008735	1556001_at
ENSG00000008838	213043_s_at
ENSG00000008853	1554586_a_at
ENSG00000008853	209441_at
ENSG00000008869	233642_s_at
ENSG00000008952	208942_s_at
ENSG00000008952	208943_s_at
ENSG00000008952	225352_at
ENSG00000008952	1552789_at
ENSG00000008952	1552790_a_at
ENSG00000008988	200949_x_at
ENSG00000008988	214003_x_at
ENSG00000008988	1560023_x_at
ENSG00000008988	1560021_at
ENSG00000008988	216247_at
ENSG00000009307	222975_s_at
ENSG00000009307	219939_s_at
ENSG00000009307	202646_s_at
ENSG00000009335	1555405_at
ENSG00000009335	1554794_a_at
ENSG00000009335	1554793_at
ENSG00000009335	201817_at
ENSG00000009413	208070_s_at
ENSG00000009694	1553007_a_at
ENSG00000009694	205728_at
ENSG00000009709	208060_at
ENSG00000009709	1556638_at
ENSG00000009724	210798_x_at
ENSG00000009724	216968_at
ENSG00000009724	207041_at
ENSG00000009765	231070_at
ENSG00000009780	216897_s_at
ENSG00000009780	228604_at
ENSG00000009790	215275_at
ENSG00000009790	240265_at
ENSG00000009790	213888_s_at
ENSG00000009790	205804_s_at
ENSG00000009830	220632_s_at
ENSG00000009830	225560_at
ENSG00000009844	223021_x_at
ENSG00000009844	224437_s_at
ENSG00000009844	223022_s_at
ENSG00000009844	237059_at
ENSG00000009950	221163_s_at
ENSG00000009954	213336_at
ENSG00000009954	208445_s_at
ENSG00000010017	216125_s_at
ENSG00000010017	202583_s_at
ENSG00000010017	202582_s_at
ENSG00000010030	221680_s_at
ENSG00000010030	224225_s_at
ENSG00000010072	223511_at
ENSG00000010165	206468_s_at
ENSG00000010165	212405_s_at
ENSG00000010165	212407_at
ENSG00000010219	212954_at
ENSG00000010244	200828_s_at
ENSG00000010244	239937_at
ENSG00000010244	200829_x_at
ENSG00000010244	244153_at
ENSG00000010244	238772_at
ENSG00000010244	229765_at
ENSG00000010244	1556035_s_at
ENSG00000010244	231848_x_at
ENSG00000010244	228157_at
ENSG00000010256	201903_at
ENSG00000010270	223065_s_at
ENSG00000010278	233317_at
ENSG00000010278	201005_at
ENSG00000010282	223572_at
ENSG00000010292	201774_s_at
ENSG00000010295	36030_at
ENSG00000010295	209721_s_at
ENSG00000010310	208105_at
ENSG00000010310	231291_at
ENSG00000010318	215622_x_at
ENSG00000010318	221611_s_at
ENSG00000010319	219689_at
ENSG00000010322	227392_at
ENSG00000010322	201591_s_at
ENSG00000010327	1555320_a_at
ENSG00000010327	1555319_at
ENSG00000010327	204150_at
ENSG00000010327	38487_at
ENSG00000010361	221187_s_at
ENSG00000010379	237058_x_at
ENSG00000010379	207184_at
ENSG00000010404	210666_at
ENSG00000010404	211782_at
ENSG00000010404	206342_x_at
ENSG00000010404	236823_at
ENSG00000010438	207463_x_at
ENSG00000010438	213421_x_at
ENSG00000010539	207338_s_at
ENSG00000010539	214706_at
ENSG00000010610	203547_at
ENSG00000010626	206076_at
ENSG00000010671	205504_at
ENSG00000010704	211328_x_at
ENSG00000010704	211331_x_at
ENSG00000010704	211329_x_at
ENSG00000010704	211327_x_at
ENSG00000010704	211332_x_at
ENSG00000010704	211866_x_at
ENSG00000010704	210864_x_at
ENSG00000010704	211863_x_at
ENSG00000010704	211326_x_at
ENSG00000010704	206086_x_at
ENSG00000010704	1553402_a_at
ENSG00000010704	214647_s_at
ENSG00000010704	211330_s_at
ENSG00000010704	206087_x_at
ENSG00000010704	235754_at
ENSG00000010803	221216_s_at
ENSG00000010810	216033_s_at
ENSG00000010810	210105_s_at
ENSG00000010810	212486_s_at
ENSG00000010818	212641_at
ENSG00000010818	212642_s_at
ENSG00000010932	205666_at
ENSG00000011007	202818_s_at
ENSG00000011007	202819_s_at
ENSG00000011007	213604_at
ENSG00000011009	215566_x_at
ENSG00000011009	202292_x_at
ENSG00000011009	215568_x_at
ENSG00000011021	203950_s_at
ENSG00000011028	209280_at
ENSG00000011028	37408_at
ENSG00000011083	208494_at
ENSG00000011105	205665_at
ENSG00000011105	220968_s_at
ENSG00000011114	220297_at
ENSG00000011114	217141_at
ENSG00000011114	1556000_s_at
ENSG00000011114	224943_at
ENSG00000011114	224945_at
ENSG00000011132	205146_x_at
ENSG00000011132	215148_s_at
ENSG00000011143	1555820_a_at
ENSG00000011143	218630_at
ENSG00000011198	218739_at
ENSG00000011198	213805_at
ENSG00000011198	213935_at
ENSG00000011201	205206_at
ENSG00000011243	215741_x_at
ENSG00000011243	222160_at
ENSG00000011243	227691_at
ENSG00000011243	218064_s_at
ENSG00000011243	240554_at
ENSG00000011258	207115_x_at
ENSG00000011258	243552_at
ENSG00000011258	226797_at
ENSG00000011260	203721_s_at
ENSG00000011275	1563361_at
ENSG00000011275	218426_s_at
ENSG00000011275	218425_at
ENSG00000011275	227065_at
ENSG00000011295	217964_at
ENSG00000011304	212016_s_at
ENSG00000011304	212015_x_at
ENSG00000011304	211271_x_at
ENSG00000011304	216306_x_at
ENSG00000011304	202189_x_at
ENSG00000011304	211270_x_at
ENSG00000011332	206531_at
ENSG00000011332	231599_x_at
ENSG00000011347	1559392_s_at
ENSG00000011347	1559956_at
ENSG00000011347	232025_at
ENSG00000011347	226167_at
ENSG00000011347	231025_at
ENSG00000011376	204016_at
ENSG00000011376	34764_at
ENSG00000011405	1569022_a_at
ENSG00000011405	1569021_at
ENSG00000011405	1553694_a_at
ENSG00000011405	226094_at
ENSG00000011405	235792_x_at
ENSG00000011405	213070_at
ENSG00000011422	211924_s_at
ENSG00000011422	210845_s_at
ENSG00000011422	214866_at
ENSG00000011426	1552619_a_at
ENSG00000011426	222608_s_at
ENSG00000011451	221785_at
ENSG00000011451	221783_at
ENSG00000011451	52005_at
ENSG00000011451	221784_at
ENSG00000011454	215070_x_at
ENSG00000011454	204028_s_at
ENSG00000011454	213313_at
ENSG00000011465	211813_x_at
ENSG00000011465	240556_at
ENSG00000011465	242605_at
ENSG00000011465	201893_x_at
ENSG00000011465	211896_s_at
ENSG00000011465	209335_at
ENSG00000011465	239786_at
ENSG00000011478	220438_at
ENSG00000011485	201979_s_at
ENSG00000011485	215705_at
ENSG00000011523	1559159_at
ENSG00000011523	207971_s_at
ENSG00000011523	239442_at
ENSG00000011523	212677_s_at
ENSG00000011523	212675_s_at
ENSG00000011566	218311_at
ENSG00000011590	220118_at
ENSG00000011600	204122_at
ENSG00000011638	213272_s_at
ENSG00000011677	207210_at
ENSG00000012048	211851_x_at
ENSG00000012048	204531_s_at
ENSG00000012061	203720_s_at
ENSG00000012061	203719_at
ENSG00000012061	228131_at
ENSG00000012124	217422_s_at
ENSG00000012124	204581_at
ENSG00000012124	38521_at
ENSG00000012171	203071_at
ENSG00000012174	1554604_at
ENSG00000012174	206473_at
ENSG00000012174	226760_at
ENSG00000012211	217349_s_at
ENSG00000012223	202018_s_at
ENSG00000012232	211051_s_at
ENSG00000012232	209202_s_at
ENSG00000012504	1554375_a_at
ENSG00000012504	206340_at
ENSG00000012660	215082_at
ENSG00000012660	1567222_x_at
ENSG00000012660	208788_at
ENSG00000012779	204445_s_at
ENSG00000012779	214366_s_at
ENSG00000012779	204446_s_at
ENSG00000012817	206700_s_at
ENSG00000012822	209002_s_at
ENSG00000012963	218108_at
ENSG00000012983	211081_s_at
ENSG00000012983	203553_s_at
ENSG00000012983	203552_at
ENSG00000013016	218935_at
ENSG00000013016	230740_at
ENSG00000013275	201252_at
ENSG00000013288	214703_s_at
ENSG00000013293	232904_at
ENSG00000013293	1556641_at
ENSG00000013297	206908_s_at
ENSG00000013297	228335_at
ENSG00000013306	223649_s_at
ENSG00000013364	202180_s_at
ENSG00000013374	1569030_s_at
ENSG00000013374	222512_at
ENSG00000013375	210041_s_at
ENSG00000013375	221788_at
ENSG00000013392	213555_at
ENSG00000013392	229786_at
ENSG00000013441	214683_s_at
ENSG00000013503	219459_at
ENSG00000013523	244685_at
ENSG00000013523	36865_at
ENSG00000013523	213099_at
ENSG00000013561	201823_s_at
ENSG00000013561	201824_at
ENSG00000013561	243345_at
ENSG00000013563	203912_s_at
ENSG00000013573	232816_s_at
ENSG00000013573	208149_x_at
ENSG00000013573	208159_x_at
ENSG00000013583	218450_at
ENSG00000013588	203108_at
ENSG00000013588	235563_at
ENSG00000013588	212444_at
ENSG00000013619	205088_at
ENSG00000013725	211900_x_at
ENSG00000013725	211893_x_at
ENSG00000013725	208602_x_at
ENSG00000013725	213958_at
ENSG00000013810	218308_at
ENSG00000013810	1569487_at
ENSG00000014123	238291_at
ENSG00000014123	212634_at
ENSG00000014123	212633_at
ENSG00000014138	204441_s_at
ENSG00000014138	236546_at
ENSG00000014138	244575_at
ENSG00000014164	241056_at
ENSG00000014164	213445_at
ENSG00000014216	200752_s_at
ENSG00000014257	204393_s_at
ENSG00000014257	237030_at
ENSG00000014641	200978_at
ENSG00000014824	229500_at
ENSG00000014824	202614_at
ENSG00000014914	1556034_s_at
ENSG00000014914	205076_s_at
ENSG00000014919	223281_s_at
ENSG00000014919	221550_at
ENSG00000014919	219547_at
ENSG00000015133	215343_at
ENSG00000015133	231288_at
ENSG00000015133	227228_s_at
ENSG00000015153	206238_s_at
ENSG00000015153	244783_at
ENSG00000015171	1554159_a_at
ENSG00000015171	1554158_at
ENSG00000015171	202137_s_at
ENSG00000015171	202136_at
ENSG00000015285	38964_r_at
ENSG00000015285	205400_at
ENSG00000015413	205983_at
ENSG00000015475	211725_s_at
ENSG00000015475	204493_at
ENSG00000015475	227143_s_at
ENSG00000015520	224305_s_at
ENSG00000015520	224306_at
ENSG00000015520	220106_at
ENSG00000015532	1570528_at
ENSG00000015532	219401_at
ENSG00000015592	221236_s_at
ENSG00000015592	236812_at
ENSG00000015676	201270_x_at
ENSG00000015676	201269_s_at
ENSG00000015676	242238_at
ENSG00000016082	206104_at
ENSG00000016391	229502_at
ENSG00000016391	1559590_at
ENSG00000016391	231994_at
ENSG00000016391	1559591_s_at
ENSG00000016391	229954_at
ENSG00000016391	228560_at
ENSG00000016402	222829_s_at
ENSG00000016402	219115_s_at
ENSG00000016490	210107_at
ENSG00000016602	220026_at
ENSG00000016864	218146_at
ENSG00000016864	218147_s_at
ENSG00000017260	212255_s_at
ENSG00000017260	211137_s_at
ENSG00000017260	209934_s_at
ENSG00000017260	209935_at
ENSG00000017427	209542_x_at
ENSG00000017427	211577_s_at
ENSG00000017427	209540_at
ENSG00000017427	209541_at
ENSG00000017483	234973_at
ENSG00000017797	202844_s_at
ENSG00000017797	242073_at
ENSG00000017797	226957_x_at
ENSG00000018189	210251_s_at
ENSG00000018189	213939_s_at
ENSG00000018189	203724_s_at
ENSG00000018189	213437_at
ENSG00000018189	213430_at
ENSG00000018189	227802_at
ENSG00000018236	1554784_at
ENSG00000018236	211203_s_at
ENSG00000018236	227209_at
ENSG00000018236	227202_at
ENSG00000018280	1555116_s_at
ENSG00000018280	210423_s_at
ENSG00000018280	210422_x_at
ENSG00000018280	217473_x_at
ENSG00000018280	217507_at
ENSG00000018408	202134_s_at
ENSG00000018408	202132_at
ENSG00000018408	202133_at
ENSG00000018510	205401_at
ENSG00000018510	225114_at
ENSG00000018510	225113_at
ENSG00000018510	225108_at
ENSG00000018610	235442_at
ENSG00000018610	219805_at
ENSG00000018625	203295_s_at
ENSG00000018625	203296_s_at
ENSG00000018699	218710_at
ENSG00000018869	241602_at
ENSG00000019102	228232_s_at
ENSG00000019102	229369_at
ENSG00000019144	216019_x_at
ENSG00000019144	212134_at
ENSG00000019169	205819_at
ENSG00000019186	206504_at
ENSG00000019485	239763_at
ENSG00000019485	220571_at
ENSG00000019485	233067_at
ENSG00000019485	229688_at
ENSG00000019485	229687_s_at
ENSG00000019505	221859_at
ENSG00000019505	226086_at
ENSG00000019549	213139_at
ENSG00000019582	1567628_at
ENSG00000019582	209619_at
ENSG00000019991	210755_at
ENSG00000019991	210998_s_at
ENSG00000019991	210997_at
ENSG00000019991	209961_s_at
ENSG00000019991	209960_at
ENSG00000019995	225131_at
ENSG00000019995	225138_at
ENSG00000019995	225130_at
ENSG00000020129	209557_s_at
ENSG00000020129	209556_at
ENSG00000020129	237002_at
